dataset,seed,kind,columns,cardinality,relative_gain,incremental_gain,fold_wins,incremental_fold_wins
adult,0,singleton,0,73,-0.00676481064154223,-0.00676481064154223,0,0
adult,0,singleton,2,16,-0.00019522939887215636,-0.00019522939887215636,3,3
adult,0,singleton,3,116,0.027455180475580775,0.027455180475580775,5,5
adult,0,singleton,4,88,0.0150816228874289,0.0150816228874289,5,5
adult,0,singleton,5,93,-0.008467153221546325,-0.008467153221546325,1,1
adult,0,pair,2;4,361,0.015275789438396805,0.000389645521487714,5,3
adult,0,pair,3;4,203,0.04103928040823439,2.5387366365522174e-13,5,3
adult,1,singleton,0,73,-0.005686196064149852,-0.005686196064149852,0,0
adult,1,singleton,2,16,4.0659073222105176e-05,4.0659073222105176e-05,3,3
adult,1,singleton,3,116,0.02736540199738472,0.02736540199738472,5,5
adult,1,singleton,4,88,0.013841332441684296,0.013841332441684296,5,5
adult,1,singleton,5,93,-0.011809795735368337,-0.011809795735368337,0,0
adult,1,pair,2;4,361,0.016433433578792008,0.0018655199540014839,5,4
adult,1,pair,3;4,203,0.04039377485848784,1.435826132072516e-12,5,2
adult,2,singleton,0,73,-0.006480131766685925,-0.006480131766685925,0,0
adult,2,singleton,2,16,-8.08038216677448e-05,-8.08038216677448e-05,2,2
adult,2,singleton,3,116,0.02778746759469522,0.02778746759469522,5,5
adult,2,singleton,4,88,0.015848047431662547,0.015848047431662547,5,5
adult,2,singleton,5,93,-0.011209485324293285,-0.011209485324293285,1,1
adult,2,pair,2;4,361,0.016183373930225134,0.0004981665446652087,5,5
adult,2,pair,3;4,203,0.04345075644082052,2.5979419341784377e-12,5,4
black-friday,0,singleton,0,21,-3.996975372629571e-05,-3.996975372629571e-05,3,3
black-friday,0,singleton,1,12,0.0013744729463569054,0.0013744729463569054,5,5
black-friday,0,singleton,2,14,1.3601244213119018e-06,1.3601244213119018e-06,3,3
black-friday,0,singleton,3,15,4.431017589097123e-06,4.431017589097123e-06,3,3
black-friday,0,pair,0;1,245,0.001551099293087648,0.00021302451527713677,5,3
black-friday,0,pair,0;2,293,-0.0010712816067677256,-0.001033526655252523,0,0
black-friday,0,pair,0;3,313,-0.001531450316060598,-0.0014965146746097546,0,0
black-friday,0,pair,1;2,54,0.009790146989831454,0.00828570365628988,5,5
black-friday,0,pair,1;3,60,0.01102828282825483,0.009649318046993522,5,5
black-friday,0,pair,2;3,70,0.01844292132675154,0.018426245596461298,5,5
black-friday,1,singleton,0,21,1.5434787981988343e-05,1.5434787981988343e-05,3,3
black-friday,1,singleton,1,12,0.0014369435598861502,0.0014369435598861502,5,5
black-friday,1,singleton,2,14,3.916192709221197e-07,3.916192709221197e-07,3,3
black-friday,1,singleton,3,15,3.3433703830066758e-06,3.3433703830066758e-06,3,3
black-friday,1,pair,0;1,245,0.0018972762495276059,0.00044500657793771197,5,4
black-friday,1,pair,0;2,293,-0.000896899460157114,-0.0009127894372312759,0,0
black-friday,1,pair,0;3,313,-0.001292439529833294,-0.0013109435921552545,0,0
black-friday,1,pair,1;2,54,0.009918179095895222,0.00835984686883628,5,5
black-friday,1,pair,1;3,60,0.0110475766032286,0.009606268671593343,5,5
black-friday,1,pair,2;3,70,0.018251054627307133,0.018237773340066855,5,5
black-friday,2,singleton,0,21,1.597218678750966e-05,1.597218678750966e-05,3,3
black-friday,2,singleton,1,12,0.0013816190478236293,0.0013816190478236293,5,5
black-friday,2,singleton,2,14,1.1315942545861671e-06,1.1315942545861671e-06,3,3
black-friday,2,singleton,3,15,1.706004620858515e-06,1.706004620858515e-06,3,3
black-friday,2,pair,0;1,245,0.0015155241838955837,0.00011673532632013236,5,3
black-friday,2,pair,0;2,293,-0.000867415494710804,-0.000884361934053625,0,0
black-friday,2,pair,0;3,313,-0.0009520556017136027,-0.0009695659268074867,0,0
black-friday,2,pair,1;2,54,0.009688921164623044,0.0081824514866442,5,5
black-friday,2,pair,1;3,60,0.01094235130496954,0.009558729019913741,5,5
black-friday,2,pair,2;3,70,0.01825012793180077,0.01823659750131475,5,5
