dataset,seed,model,view,view_split,rmse,train_seconds
JenaWeather,20261311,levels_erm,levels,seen,0.2982252836227417,4.055724886013195
JenaWeather,20261311,levels_erm,reverse,seen,0.7514541149139404,4.055724886013195
JenaWeather,20261311,levels_erm,dct,seen,1.242627501487732,4.055724886013195
JenaWeather,20261311,levels_erm,differences,seen,1.3025927543640137,4.055724886013195
JenaWeather,20261311,levels_erm,dst,heldout,1.2065380811691284,4.055724886013195
JenaWeather,20261311,levels_erm,hadamard,heldout,1.3975108861923218,4.055724886013195
JenaWeather,20261311,levels_erm,even_odd,heldout,0.33852675557136536,4.055724886013195
JenaWeather,20261311,view_aug,levels,seen,0.4888221025466919,9.840331141836941
JenaWeather,20261311,view_aug,reverse,seen,0.4668229818344116,9.840331141836941
JenaWeather,20261311,view_aug,dct,seen,0.5922960042953491,9.840331141836941
JenaWeather,20261311,view_aug,differences,seen,0.8179736733436584,9.840331141836941
JenaWeather,20261311,view_aug,dst,heldout,0.7317456007003784,9.840331141836941
JenaWeather,20261311,view_aug,hadamard,heldout,0.8993648290634155,9.840331141836941
JenaWeather,20261311,view_aug,even_odd,heldout,0.5397379994392395,9.840331141836941
JenaWeather,20261311,view_consistent,levels,seen,0.48971226811408997,10.159731731982902
JenaWeather,20261311,view_consistent,reverse,seen,0.4511851668357849,10.159731731982902
JenaWeather,20261311,view_consistent,dct,seen,0.551784336566925,10.159731731982902
JenaWeather,20261311,view_consistent,differences,seen,0.7296374440193176,10.159731731982902
JenaWeather,20261311,view_consistent,dst,heldout,0.6628648638725281,10.159731731982902
JenaWeather,20261311,view_consistent,hadamard,heldout,0.8518431186676025,10.159731731982902
JenaWeather,20261311,view_consistent,even_odd,heldout,0.5393922328948975,10.159731731982902
JenaWeather,20261311,oracle_canonical,levels,seen,0.2982252836227417,4.055724886013195
JenaWeather,20261311,oracle_canonical,reverse,seen,0.2982252836227417,4.055724886013195
JenaWeather,20261311,oracle_canonical,dct,seen,0.2982253134250641,4.055724886013195
