dataset,model,view,view_split,rmse,train_seconds
Electricity,levels_erm,dct,seen,1.3761577606201172,3.1151362996703633
Electricity,levels_erm,differences,seen,1.201590895652771,3.1151362996703633
Electricity,levels_erm,dst,heldout,1.2970200379689534,3.1151362996703633
Electricity,levels_erm,even_odd,heldout,0.707049568494161,3.1151362996703633
Electricity,levels_erm,hadamard,heldout,1.5651681025822957,3.1151362996703633
Electricity,levels_erm,levels,seen,0.23402879138787588,3.1151362996703633
Electricity,levels_erm,reverse,seen,1.4430323441823323,3.1151362996703633
Electricity,oracle_canonical,dct,seen,0.23402879138787588,3.1151362996703633
Electricity,oracle_canonical,differences,seen,0.2340287963549296,3.1151362996703633
Electricity,oracle_canonical,dst,heldout,0.2340287963549296,3.1151362996703633
Electricity,oracle_canonical,even_odd,heldout,0.23402879138787588,3.1151362996703633
Electricity,oracle_canonical,hadamard,heldout,0.23402879138787588,3.1151362996703633
Electricity,oracle_canonical,levels,seen,0.23402879138787588,3.1151362996703633
Electricity,oracle_canonical,reverse,seen,0.23402879138787588,3.1151362996703633
Electricity,view_aug,dct,seen,0.45414312680562335,8.609356168967983
Electricity,view_aug,differences,seen,0.5822887023289999,8.609356168967983
Electricity,view_aug,dst,heldout,0.7512045900026957,8.609356168967983
Electricity,view_aug,even_odd,heldout,1.019254485766093,8.609356168967983
Electricity,view_aug,hadamard,heldout,1.517260471979777,8.609356168967983
Electricity,view_aug,levels,seen,0.7013803521792094,8.609356168967983
Electricity,view_aug,reverse,seen,0.710665762424469,8.609356168967983
Electricity,view_consistent,dct,seen,0.4833435316880544,9.323039691662416
Electricity,view_consistent,differences,seen,0.5781965851783752,9.323039691662416
Electricity,view_consistent,dst,heldout,0.7293285926183065,9.323039691662416
Electricity,view_consistent,even_odd,heldout,0.9888938665390015,9.323039691662416
Electricity,view_consistent,hadamard,heldout,1.4640661080678303,9.323039691662416
Electricity,view_consistent,levels,seen,0.688477357228597,9.323039691662416
Electricity,view_consistent,reverse,seen,0.6941121419270834,9.323039691662416
JenaWeather,levels_erm,dct,seen,1.2963178952534993,3.7407980230636895
JenaWeather,levels_erm,differences,seen,1.293471058209737,3.7407980230636895
JenaWeather,levels_erm,dst,heldout,1.3221524159113567,3.7407980230636895
JenaWeather,levels_erm,even_odd,heldout,0.33259108662605286,3.7407980230636895
