backbone,source,task,split,operator,selected,test_gain,decision_score,rule
ft_transformer,ACS,acs_occupation,0,kernel_ridge,True,0.0182346137769978,0.0199207779433181,mean
ft_transformer,ACS,acs_occupation,1,knn_5,True,0.0114205026302389,0.0313733067662978,mean
ft_transformer,BTS,airline_origin_airport,0,kernel_ridge,False,0.0,-0.0017140436690286,mean
ft_transformer,BTS,airline_origin_airport,1,rbf_double,False,0.0,-0.0005792341503779,mean
ft_transformer,NYC_TLC,tlc_pickup_zone,0,knn_10,True,0.0146067823739436,0.0041381272066663,mean
ft_transformer,NYC_TLC,tlc_pickup_zone,1,knn_5,True,0.0157948773695362,0.0264250721632629,mean
ft_transformer,STRING_BENCHMARK,medical_charges,0,knn_5,True,0.0275451367115935,0.010036052040414,mean
ft_transformer,STRING_BENCHMARK,medical_charges,1,kernel_ridge,True,0.0393716093611603,0.0844789438382125,mean
mlp,ACS,acs_occupation,0,kernel_ridge,True,0.017810320879257,0.0197687421172658,mean
mlp,ACS,acs_occupation,1,knn_3,True,0.0078328848914613,0.0273482448370546,mean
mlp,BTS,airline_origin_airport,0,knn_5,True,-0.0022148472107445,0.003027789750265,mean
mlp,BTS,airline_origin_airport,1,rbf_double,False,0.0,-0.0005152155810362,mean
mlp,NYC_TLC,tlc_pickup_zone,0,knn_1,True,-0.0309004384028923,0.0314977224064672,mean
mlp,NYC_TLC,tlc_pickup_zone,1,kernel_ridge,True,0.0193787605100062,0.0280838989046768,mean
mlp,STRING_BENCHMARK,medical_charges,0,knn_5,True,0.0225695492241714,0.0096715906482637,mean
mlp,STRING_BENCHMARK,medical_charges,1,kernel_ridge,True,0.0521749161902421,0.1085215644566073,mean
resnet,ACS,acs_occupation,0,kernel_ridge,True,0.017679754876716,0.0168014734077918,mean
resnet,ACS,acs_occupation,1,knn_3,True,0.0108607422851937,0.0341832951953262,mean
resnet,BTS,airline_origin_airport,0,kernel_ridge,True,0.0015885424681583,0.0023275217114196,mean
resnet,BTS,airline_origin_airport,1,rbf_double,True,-0.0003134519764217,3.0869487654194896e-05,mean
resnet,NYC_TLC,tlc_pickup_zone,0,knn_3,True,0.0289030896679689,0.0260049367371441,mean
resnet,NYC_TLC,tlc_pickup_zone,1,kernel_ridge,True,0.0177934450146718,0.0267363734807528,mean
resnet,STRING_BENCHMARK,medical_charges,0,knn_5,True,0.0266924651304527,0.0120045589112069,mean
resnet,STRING_BENCHMARK,medical_charges,1,kernel_ridge,True,0.0470090675823757,0.0917730860694041,mean
tabm,ACS,acs_occupation,0,kernel_ridge,True,0.022825444308477,0.0251349782481823,mean
tabm,ACS,acs_occupation,1,knn_3,True,0.0115357672680872,0.0378495891474648,mean
tabm,BTS,airline_origin_airport,0,kernel_ridge,True,9.472613889692444e-05,3.543758689793826e-05,mean
tabm,BTS,airline_origin_airport,1,rbf_double,False,0.0,-0.0053635420706345,mean
tabm,NYC_TLC,tlc_pickup_zone,0,knn_3,True,0.0030966774294418,0.0079779620032246,mean
tabm,NYC_TLC,tlc_pickup_zone,1,knn_5,True,0.0308362370742926,0.0393718995788772,mean
tabm,STRING_BENCHMARK,medical_charges,0,kernel_ridge,True,0.0345688175672651,0.012045010787722,mean
tabm,STRING_BENCHMARK,medical_charges,1,kernel_ridge,True,0.0505444854618071,0.0934937364851349,mean
ft_transformer,ACS,acs_occupation,0,kernel_ridge,True,0.0182346137769978,0.010545385308653498,per_backbone_lcb
ft_transformer,ACS,acs_occupation,1,kernel_ridge,True,0.0126103202062291,0.016979537286637866,per_backbone_lcb
ft_transformer,BTS,airline_origin_airport,0,kernel_ridge,False,0.0,-0.005008344607933766,per_backbone_lcb
ft_transformer,BTS,airline_origin_airport,1,rbf_double,False,0.0,-0.0010456351388201984,per_backbone_lcb
ft_transformer,NYC_TLC,tlc_pickup_zone,0,knn_10,False,0.0,-0.014359531415360186,per_backbone_lcb
ft_transformer,NYC_TLC,tlc_pickup_zone,1,rbf,False,0.0,-0.004819944529570901,per_backbone_lcb
ft_transformer,STRING_BENCHMARK,medical_charges,0,rbf_double,False,0.0,-0.002003472939089959,per_backbone_lcb
ft_transformer,STRING_BENCHMARK,medical_charges,1,rbf_half,False,0.0,-0.019782107878993344,per_backbone_lcb
mlp,ACS,acs_occupation,0,kernel_ridge,True,0.017810320879257,0.010452607119839667,per_backbone_lcb
mlp,ACS,acs_occupation,1,kernel_ridge,True,0.0115141522630014,0.014287422956529322,per_backbone_lcb
mlp,BTS,airline_origin_airport,0,rbf_double,False,0.0,-0.0022474428946378045,per_backbone_lcb
mlp,BTS,airline_origin_airport,1,rbf_double,False,0.0,-0.0011376091931225726,per_backbone_lcb
mlp,NYC_TLC,tlc_pickup_zone,0,knn_3,False,0.0,-0.0024094866841422834,per_backbone_lcb
mlp,NYC_TLC,tlc_pickup_zone,1,knn_10,False,0.0,-0.007917830044869265,per_backbone_lcb
mlp,STRING_BENCHMARK,medical_charges,0,rbf_double,False,0.0,-0.0023474717835968426,per_backbone_lcb
mlp,STRING_BENCHMARK,medical_charges,1,rbf_double,False,0.0,-0.001340211866542631,per_backbone_lcb
resnet,ACS,acs_occupation,0,kernel_ridge,True,0.017679754876716,0.006256565909520536,per_backbone_lcb
resnet,ACS,acs_occupation,1,kernel_ridge,True,0.0131552003322322,0.01711321906706463,per_backbone_lcb
resnet,BTS,airline_origin_airport,0,rbf_double,False,0.0,-0.00027439069356509447,per_backbone_lcb
resnet,BTS,airline_origin_airport,1,rbf_double,False,0.0,-0.0005842357860580486,per_backbone_lcb
resnet,NYC_TLC,tlc_pickup_zone,0,knn_3,True,0.0289030896679689,0.0028002826320567276,per_backbone_lcb
resnet,NYC_TLC,tlc_pickup_zone,1,rbf,False,0.0,-0.02159553588352059,per_backbone_lcb
resnet,STRING_BENCHMARK,medical_charges,0,rbf_double,False,0.0,-1.717781629742427e-06,per_backbone_lcb
resnet,STRING_BENCHMARK,medical_charges,1,rbf,False,0.0,-0.00953626917386812,per_backbone_lcb
tabm,ACS,acs_occupation,0,kernel_ridge,True,0.022825444308477,0.014106125583507077,per_backbone_lcb
tabm,ACS,acs_occupation,1,knn_5,True,0.0138103337781681,0.02002435468706292,per_backbone_lcb
tabm,BTS,airline_origin_airport,0,kernel_ridge,False,0.0,-0.0007874133243935506,per_backbone_lcb
tabm,BTS,airline_origin_airport,1,rbf_double,False,0.0,-0.008063732089344421,per_backbone_lcb
