dataset,problem_type,model,seed,variant,anchors,selection,normalize,min_empirical_rank,median_empirical_rank,min_anchor_rank,max_coordinate_error,validation_task_error,test_task_error,fit_seconds
credit-g,classification,controlled_mlp,0,m8-random_index-norm1,8,random_index,True,2,4.0,1,3.680747740795127e-16,0.4657831905442656,0.512807350630962,0.16098030586726964
credit-g,classification,controlled_mlp,0,m8-gram_pivot-norm1,8,gram_pivot,True,2,4.0,2,5.413654619697899e-16,0.45074048007622236,0.5046610372990428,0.18819872802123427
credit-g,classification,controlled_mlp,0,m16-random_index-norm1,16,random_index,True,2,4.0,2,4.069859018578822e-16,0.4713473789753161,0.5092193669590901,0.10436293506063521
credit-g,classification,controlled_mlp,0,m16-gram_pivot-norm1,16,gram_pivot,True,2,4.0,2,4.3714267355148074e-16,0.46602197126870726,0.5025008509495628,0.1529747759923339
credit-g,classification,controlled_mlp,0,m32-random_index-norm1,32,random_index,True,2,4.0,1,3.6547563697821927e-16,0.47723124158398933,0.5149737160611586,0.08922132616862655
credit-g,classification,controlled_mlp,0,m32-gram_pivot-norm1,32,gram_pivot,True,2,4.0,2,4.234014191241087e-16,0.47625129038167147,0.5227032871096314,0.15979504003189504
credit-g,classification,controlled_mlp,0,m16-gram_pivot-norm0,16,gram_pivot,False,2,4.0,2,5.396097652377725e-16,0.46602197126870726,0.5025008509495628,0.1726967750582844
