model,split,n_tasks,n_observations,nrmse_mean,nrmse_std_across_tasks,nrmse_ci95_low,nrmse_ci95_high,training_seconds_mean,operation_count_mean
LearnedEmbeddings,future,16,80,0.7114887858172736,0.38550824269711054,0.5519659492166484,0.9147688113016811,0.6708439872803865,-1.0
LearnedEmbeddings,iid,16,80,0.3104746575909163,0.24904600164639917,0.19669479313557867,0.4307488289919533,0.6708439872803865,-1.0
ManualPreprocessingMLP,future,16,80,0.5587979048895602,0.24908186483729058,0.44469678991392564,0.6811141583912282,0.4954815001809038,-1.0
ManualPreprocessingMLP,iid,16,80,0.16398348668135404,0.13547230382026668,0.1025880565715261,0.22682262115649562,0.4954815001809038,-1.0
TypedFull,future,16,80,0.00102119533118656,0.0005384442280187679,0.0007858204149514287,0.0013039440947122112,0.006578350588097237,6.775
TypedFull,iid,16,80,0.0008811588314696071,0.00014179496108296586,0.000823950254213628,0.0009525086297801986,0.006578350588097237,6.775
TypedNoCategoricalConditions,future,16,80,0.3827255886728941,0.17051723669485633,0.29971127555594135,0.45995849019852086,0.0048005182499764485,6.925
TypedNoCategoricalConditions,iid,16,80,0.27906936419768624,0.06931861696844197,0.24447721786408377,0.3116577565176807,0.0048005182499764485,6.925
TypedNoOrdinal,future,16,80,0.20244000386898336,0.15365541187483964,0.13230143171230488,0.2778997188366011,0.005624318111222238,7.3
TypedNoOrdinal,iid,16,80,0.407642063949891,0.1437995074098213,0.33985841764176833,0.4717402291463112,0.005624318111222238,7.3
TypedNoTime,future,16,80,0.1660223867400128,0.11371048978275014,0.11802862029506034,0.22369840392415552,0.005084923154208809,5.175
TypedNoTime,iid,16,80,0.4341654989885977,0.09058472037767491,0.39451910610392527,0.4816322422590644,0.005084923154208809,5.175
