model,method,multiplier,median_validation_excess,mean_validation_excess,median_validation_rank,mean_validation_rank,units,selected
controlled_mlp,AdamW,2.0,0.0,0.002140222463317739,1.0,1.5,18,True
controlled_mlp,AdamW,1.0,0.01361778321529215,0.022517322885405866,2.0,1.8888888888888888,18,False
controlled_mlp,AdamW,0.5,0.040710257452512465,0.04466106040729537,3.0,2.611111111111111,18,False
controlled_mlp,BlockAdam+DataInit,2.0,0.0,0.0016981431075858394,1.0,1.6666666666666667,18,True
controlled_mlp,BlockAdam+DataInit,1.0,0.006046823782291159,0.01062645846675805,2.0,1.7777777777777777,18,False
controlled_mlp,BlockAdam+DataInit,0.5,0.034567322840061865,0.026929985190232514,3.0,2.5555555555555554,18,False
controlled_mlp,MatrixAdam+DataInit,2.0,0.0,0.0015511729929931029,1.0,1.4444444444444444,18,True
controlled_mlp,MatrixAdam+DataInit,1.0,0.014828010894120239,0.020273846477979137,2.0,2.111111111111111,18,False
controlled_mlp,MatrixAdam+DataInit,0.5,0.02830068650401245,0.03468333006100491,3.0,2.4444444444444446,18,False
controlled_mlp,SoftBlockAdam-a0.1+DataInit,2.0,0.0,0.0017758536048867275,1.0,1.5555555555555556,18,True
controlled_mlp,SoftBlockAdam-a0.1+DataInit,1.0,0.006750189064619914,0.01223000901113627,2.0,1.9444444444444444,18,False
controlled_mlp,SoftBlockAdam-a0.1+DataInit,0.5,0.030688361011715036,0.027652451264326652,3.0,2.5,18,False
tabm_d,AdamW,2.0,0.0,0.0012189721911762712,1.0,1.2777777777777777,18,True
tabm_d,AdamW,1.0,0.01570583777103981,0.04155242463371892,2.0,1.7777777777777777,18,False
tabm_d,AdamW,0.5,0.056462544135730305,0.11654920174692797,3.0,2.9444444444444446,18,False
tabm_d,BlockAdam+DataInit,1.0,0.005954930651309012,0.020373905345353653,2.0,1.9444444444444444,18,True
tabm_d,BlockAdam+DataInit,2.0,0.007375378249912811,0.011837279616863471,2.0,2.0,18,False
tabm_d,BlockAdam+DataInit,0.5,0.015625270166771534,0.030288786581240408,2.0,2.0555555555555554,18,False
tabm_d,MatrixAdam+DataInit,1.0,0.002984913948361681,0.012085122519579748,1.5,1.5555555555555556,18,True
tabm_d,MatrixAdam+DataInit,0.5,0.007512775885864155,0.0255573234310733,2.5,2.2777777777777777,18,False
tabm_d,MatrixAdam+DataInit,2.0,0.009230194540923296,0.013035699102958008,2.0,2.1666666666666665,18,False
tabm_d,SoftBlockAdam-a0.1+DataInit,1.0,0.0029984393546264717,0.016652936309568114,2.0,1.7222222222222223,18,True
tabm_d,SoftBlockAdam-a0.1+DataInit,2.0,0.0035443773980814173,0.010365953957986982,2.0,1.9444444444444444,18,False
tabm_d,SoftBlockAdam-a0.1+DataInit,0.5,0.014566410353970152,0.02933222764790946,2.5,2.3333333333333335,18,False
