method,track,median_disagreement,median_disagreement_reduction,median_relative_task_change,median_task_error,median_predictive_rank,mean_predictive_rank,median_worst_orbit_gain,failure_fraction,paper_method_score,wins,ties,losses,units,model_families,datasets,runtime_seconds,performance_preserving_eligible,pareto_frontier
AdamW[equal-HPO],optimizer_equal_hpo,0.09435002688939842,0.0,0.0,32.14329868390942,1.0,1.25,0.0,0.0,0.0,0,36,0,36,2,6,96.9405425330624,True,True
BlockAdam+DataInit[equal-HPO],optimizer_equal_hpo,3.1817384332786486e-05,0.9987311693387624,0.04272502072396356,41.3674143194424,3.0,3.138888888888889,-0.016762704252091684,0.027777777777777776,0.7781616212745002,2,0,34,36,2,6,144.49238672619686,False,True
MatrixAdam+DataInit[equal-HPO],optimizer_equal_hpo,0.00010658930104471655,0.9956626057751541,0.05712046213365418,35.7432902832494,2.0,2.6944444444444446,-0.0071037391744035745,0.0,0.7100602951068832,5,0,31,36,2,6,269.3895015195012,False,False
SoftBlockAdam-a0.1+DataInit[equal-HPO],optimizer_equal_hpo,0.017186711164236368,0.8334413219871779,0.045756579695042515,40.67315539779062,3.0,2.9166666666666665,-0.016800035973630674,0.027777777777777776,0.5977139790675209,2,0,34,36,2,6,162.2513613398187,False,False
