dataset,problem_type,model,seed,pair,method,split,reconstruction_error,coordinate_error,disagreement,disagreement_reduction,task_error,relative_task_change
california_housing,regression,catboost,1,local_vs_spectral_hat,Raw,test,2.0851388871316656e-16,0.0,0.0904663638620021,0.0,62452.799861880325,0.0
california_housing,regression,catboost,1,local_vs_spectral_hat,GramAnchor,test,2.0851388871316656e-16,1.206163813876603e-16,0.0,1.0,61766.43565378327,-0.0109901270978243
california_housing,regression,catboost,1,onehot_vs_helmert,Raw,validation,1.6019295092324714e-16,0.0,0.0824516722857165,0.0,55658.16169624401,0.0
california_housing,regression,catboost,1,onehot_vs_helmert,GramAnchor,validation,1.6019295092324714e-16,9.378063810316416e-17,0.0,1.0,55784.30511258908,0.0022663956641884
california_housing,regression,catboost,1,onehot_vs_helmert,Raw,test,1.6019295092324714e-16,0.0,0.0902895027833653,0.0,61831.46624034093,0.0
california_housing,regression,catboost,1,onehot_vs_helmert,GramAnchor,test,1.6019295092324714e-16,9.378063810316416e-17,0.0,1.0,61616.87780275022,-0.0034705377478287
california_housing,regression,catboost,2,local_vs_spectral_hat,Raw,validation,2.0851388871316656e-16,0.0,0.0877450418540486,0.0,55899.89903319553,0.0
california_housing,regression,catboost,2,local_vs_spectral_hat,GramAnchor,validation,2.0851388871316656e-16,1.206163813876603e-16,0.0,1.0,55570.06845516119,-0.005900378779548
california_housing,regression,catboost,2,local_vs_spectral_hat,Raw,test,2.0851388871316656e-16,0.0,0.0878842480138078,0.0,61738.799237386906,0.0
california_housing,regression,catboost,2,local_vs_spectral_hat,GramAnchor,test,2.0851388871316656e-16,1.206163813876603e-16,0.0,1.0,61787.39569567547,0.0007871299553739
california_housing,regression,catboost,2,onehot_vs_helmert,Raw,validation,1.6019295092324714e-16,0.0,0.0783338584748355,0.0,56372.04095275245,0.0
california_housing,regression,catboost,2,onehot_vs_helmert,GramAnchor,validation,1.6019295092324714e-16,9.378063810316416e-17,0.0,1.0,56147.37679543088,-0.003985382709664
california_housing,regression,catboost,2,onehot_vs_helmert,Raw,test,1.6019295092324714e-16,0.0,0.086935008590887,0.0,62250.62732366865,0.0
california_housing,regression,catboost,2,onehot_vs_helmert,GramAnchor,test,1.6019295092324714e-16,9.378063810316416e-17,0.0,1.0,61267.02588396978,-0.0158006671095005
credit-g,classification,catboost,0,local_vs_spectral_hat,Raw,validation,2.2040031984818126e-16,0.0,0.0897036117788247,0.0,0.4498671227308211,0.0
credit-g,classification,catboost,0,local_vs_spectral_hat,GramAnchor,validation,2.2040031984818126e-16,1.1511609960611418e-16,0.0,1.0,0.441884939945305,-0.0177434232958879
credit-g,classification,catboost,0,local_vs_spectral_hat,Raw,test,2.2040031984818126e-16,0.0,0.0878216958418444,0.0,0.4828345774872341,0.0
