method,model,pair,median_disagreement_reduction,median_relative_task_change,max_coordinate_error,max_reconstruction_error,datasets,units
GramAnchor,catboost,local_vs_spectral_hat,1.0,-0.0083336836325402,1.9777041243197727e-16,2.2040031984818126e-16,6,18
GramAnchor,catboost,onehot_vs_helmert,1.0,-0.0070311551968829,9.378063810316416e-17,1.7916185122862606e-16,3,9
GramAnchor,controlled_mlp,local_vs_spectral_hat,1.0,0.0094496740048847,1.9777041243197727e-16,2.2040031984818126e-16,6,18
GramAnchor,controlled_mlp,onehot_vs_helmert,1.0,-0.0180484501400657,9.378063810316416e-17,1.7916185122862606e-16,3,9
GramAnchor,tabicl_v2,local_vs_spectral_hat,1.0,0.00583127294728455,1.9777041243197727e-16,2.2040031984818126e-16,6,18
GramAnchor,tabicl_v2,onehot_vs_helmert,1.0,0.0334286935492344,9.378063810316416e-17,1.7916185122862606e-16,3,9
GramAnchor,tabm_d,local_vs_spectral_hat,1.0,0.0017443356032425003,1.9777041243197727e-16,2.2040031984818126e-16,6,18
GramAnchor,tabm_d,onehot_vs_helmert,1.0,0.0303926714611767,9.378063810316416e-17,1.7916185122862606e-16,3,9
GramAnchor,tabpfn_2_6,local_vs_spectral_hat,1.0,0.00600502207154625,1.9777041243197727e-16,2.2040031984818126e-16,6,18
GramAnchor,tabpfn_2_6,onehot_vs_helmert,1.0,0.0016186147273378,9.378063810316416e-17,1.7916185122862606e-16,3,9
