method,track,median_disagreement,median_disagreement_reduction,median_relative_task_change,median_worst_orbit_task_error,runtime_seconds,max_gpu_memory_mb,units,invariance_route,performance_route,verdict
GramAnchor,representation,0.0,1.0,-0.0008956049168459525,0.6883020265580859,10.831602916819975,121.521484375,6,True,True,SURVIVE
GramDistance,representation,0.0,1.0,0.02071735762369721,0.7204306127292346,11.245525328675285,121.521484375,6,True,False,SURVIVE
NystromGram,representation,0.0,1.0,0.0026441976149719952,0.6808167220929443,11.886578961042687,118.60498046875,6,True,False,SURVIVE
PCA,representation,0.0,1.0,-8.548738764911867e-05,0.6977483546735088,16.951985765248537,119.25,6,True,True,SURVIVE
BlockAdam,optimizer,0.06614322554706824,0.1606872310420001,0.00348158943793102,0.6962388148494763,26.274465531110764,119.26611328125,6,False,False,KILL
BlockScalarAdam,optimizer,0.06947301555335955,0.15169057488841053,0.0031641302127408274,0.6978050770445555,27.65946209174581,119.2607421875,6,False,False,KILL
MatrixAdam,optimizer,0.07753593098640423,0.005819792031974802,0.005342477103077517,0.710772448591811,44.26465471973643,119.2607421875,6,False,False,KILL
AdamW,optimizer,0.07794276768325194,0.0,0.0,0.6970262895913164,17.957038639113307,119.25,6,False,False,CONTROL
