method,epoch,median_disagreement,max_disagreement,median_max_prediction_difference,units,preserves_matched_equivalence
AdamW,0,9.895126435562173e-09,2.1072582585138617e-08,0.007812529802322388,6,True
AdamW,30,0.04789513562424225,0.0815827342576007,10172.795035213232,6,False
BlockAdam,0,9.895126435562173e-09,2.1072582585138617e-08,0.007812529802322388,6,True
BlockAdam,30,2.586368193306665e-07,5.232376429318227e-07,0.06250035762786865,6,True
BlockScalarAdam,0,9.895126435562173e-09,2.1072582585138617e-08,0.007812529802322388,6,True
BlockScalarAdam,30,2.095438584337558e-07,5.450685308131075e-07,0.04687526822090149,6,True
MatrixAdam,0,9.895126435562173e-09,2.1072582585138617e-08,0.007812529802322388,6,True
MatrixAdam,30,2.3958210388126365e-07,5.097775969450455e-07,0.07812541723251343,6,True
SGD,0,9.895126435562173e-09,2.1072582585138617e-08,0.007812529802322388,6,True
SGD,30,5.1355676725275914e-08,1.2436989922054086e-07,0.015625059604644775,6,True
