dataset,problem_type,model,seed,variant,anchors,selection,normalize,min_empirical_rank,median_empirical_rank,min_anchor_rank,max_coordinate_error,validation_task_error,test_task_error,fit_seconds,raw_task_error,raw_disagreement,disagreement,disagreement_reduction,relative_task_change
bike-sharing,regression,controlled_mlp,0,m8-random_index-norm1,8,random_index,True,2,8.0,1,6.038022183925211e-16,72.5867026079386,74.71184520548704,0.621540165040642,76.40112529010118,0.15903471189582,0.0,1.0,-0.022110670205442766
bike-sharing,regression,controlled_mlp,0,m8-gram_pivot-norm1,8,gram_pivot,True,2,8.0,2,1.194171532791239e-15,71.62886309915261,76.27538530117926,0.7380543458275497,76.40112529010118,0.15903471189582,0.0,1.0,-0.0016457871326433574
bike-sharing,regression,controlled_mlp,0,m16-random_index-norm1,16,random_index,True,2,8.0,1,7.495490591956738e-16,67.52176633382983,69.57552365358329,0.3671717538964003,76.40112529010118,0.15903471189582,0.0,1.0,-0.08933901968852596
bike-sharing,regression,controlled_mlp,0,m16-gram_pivot-norm1,16,gram_pivot,True,2,8.0,2,9.852357639501782e-16,69.04963572426955,74.175401629243,0.9200884990859776,76.40112529010118,0.15903471189582,0.0,1.0,-0.029132079565673
bike-sharing,regression,controlled_mlp,0,m32-random_index-norm1,32,random_index,True,2,8.0,2,8.869595378895018e-16,64.03668570180395,71.74035529735315,0.4254821632057428,76.40112529010118,0.15903471189582,0.0,1.0,-0.061003944314311
bike-sharing,regression,controlled_mlp,0,m32-gram_pivot-norm1,32,gram_pivot,True,2,8.0,2,8.458707763382118e-16,68.02851515821544,69.74871670330764,0.3708408400416374,76.40112529010118,0.15903471189582,0.0,1.0,-0.08707212834279357
bike-sharing,regression,controlled_mlp,0,m16-gram_pivot-norm0,16,gram_pivot,False,2,8.0,2,1.2717386617228045e-15,69.04963572426955,74.175401629243,0.3700901689007878,76.40112529010118,0.15903471189582,0.0,1.0,-0.029132079565673
bike-sharing,regression,controlled_mlp,1,m8-random_index-norm1,8,random_index,True,2,8.0,1,6.038022183925211e-16,72.49777553596688,72.70248935913494,0.4541369799990207,78.00769345797514,0.1412077779335113,0.0,1.0,-0.06800872918641353
bike-sharing,regression,controlled_mlp,1,m8-gram_pivot-norm1,8,gram_pivot,True,2,8.0,2,1.194171532791239e-15,73.78139829520846,77.8276483630356,0.3998218870256096,78.00769345797514,0.1412077779335113,0.0,1.0,-0.0023080427962727163
bike-sharing,regression,controlled_mlp,1,m16-random_index-norm1,16,random_index,True,2,8.0,1,7.495490591956738e-16,66.2228308453741,67.89850186217221,0.3131764722056687,78.00769345797514,0.1412077779335113,0.0,1.0,-0.12959223824825716
bike-sharing,regression,controlled_mlp,1,m16-gram_pivot-norm1,16,gram_pivot,True,2,8.0,2,9.852357639501782e-16,70.05461356020079,74.62494948159544,0.4155521939974278,78.00769345797514,0.1412077779335113,0.0,1.0,-0.0433642353263794
bike-sharing,regression,controlled_mlp,1,m32-random_index-norm1,32,random_index,True,2,8.0,2,8.869595378895018e-16,67.30299347251635,70.12544983236678,0.3630496910773217,78.00769345797514,0.1412077779335113,0.0,1.0,-0.10104443903157748
bike-sharing,regression,controlled_mlp,1,m32-gram_pivot-norm1,32,gram_pivot,True,2,8.0,2,8.458707763382118e-16,70.04943674884935,71.85742956378247,0.3273960021324456,78.00769345797514,0.1412077779335113,0.0,1.0,-0.07884176062077744
bike-sharing,regression,controlled_mlp,1,m16-gram_pivot-norm0,16,gram_pivot,False,2,8.0,2,1.2717386617228045e-15,70.05461356020079,74.62494948159544,0.354296435136348,78.00769345797514,0.1412077779335113,0.0,1.0,-0.0433642353263794
bike-sharing,regression,controlled_mlp,2,m8-random_index-norm1,8,random_index,True,2,8.0,1,6.038022183925211e-16,72.36182116827412,71.25366751179234,0.4674659979064017,79.1057565708493,0.1570453894991187,0.0,1.0,-0.0992606530730087
bike-sharing,regression,controlled_mlp,2,m8-gram_pivot-norm1,8,gram_pivot,True,2,8.0,2,1.194171532791239e-15,75.76733083305311,77.31482649638265,0.3955881691072136,79.1057565708493,0.1570453894991187,0.0,1.0,-0.022639693394028
bike-sharing,regression,controlled_mlp,2,m16-random_index-norm1,16,random_index,True,2,8.0,1,7.495490591956738e-16,65.18845322056276,68.96650363027163,0.3168152719736099,79.1057565708493,0.1570453894991187,0.0,1.0,-0.1281733893979848
bike-sharing,regression,controlled_mlp,2,m16-gram_pivot-norm1,16,gram_pivot,True,2,8.0,2,9.852357639501782e-16,70.03558800956507,72.16272279651773,0.4176050550304353,79.1057565708493,0.1570453894991187,0.0,1.0,-0.08776900791174654
bike-sharing,regression,controlled_mlp,2,m32-random_index-norm1,32,random_index,True,2,8.0,2,8.869595378895018e-16,65.49220777758396,70.53021677092318,0.3791401700582355,79.1057565708493,0.1570453894991187,0.0,1.0,-0.10840601457677267
bike-sharing,regression,controlled_mlp,2,m32-gram_pivot-norm1,32,gram_pivot,True,2,8.0,2,8.458707763382118e-16,70.58478475762267,69.46670397802687,0.3982974500395357,79.1057565708493,0.1570453894991187,0.0,1.0,-0.12185020421604112
bike-sharing,regression,controlled_mlp,2,m16-gram_pivot-norm0,16,gram_pivot,False,2,8.0,2,1.2717386617228045e-15,70.03558800956507,72.16272279651773,0.3546128519810736,79.1057565708493,0.1570453894991187,0.0,1.0,-0.08776900791174654
california_housing,regression,controlled_mlp,0,m8-random_index-norm1,8,random_index,True,5,8.0,4,5.225732824312473e-16,64545.93231778064,71240.23527616046,0.5063796800095588,65288.85728446,0.1277083441814171,0.0,1.0,0.0911545742908415
california_housing,regression,controlled_mlp,0,m8-gram_pivot-norm1,8,gram_pivot,True,5,8.0,5,1.1059621792392972e-15,60159.13310124841,64880.33750688467,0.4466016159858554,65288.85728446,0.1277083441814171,0.0,1.0,-0.006257113304884897
