method,max_train_relative_error,max_validation_relative_error,max_test_relative_error
GramAnchor,1.4985805928465062e-15,1.5252140994309079e-15,1.5269589046311825e-15
GramDistance,1.1184371225820532e-15,1.1143409055393057e-15,1.1185400811520616e-15
NystromGram,1.7988154515912216e-10,1.412101225688125e-10,1.4290916844534508e-10
PCA,1.0036936621682391e-14,1.0094678756606596e-14,1.0263967311608444e-14
