method,track,median_disagreement,median_disagreement_reduction,median_relative_task_change,median_task_error,median_predictive_rank,mean_predictive_rank,median_worst_orbit_gain,failure_fraction,paper_method_score,wins,ties,losses,units,model_families,datasets,runtime_seconds,performance_preserving_eligible,pareto_frontier
GramAnchor,representation,0.0,1.0,0.003549029848386373,26.88406845454818,25.5,23.455555555555556,0.03379482304807434,0.0,0.9822548507580682,40,0,50,90,5,6,56.98379283817485,True,True
Raw+GramAnchor@1,hybrid_prediction_mixture,0.0,1.0,0.003549029848386373,26.88406845454818,25.5,23.455555555555556,0.03379482304807434,0.0,0.9822548507580682,40,0,50,90,5,6,0.0,True,True
GramAnchor-m8,representation,0.0,1.0,0.00666033805928597,25.933934659237366,25.0,23.27777777777778,0.030857517948362105,0.0,0.9666983097035702,38,0,52,90,5,6,176.29093772405759,True,False
Raw+GramAnchor-m8@1,hybrid_prediction_mixture,0.0,1.0,0.00666033805928597,25.933934659237366,25.0,23.27777777777778,0.030857517948362105,0.0,0.9666983097035702,38,0,52,90,5,6,0.0,True,False
Raw+GramAnchor@0.75,hybrid_prediction_mixture,0.034843926137929165,0.7500000000000002,-0.0034283656924963047,26.789841823529468,15.5,17.233333333333334,0.03646416008139481,0.0,0.7500000000000002,51,0,39,90,5,6,0.0,True,False
Raw+GramAnchor-m8@0.75,hybrid_prediction_mixture,0.03484392613792916,0.7500000000000002,-0.0048689333643863126,26.07037555688367,18.0,17.07777777777778,0.035937435943104314,0.0,0.7500000000000002,53,0,37,90,5,6,0.0,True,True
Raw+NystromGram@0.75,hybrid_prediction_mixture,0.03484392613792916,0.7500000000000002,-0.00027643964152137423,27.366815811780672,19.5,19.566666666666666,0.027366669438147057,0.0,0.7500000000000002,47,0,43,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.05@0.75,hybrid_prediction_mixture,0.03484392613792916,0.7500000000000002,8.696239631673166e-05,27.29699937584186,23.25,20.56111111111111,0.02326857759886898,0.0,0.7495651880184165,43,0,47,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.10@0.75,hybrid_prediction_mixture,0.03484392613792916,0.7500000000000002,8.696239631673166e-05,27.29699937584186,23.25,20.56111111111111,0.02326857759886898,0.0,0.7495651880184165,43,0,47,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.01@0.75,hybrid_prediction_mixture,0.03484392613792916,0.7500000000000002,0.0009974247228023282,27.413378535104812,23.5,20.894444444444446,0.022043412794114845,0.0,0.7450128763859886,45,0,45,90,5,6,0.0,True,False
Raw+PCA@0.75,hybrid_prediction_mixture,0.03484392613792916,0.7500000000000002,0.0037296324958010366,28.204729427974975,23.5,21.038888888888888,0.021091952631412572,0.0,0.7313518375209951,43,0,47,90,5,6,0.0,True,False
Raw+GramDistance@0.75,hybrid_prediction_mixture,0.034843926137929165,0.7500000000000002,0.008758107818514865,27.161269270182068,27.0,26.18888888888889,0.01528024121162467,0.0,0.7062094609074259,21,0,69,90,5,6,0.0,True,False
Raw+GramAnchor@0.5,hybrid_prediction_mixture,0.06968785227585839,0.5000000000000002,-0.005877496600629623,26.724869440141934,11.0,14.077777777777778,0.03335808609004051,0.0,0.5000000000000002,63,0,27,90,5,6,0.0,True,False
Raw+GramAnchor-m8@0.5,hybrid_prediction_mixture,0.06968785227585836,0.5000000000000002,-0.009815618134803004,26.34666141643273,11.5,13.922222222222222,0.03223128131229277,0.0,0.5000000000000002,65,0,25,90,5,6,0.0,True,True
Raw+NystromGram@0.5,hybrid_prediction_mixture,0.06968785227585837,0.5000000000000002,-0.007698932147221867,27.181066533651535,13.0,14.333333333333334,0.02407757650159967,0.0,0.5000000000000002,63,0,27,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.05@0.5,hybrid_prediction_mixture,0.06968785227585839,0.5000000000000002,-0.006303113412480611,27.126371506958844,15.0,14.216666666666667,0.020560214809874477,0.0,0.5000000000000002,58,0,32,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.10@0.5,hybrid_prediction_mixture,0.06968785227585839,0.5000000000000002,-0.006303113412480611,27.126371506958844,15.0,14.216666666666667,0.020560214809874477,0.0,0.5000000000000002,58,0,32,90,5,6,0.0,True,False
Raw+PCA@0.5,hybrid_prediction_mixture,0.06968785227585837,0.5000000000000002,-0.004530057355381888,27.71727537286827,16.0,14.86111111111111,0.019772393919592807,0.0,0.5000000000000002,55,0,35,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.01@0.5,hybrid_prediction_mixture,0.06968785227585837,0.5000000000000002,-0.00616750718218864,27.205321601296014,15.25,14.405555555555555,0.01959951921030458,0.0,0.5000000000000002,55,0,35,90,5,6,0.0,True,False
Raw+GramDistance@0.5,hybrid_prediction_mixture,0.06968785227585836,0.5000000000000002,-0.0002363887255137658,26.915673241064887,22.0,20.055555555555557,0.017069304240977266,0.0,0.5000000000000002,47,0,43,90,5,6,0.0,True,False
