method,track,median_disagreement,median_disagreement_reduction,median_relative_task_change,median_task_error,median_predictive_rank,mean_predictive_rank,median_worst_orbit_gain,failure_fraction,paper_method_score,wins,ties,losses,units,model_families,datasets,runtime_seconds,performance_preserving_eligible,pareto_frontier
BlockAdam+DataInit[equal-HPO],optimizer,0.1604190809994383,0.033594048315127245,0.037930214411461854,0.73001748625396,4.5,4.666666666666667,-0.04142090488606341,0.16666666666666666,-0.19772369040884868,1,0,5,6,2,3,0.0,False,False
GramAnchor,interface,0.13445624904429795,0.08842192093485046,0.006784694184150248,0.6481749306815323,3.0,3.4,-0.00812783727927636,0.2,0.004498450014099223,7,0,8,15,5,3,0.0,True,False
MahalanobisGram-lambda0.0001,exploratory_interface,0.12624305689576942,0.19269837331795314,0.03691247695183391,0.6500718042531863,5.0,4.866666666666666,-0.003949830105585079,0.06666666666666667,-0.00853067810788308,3,0,12,15,5,3,0.0,False,False
MahalanobisGram-lambda0.01,exploratory_interface,0.12237291794988087,0.1251959346993745,0.024051056971842972,0.6425568213027631,4.0,3.933333333333333,-0.005132827653827758,0.0,0.0049406498401596555,3,0,12,15,5,3,0.0,False,False
MahalanobisGram-lambda1e-06,exploratory_interface,0.12368579523374437,0.15209269352314403,0.036515414160129975,0.6550738299196467,6.0,5.066666666666666,-0.004080902798988026,0.06666666666666667,-0.04715104394417252,2,0,13,15,5,3,0.0,False,False
Raw,baseline,0.1579207660278819,0.0,0.0,0.6547961723811623,3.0,2.7333333333333334,0.0,0.0,0.0,0,15,0,15,5,3,0.0,True,False
Raw+GramAnchor@0.75,hybrid_prediction_mixture,0.11478896439023284,0.20366654635238501,-0.006507812699932457,0.6483718955466796,2.0,1.9333333333333333,0.009518066828685329,0.06666666666666667,0.18699987968571835,10,0,5,15,5,3,0.0,True,True
