dataset,problem_type,model,seed,method,transform_family,representation_id,member,is_reference,split,coordinate_error,task_error,disagreement,fit_seconds,track
california_housing,regression,catboost,0,Raw,condition_le_3_all,rbf_reference,-1,True,validation,0.0,56035.27528994351,0.0,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,rbf_reference,-1,True,test,0.0,61413.13394131962,0.0,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m0,0,False,validation,0.0,57673.46419665007,0.1227643158570352,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m0,0,False,test,0.0,62089.64375225129,0.1102962666595037,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m1,1,False,validation,0.0,58237.772398741225,0.1360164053088967,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m1,1,False,test,0.0,62822.57513269414,0.1420811803495529,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m2,2,False,validation,0.0,56075.17522450191,0.1077347962475422,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m2,2,False,test,0.0,61974.67789581121,0.1129746174546235,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m3,3,False,validation,0.0,56291.406824649646,0.1179827931853289,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m3,3,False,test,0.0,63197.7991634011,0.1193038461316016,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m4,4,False,validation,0.0,56683.90269937594,0.1181737872222383,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m4,4,False,test,0.0,61637.91052152766,0.1205628252441071,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m5,5,False,validation,0.0,57307.27010581176,0.1240597982404978,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m5,5,False,test,0.0,63571.58551692182,0.1255227960881406,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m6,6,False,validation,0.0,56607.68894067952,0.1275022701272744,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m6,6,False,test,0.0,62200.46638050027,0.127221434881309,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m7,7,False,validation,0.0,57486.89568572424,0.125868886725533,0.0,baseline
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m7,7,False,test,0.0,61988.764043698095,0.1221513281480141,0.0,baseline
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,rbf_reference,-1,True,validation,0.9276194820822352,56430.96761192544,0.0,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,rbf_reference,-1,True,test,0.9276194820822352,61829.80327400173,0.0,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m0,0,False,validation,0.9276194820822352,56957.29972239996,0.1298254374139295,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m0,0,False,test,0.9276194820822352,62109.91567544077,0.1215773346841343,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m1,1,False,validation,0.9276194820822352,57396.15219121958,0.1087935115359022,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m1,1,False,test,0.9276194820822352,62428.46522923507,0.1159182292741298,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m2,2,False,validation,0.9276194820822352,57349.22792833196,0.1194199289719973,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m2,2,False,test,0.9276194820822352,62424.925495888405,0.1148997964505887,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m3,3,False,validation,0.9276194820822352,56943.753215070894,0.1224179697579646,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m3,3,False,test,0.9276194820822352,62359.78160941156,0.1192511661396986,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m4,4,False,validation,0.9276194820822352,56761.61495057924,0.1472171293924636,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m4,4,False,test,0.9276194820822352,61559.62164094484,0.1427520172754952,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m5,5,False,validation,0.9276194820822352,59221.84767336291,0.1419193544884327,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m5,5,False,test,0.9276194820822352,62780.52189191088,0.1342808401216741,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m6,6,False,validation,0.9276194820822352,57138.97872200926,0.139006665240364,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m6,6,False,test,0.9276194820822352,61692.41653376792,0.1308424164192804,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m7,7,False,validation,0.9276194820822352,57512.02314750169,0.1350175408091138,0.0,interface
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m7,7,False,test,0.9276194820822352,62064.054446914015,0.1092688311903981,0.0,interface
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,rbf_reference,-1,True,validation,0.9276194820822352,56142.75758006844,0.0,0.0,hybrid_prediction_mixture
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,rbf_reference,-1,True,test,0.9276194820822352,61570.1108719411,0.0,0.0,hybrid_prediction_mixture
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m0,0,False,validation,0.9276194820822352,56871.26134023371,0.1094640846133284,0.0,hybrid_prediction_mixture
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m0,0,False,test,0.9276194820822352,61860.95045478045,0.1021139548881858,0.0,hybrid_prediction_mixture
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m1,1,False,validation,0.9276194820822352,57315.54591419556,0.0972036018417359,0.0,hybrid_prediction_mixture
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m1,1,False,test,0.9276194820822352,62217.93574928501,0.1046710029810267,0.0,hybrid_prediction_mixture
