method,track,median_disagreement,median_disagreement_reduction,median_relative_task_change,median_task_error,median_predictive_rank,mean_predictive_rank,median_worst_orbit_gain,failure_fraction,paper_method_score,wins,ties,losses,units,model_families,datasets,runtime_seconds,performance_preserving_eligible,pareto_frontier
GramAnchor,representation,0.0,1.0,0.0035490298483863,26.88406845454818,25.5,23.844444444444445,0.033794823048074296,0.0,0.9822548507580685,40,0,50,90,5,6,56.98379283817485,True,True
Raw+GramAnchor@1,hybrid_prediction_mixture,0.0,1.0,0.0035490298483863,26.88406845454818,25.5,23.844444444444445,0.033794823048074296,0.0,0.9822548507580685,40,0,50,90,5,6,0.0,True,True
GramAnchor-m8,representation,0.0,1.0,0.0066603380592859,25.933934659237366,25.5,23.655555555555555,0.03085751794836205,0.0,0.9666983097035705,38,0,52,90,5,6,176.29093772405759,True,False
Raw+GramAnchor-m8@1,hybrid_prediction_mixture,0.0,1.0,0.0066603380592859,25.933934659237366,25.5,23.655555555555555,0.03085751794836205,0.0,0.9666983097035705,38,0,52,90,5,6,0.0,True,False
Raw+GramAnchor@0.75,hybrid_prediction_mixture,0.034843926137929096,0.7500000000000002,-0.0034283656924962496,26.789841823529468,15.5,17.4,0.03646416008139475,0.0,0.7500000000000002,51,0,39,90,5,6,0.0,True,False
Raw+GramAnchor-m8@0.75,hybrid_prediction_mixture,0.034843926137929096,0.7500000000000002,-0.00486893336438625,26.07037555688367,18.0,17.244444444444444,0.03593743594310425,0.0,0.7500000000000002,53,0,37,90,5,6,0.0,True,True
Raw+NystromGram@0.75,hybrid_prediction_mixture,0.034843926137929096,0.7500000000000002,-0.00027643964152135,27.366815811780672,19.5,19.81111111111111,0.02736666943814705,0.0,0.7500000000000002,47,0,43,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.05@0.75,hybrid_prediction_mixture,0.034843926137929096,0.7500000000000002,8.696239631673166e-05,27.29699937584186,24.25,20.772222222222222,0.023268577598868953,0.0,0.7495651880184165,43,0,47,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.10@0.75,hybrid_prediction_mixture,0.034843926137929096,0.7500000000000002,8.696239631673166e-05,27.29699937584186,24.25,20.772222222222222,0.023268577598868953,0.0,0.7495651880184165,43,0,47,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.01@0.75,hybrid_prediction_mixture,0.034843926137929096,0.7500000000000002,0.00099742472280235,27.413378535104812,23.5,21.127777777777776,0.0220434127941148,0.0,0.7450128763859885,45,0,45,90,5,6,0.0,True,False
Raw+PCA@0.75,hybrid_prediction_mixture,0.034843926137929096,0.7500000000000002,0.0037296324958009997,28.204729427974975,23.5,21.25,0.0210919526314125,0.0,0.7313518375209952,43,0,47,90,5,6,0.0,True,False
Raw+GramDistance@0.75,hybrid_prediction_mixture,0.034843926137929096,0.7500000000000002,0.0087581078185148,27.161269270182068,27.0,26.42222222222222,0.0152802412116246,0.0,0.7062094609074262,21,0,69,90,5,6,0.0,True,False
Raw+GramAnchor@0.5,hybrid_prediction_mixture,0.06968785227585834,0.5000000000000002,-0.005877496600629599,26.724869440141934,12.5,14.166666666666666,0.0333580860900405,0.0,0.5000000000000002,63,0,27,90,5,6,0.0,True,False
Raw+GramAnchor-m8@0.5,hybrid_prediction_mixture,0.06968785227585834,0.5000000000000002,-0.00981561813480295,26.34666141643273,11.5,14.033333333333333,0.0322312813122927,0.0,0.5000000000000002,65,0,25,90,5,6,0.0,True,True
Raw+NystromGram@0.5,hybrid_prediction_mixture,0.06968785227585834,0.5000000000000002,-0.007698932147221799,27.181066533651535,13.0,14.433333333333334,0.02407757650159965,0.0,0.5000000000000002,63,0,27,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.05@0.5,hybrid_prediction_mixture,0.06968785227585834,0.5000000000000002,-0.006303113412480601,27.126371506958844,15.0,14.316666666666666,0.02056021480987445,0.0,0.5000000000000002,58,0,32,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.10@0.5,hybrid_prediction_mixture,0.06968785227585834,0.5000000000000002,-0.006303113412480601,27.126371506958844,15.0,14.316666666666666,0.02056021480987445,0.0,0.5000000000000002,58,0,32,90,5,6,0.0,True,False
Raw+PCA@0.5,hybrid_prediction_mixture,0.06968785227585834,0.5000000000000002,-0.0045300573553818,27.71727537286827,16.25,14.983333333333333,0.01977239391959275,0.0,0.5000000000000002,55,0,35,90,5,6,0.0,True,False
Raw+HybridSpectral-t0.01@0.5,hybrid_prediction_mixture,0.06968785227585834,0.5000000000000002,-0.0061675071821886,27.205321601296014,15.5,14.516666666666667,0.01959951921030455,0.0,0.5000000000000002,55,0,35,90,5,6,0.0,True,False
Raw+GramDistance@0.5,hybrid_prediction_mixture,0.06968785227585834,0.5000000000000002,-0.0002363887255137,26.915673241064887,22.0,20.166666666666668,0.0170693042409772,0.0,0.5000000000000002,47,0,43,90,5,6,0.0,True,False
