dataset,main_fraction,pair_fraction,main_pair_fraction,triple_fraction,higher_fraction,source_group
australian_credit_approval,0.22881684894217427,0.3923161898491547,0.6211330387913289,0.29543303290652706,0.08343392830214395,positive
bank_marketing_subscription,0.2409970233750087,0.33510214616082523,0.576099169535834,0.295467266321751,0.1284335641424149,positive
credit_card_default,0.5070645855100782,0.34826375016177313,0.8553283356718513,0.12241129768206684,0.022260366646081775,positive
fremtpl_claim_count,0.2757463363126384,0.38809448135323255,0.6638408176658709,0.2796476469858015,0.05651153534832747,positive
german_credit_risk,0.2864885551880802,0.34167706008495696,0.6281656152730372,0.2717915640562103,0.10004282067075249,positive
heloc_credit_risk,0.43916250118107153,0.40400749659845164,0.8431699977795232,0.13170236781236588,0.025127634408110916,nonpositive
kdd17_stock_return,0.4068679297377866,0.4170959409584998,0.8239638706962863,0.14879006833276906,0.0272460609709444,positive
lendingclub_loan_default,0.36052358500783344,0.36618657478944083,0.7267101597972743,0.19436774766524997,0.07892209253747569,positive
openml-abalone-183,0.6272247170415887,0.26357769398337133,0.89080241102496,0.09466161319937837,0.014535975775661533,positive
openml-kin8nm-189,0.5829060922788613,0.360968273439732,0.9438743657185932,0.05612563428140683,0.0,nonpositive
openml-pol-201,0.5452804228311159,0.3955963783527905,0.9408768011839065,0.05912319881609354,0.0,nonpositive
openml-puma32h-308,0.5405220677337433,0.410373171516005,0.9508952392497484,0.04910476075025159,0.0,nonpositive
