dataset,split_seed,model,task,method,orbitcover_budget,canonical_iid_equivalent_budget,bracket
australian_credit_approval,2026082801,ft_transformer,classification,OC2-INDEPENDENT,16,13.738187646737439,interpolated
australian_credit_approval,2026082801,ft_transformer,classification,OC2-COUPLED,16,17.037741341425605,interpolated
australian_credit_approval,2026082801,mlp,classification,OC2-INDEPENDENT,16,14.776254007710213,interpolated
australian_credit_approval,2026082801,mlp,classification,OC2-COUPLED,16,31.015257190406246,interpolated
australian_credit_approval,2026082801,resnet,classification,OC2-INDEPENDENT,16,14.004908989938107,interpolated
australian_credit_approval,2026082801,resnet,classification,OC2-COUPLED,16,20.551173646151426,interpolated
australian_credit_approval,2026082801,tabm,classification,OC2-INDEPENDENT,16,15.988778496685082,interpolated
australian_credit_approval,2026082801,tabm,classification,OC2-COUPLED,16,28.655733827402837,interpolated
australian_credit_approval,2026082811,ft_transformer,classification,OC2-INDEPENDENT,16,14.456619368125232,interpolated
australian_credit_approval,2026082811,ft_transformer,classification,OC2-COUPLED,16,17.654930058945556,interpolated
australian_credit_approval,2026082811,mlp,classification,OC2-INDEPENDENT,16,15.5360066367728,interpolated
australian_credit_approval,2026082811,mlp,classification,OC2-COUPLED,16,26.006380475523905,interpolated
australian_credit_approval,2026082811,resnet,classification,OC2-INDEPENDENT,16,16.088653803484828,interpolated
australian_credit_approval,2026082811,resnet,classification,OC2-COUPLED,16,25.465125917465027,interpolated
australian_credit_approval,2026082811,tabm,classification,OC2-INDEPENDENT,16,15.118496286602834,interpolated
australian_credit_approval,2026082811,tabm,classification,OC2-COUPLED,16,26.519245666117445,interpolated
australian_credit_approval,2026082821,ft_transformer,classification,OC2-INDEPENDENT,16,14.894425258477312,interpolated
australian_credit_approval,2026082821,ft_transformer,classification,OC2-COUPLED,16,17.694415016557898,interpolated
australian_credit_approval,2026082821,mlp,classification,OC2-INDEPENDENT,16,15.785720287145232,interpolated
australian_credit_approval,2026082821,mlp,classification,OC2-COUPLED,16,28.55970669002611,interpolated
australian_credit_approval,2026082821,resnet,classification,OC2-INDEPENDENT,16,14.78378661608997,interpolated
australian_credit_approval,2026082821,resnet,classification,OC2-COUPLED,16,23.34028743840126,interpolated
australian_credit_approval,2026082821,tabm,classification,OC2-INDEPENDENT,16,15.886821193571896,interpolated
australian_credit_approval,2026082821,tabm,classification,OC2-COUPLED,16,25.894956960735676,interpolated
bank_marketing_subscription,2026082801,ft_transformer,classification,OC2-INDEPENDENT,16,15.841032828073178,interpolated
bank_marketing_subscription,2026082801,ft_transformer,classification,OC2-COUPLED,16,18.936545304132192,interpolated
bank_marketing_subscription,2026082801,mlp,classification,OC2-INDEPENDENT,16,14.339617217015403,interpolated
bank_marketing_subscription,2026082801,mlp,classification,OC2-COUPLED,16,30.231035774314563,interpolated
bank_marketing_subscription,2026082801,resnet,classification,OC2-INDEPENDENT,16,14.516989417044982,interpolated
bank_marketing_subscription,2026082801,resnet,classification,OC2-COUPLED,16,23.36367371173562,interpolated
bank_marketing_subscription,2026082801,tabm,classification,OC2-INDEPENDENT,16,14.377928227780783,interpolated
bank_marketing_subscription,2026082801,tabm,classification,OC2-COUPLED,16,26.927742168345457,interpolated
bank_marketing_subscription,2026082811,ft_transformer,classification,OC2-INDEPENDENT,16,15.25216334988152,interpolated
bank_marketing_subscription,2026082811,ft_transformer,classification,OC2-COUPLED,16,16.610563002672027,interpolated
bank_marketing_subscription,2026082811,mlp,classification,OC2-INDEPENDENT,16,14.33900438528716,interpolated
bank_marketing_subscription,2026082811,mlp,classification,OC2-COUPLED,16,29.31605623811062,interpolated
