dataset,split_seed,model,task,method,budget,reference,residual_mean,residual_median,residual_variance_across_constructions,residual_se,estimator_prediction_variance,residual_to_qcanonical,residual_to_qjoint,residual_to_qcoupled,predictive_loss,estimator_draws
australian_credit_approval,2026082801,ft_transformer,classification,CANONICAL-INDEPENDENT,4,Q_CANONICAL,0.004219200351944789,0.003918365273389208,2.5421160596793307e-06,7.046325587894155e-05,0.0021037440884605924,0.004219200351944789,0.004341659503072122,0.004694981516473205,0.2022532305115047,512
australian_credit_approval,2026082801,ft_transformer,classification,IID-JOINT,4,Q_JOINT,0.0047451302322052795,0.004483997698631793,3.007796331526494e-06,7.66459536440945e-05,0.002367625945360677,0.004879144578228695,0.0047451302322052795,0.005148421884045601,0.201783309573416,512
australian_credit_approval,2026082801,ft_transformer,classification,SRS-JOINT,4,Q_JOINT,0.004703528047044942,0.004463021426939448,3.0096179669014405e-06,7.666915997716667e-05,0.0023500824836039185,0.0048539483645315545,0.004703528047044942,0.005150435424434013,0.2016968904173772,512
australian_credit_approval,2026082801,ft_transformer,classification,OC1-INDEPENDENT,4,Q_JOINT,0.004662392586085298,0.004314253805160515,3.0327782162005268e-06,7.696359498825826e-05,0.002327230598070646,0.004803040265654848,0.004662392586085298,0.005142690995718223,0.20101776457356146,512
australian_credit_approval,2026082801,ft_transformer,classification,OC2-INDEPENDENT,4,Q_JOINT,0.004631581128659402,0.004288735955613762,3.1568669372890534e-06,7.852232635940355e-05,0.0023136732271763563,0.004770508280350227,0.004631581128659402,0.005106449746169778,0.20112078029528585,512
australian_credit_approval,2026082801,ft_transformer,classification,OC2-COUPLED,4,Q_COUPLED,0.004819164673593128,0.004583503590381081,2.557255702727906e-06,7.067276734634382e-05,0.002405613957967537,0.005255486568308112,0.005272840694016956,0.004819164673593128,0.20642506996991902,512
australian_credit_approval,2026082801,ft_transformer,classification,CANONICAL-INDEPENDENT,8,Q_CANONICAL,0.002127625887858393,0.0020284994836531384,6.163091496484358e-07,3.469479511262606e-05,0.00106218830411295,0.002127625887858393,0.0022701088898947116,0.0025814285873044553,0.20050494825579163,512
australian_credit_approval,2026082801,ft_transformer,classification,IID-JOINT,8,Q_JOINT,0.002345134296361976,0.002200587281788794,7.078597632568314e-07,3.7182503951603346e-05,0.001170840630023115,0.0024962033030382262,0.002345134296361976,0.0027954200678094775,0.1992602993818291,512
australian_credit_approval,2026082801,ft_transformer,classification,SRS-JOINT,8,Q_JOINT,0.0022696628041639372,0.0021310495973114203,7.843286535341146e-07,3.9139390662525874e-05,0.0011338275533897522,0.0024185418303675787,0.0022696628041639372,0.0027019618340886043,0.19948931102029077,512
australian_credit_approval,2026082801,ft_transformer,classification,OC1-INDEPENDENT,8,Q_JOINT,0.002302072266513598,0.0021782626377120943,6.288449355146229e-07,3.504586658476285e-05,0.0011481046253080875,0.002460940037127958,0.002302072266513598,0.002755663370837739,0.19942382358158522,512
australian_credit_approval,2026082801,ft_transformer,classification,OC2-INDEPENDENT,8,Q_JOINT,0.0022675007012575707,0.002073999872273985,7.565731953231467e-07,3.8440629835052397e-05,0.0011301585501876596,0.0023942936934338026,0.0022675007012575707,0.002714937835176303,0.1994292660377331,512
australian_credit_approval,2026082801,ft_transformer,classification,OC2-COUPLED,8,Q_COUPLED,0.0021867496813983405,0.0021189657167610997,4.7682317543640835e-07,3.0517130673184773e-05,0.001092118794018744,0.0026264588603617817,0.002631588253599061,0.0021867496813983405,0.20371816569677537,512
australian_credit_approval,2026082801,ft_transformer,classification,CANONICAL-INDEPENDENT,16,Q_CANONICAL,0.0009637179276238806,0.0009109883339725104,1.3208316942661549e-07,1.6061598310453364e-05,0.00048128019914334434,0.0009637179276238806,0.0011095121119400735,0.0014102020337130434,0.19974724418686002,512
australian_credit_approval,2026082801,ft_transformer,classification,IID-JOINT,16,Q_JOINT,0.0011403625915568133,0.001074522302822574,1.714776268134718e-07,1.8300744243611025e-05,0.0005685948360455592,0.001283107498291415,0.0011403625915568133,0.0016032432209086413,0.1981197033583901,512
australian_credit_approval,2026082801,ft_transformer,classification,SRS-JOINT,16,Q_JOINT,0.0011211276641692471,0.0010556720617691758,1.6621986002435356e-07,1.8017995563049335e-05,0.0005592476290121309,0.0012594446695439053,0.0011211276641692471,0.0015520663027480792,0.19837575323734846,512
