dataset,split_seed,model,task,canonical_joint_distance,canonical_coupled_distance,joint_coupled_distance,canonical_joint_distance_bootstrap_low,canonical_joint_distance_bootstrap_high,canonical_joint_mc_noise_95,canonical_joint_distinguishable_from_mc
australian_credit_approval,2026082801,ft_transformer,classification,0.00014465228267904694,0.0004464146471458098,0.0004499535002569674,0.00017881259649665874,0.000589759184355826,0.00033716585779238064,False
australian_credit_approval,2026082811,ft_transformer,classification,0.00021992026163128732,0.0002837575340033474,0.0003125933833832797,0.0002157022018707686,0.0006698135458116331,0.0002997391547526139,False
australian_credit_approval,2026082821,ft_transformer,classification,0.0005561088143754813,0.0007965082675063761,0.0008100881104419256,0.0004727265585004281,0.001294879244253294,0.00044487997470441746,True
australian_credit_approval,2026082801,mlp,classification,8.58344028129299e-06,5.2360382588013374e-05,5.085472055435791e-05,1.1732052999590362e-05,3.64372059195126e-05,2.1660715840337557e-05,False
australian_credit_approval,2026082811,mlp,classification,9.771132795473762e-06,7.392057275586945e-05,5.997673098893008e-05,1.0124786486704955e-05,3.55449704441839e-05,1.963508742069855e-05,False
australian_credit_approval,2026082821,mlp,classification,1.3864820120594852e-05,3.482117403790523e-05,5.267775405977852e-05,1.3223495403179407e-05,5.0748930492592485e-05,2.3547974098327163e-05,False
australian_credit_approval,2026082801,resnet,classification,0.00017132592248748574,0.0014523856842211774,0.0009247610658324518,0.00015660614306255917,0.0005071279800044138,0.0002243699290017876,False
australian_credit_approval,2026082811,resnet,classification,0.00012620619132503434,0.0006046293903495501,0.0007168772111840271,0.00012534084250678533,0.0004541740169555948,0.00023212008935888565,False
australian_credit_approval,2026082821,resnet,classification,8.651483623001181e-05,0.0006822947389641492,0.0006828526601613263,0.00014599009876558344,0.0004240625689298865,0.0002700559660413927,False
australian_credit_approval,2026082801,tabm,classification,1.9401504233879676e-05,5.599051923249958e-05,7.539067277595862e-05,1.887570686159526e-05,7.276165567663739e-05,3.7544468829456694e-05,False
australian_credit_approval,2026082811,tabm,classification,4.941133294837055e-05,0.00011722348202991224,0.00016038089015645146,2.591842385243192e-05,0.00012703336960120427,2.9403181778423358e-05,True
australian_credit_approval,2026082821,tabm,classification,2.4207936949892916e-05,0.0004045301285772861,0.0003835082238943473,2.323766327869432e-05,8.331585931013951e-05,4.1596122578090825e-05,False
bank_marketing_subscription,2026082801,ft_transformer,classification,0.0003895174963636401,0.0009692346790588459,0.0008857754566992996,0.0005505684872943712,0.001059727634353491,0.0004997072127583497,False
bank_marketing_subscription,2026082811,ft_transformer,classification,0.00038696336301643477,0.0007185401928760871,0.0005688822475615018,0.0006048586629042918,0.001049505949744773,0.0005492904490796148,False
bank_marketing_subscription,2026082821,ft_transformer,classification,0.0004605585959286117,0.0007428046371065843,0.0007741212557270101,0.0006001643959259824,0.0010881684866026245,0.0004816934516097069,False
bank_marketing_subscription,2026082801,mlp,classification,4.487419831647913e-06,0.00015475685674851028,0.0001452645355462781,4.749383871461778e-06,1.629854226138844e-05,7.259019632973563e-06,False
bank_marketing_subscription,2026082811,mlp,classification,5.0441765976312475e-06,4.172143711604615e-05,3.306428821776443e-05,4.815825002681482e-06,1.3911566328481155e-05,5.792091301862834e-06,False
bank_marketing_subscription,2026082821,mlp,classification,3.175847127610414e-06,2.9913959697928863e-05,2.403900500148826e-05,3.943020933253661e-06,1.4803186435705008e-05,8.120431419997573e-06,False
bank_marketing_subscription,2026082801,resnet,classification,0.00031390217187724043,0.003411490678823442,0.0032908643825137764,0.00037120445467097993,0.0007120972502141189,0.0002778996270647892,True
bank_marketing_subscription,2026082811,resnet,classification,0.00023728923394447963,0.002347307636432033,0.002147568791035273,0.00033941577296228926,0.0006683456408774421,0.00034338718243440185,False
