axis,dataset,model,condition,slope
training_size,bank_marketing_subscription,ft_transformer,20,-0.23551974814629198
training_size,bank_marketing_subscription,ft_transformer,50,-0.14297950811693208
training_size,bank_marketing_subscription,ft_transformer,100,-0.08222613965937833
training_size,bank_marketing_subscription,ft_transformer,200,-0.012668879734473693
training_size,bank_marketing_subscription,ft_transformer,convergence,-0.05084420795549993
training_size,bank_marketing_subscription,mlp,20,0.24271532836470058
training_size,bank_marketing_subscription,mlp,50,-0.09348437342028869
training_size,bank_marketing_subscription,mlp,100,0.10237322035505766
training_size,bank_marketing_subscription,mlp,200,0.26908384139310904
training_size,bank_marketing_subscription,mlp,convergence,0.4956603881385154
training_size,bank_marketing_subscription,resnet,20,-0.2292958061256273
training_size,bank_marketing_subscription,resnet,50,-0.10509055693119075
training_size,bank_marketing_subscription,resnet,100,-0.07156171839759508
training_size,bank_marketing_subscription,resnet,200,-0.04649765445481578
training_size,bank_marketing_subscription,resnet,convergence,-0.08173300571572502
training_size,bank_marketing_subscription,tabm,20,0.2321954238107818
training_size,bank_marketing_subscription,tabm,50,-0.2825227237636217
training_size,bank_marketing_subscription,tabm,100,-0.27662989950331146
training_size,bank_marketing_subscription,tabm,200,-0.2222521114846533
training_size,bank_marketing_subscription,tabm,convergence,0.33084667695999853
training_size,credit_card_default,ft_transformer,20,-0.3206070475697372
training_size,credit_card_default,ft_transformer,50,-0.27090381335571284
training_size,credit_card_default,ft_transformer,100,-0.19631747777353883
training_size,credit_card_default,ft_transformer,200,-0.1240705551553993
training_size,credit_card_default,ft_transformer,convergence,-0.09753351686795561
training_size,credit_card_default,mlp,20,0.0015702576658803973
training_size,credit_card_default,mlp,50,-0.019243697415467352
training_size,credit_card_default,mlp,100,-0.01269625310899454
training_size,credit_card_default,mlp,200,0.005144923820847015
training_size,credit_card_default,mlp,convergence,-0.1404789693326786
training_size,credit_card_default,resnet,20,-0.30172902602882556
training_size,credit_card_default,resnet,50,-0.10983709297796566
training_size,credit_card_default,resnet,100,-0.0632434171786558
training_size,credit_card_default,resnet,200,-0.036755624438297003
training_size,credit_card_default,resnet,convergence,0.06206810622494173
training_size,credit_card_default,tabm,20,0.09942515505231533
training_size,credit_card_default,tabm,50,-0.12207702138138907
training_size,credit_card_default,tabm,100,-0.18000645174897795
training_size,credit_card_default,tabm,200,-0.1721200286300907
training_size,credit_card_default,tabm,convergence,-0.003832378668858991
training_size,fremtpl_claim_count,ft_transformer,20,-0.34691414233406975
training_size,fremtpl_claim_count,ft_transformer,50,-0.20356820105116577
training_size,fremtpl_claim_count,ft_transformer,100,-0.20070989644856266
training_size,fremtpl_claim_count,ft_transformer,200,-0.16775936564110816
training_size,fremtpl_claim_count,ft_transformer,convergence,0.37107331046812814
training_size,fremtpl_claim_count,mlp,20,0.07892202227483779
training_size,fremtpl_claim_count,mlp,50,0.09326672941422988
training_size,fremtpl_claim_count,mlp,100,0.2618354228354588
training_size,fremtpl_claim_count,mlp,200,0.17839447278211593
training_size,fremtpl_claim_count,mlp,convergence,0.4539432206508383
training_size,fremtpl_claim_count,resnet,20,-0.5898466101025484
training_size,fremtpl_claim_count,resnet,50,-0.3406629689109812
training_size,fremtpl_claim_count,resnet,100,-0.2803502660607916
training_size,fremtpl_claim_count,resnet,200,-0.22223841367317151
training_size,fremtpl_claim_count,resnet,convergence,0.040213937239783164
training_size,fremtpl_claim_count,tabm,20,-0.030997656992096972
training_size,fremtpl_claim_count,tabm,50,-0.21953862109405464
training_size,fremtpl_claim_count,tabm,100,-0.19609266013210153
training_size,fremtpl_claim_count,tabm,200,-0.08098047979907437
training_size,fremtpl_claim_count,tabm,convergence,0.2856302146348964
training_size,heloc_credit_risk,ft_transformer,20,-0.01551530785352578
training_size,heloc_credit_risk,ft_transformer,50,-0.031176900324203633
training_size,heloc_credit_risk,ft_transformer,100,-0.003309911420571384
training_size,heloc_credit_risk,ft_transformer,200,0.012551105808063897
training_size,heloc_credit_risk,ft_transformer,convergence,0.06866324372567338
training_size,heloc_credit_risk,mlp,20,-0.0415652076896923
training_size,heloc_credit_risk,mlp,50,0.2774387696355434
training_size,heloc_credit_risk,mlp,100,0.18149798726955946
training_size,heloc_credit_risk,mlp,200,0.045142036086762156
training_size,heloc_credit_risk,mlp,convergence,0.2330291547759094
training_size,heloc_credit_risk,resnet,20,-0.10196515388978121
training_size,heloc_credit_risk,resnet,50,0.15458672055525363
training_size,heloc_credit_risk,resnet,100,0.1517929199057801
training_size,heloc_credit_risk,resnet,200,0.12159593301825715
training_size,heloc_credit_risk,resnet,convergence,0.14096122501623862
training_size,heloc_credit_risk,tabm,20,0.39178834530797596
training_size,heloc_credit_risk,tabm,50,0.06280940419175376
training_size,heloc_credit_risk,tabm,100,-0.10792640529818966
training_size,heloc_credit_risk,tabm,200,-0.1170408270011981
training_size,heloc_credit_risk,tabm,convergence,0.3476458981013222
training_size,kdd17_stock_return,ft_transformer,20,-0.2722171371095114
training_size,kdd17_stock_return,ft_transformer,50,-0.09862559392141639
training_size,kdd17_stock_return,ft_transformer,100,0.013374221665547817
training_size,kdd17_stock_return,ft_transformer,200,0.08879784571045861
training_size,kdd17_stock_return,ft_transformer,convergence,0.48151655283353356
training_size,kdd17_stock_return,mlp,20,0.2126870536889716
training_size,kdd17_stock_return,mlp,50,0.2503008431878455
training_size,kdd17_stock_return,mlp,100,0.22628365188421862
training_size,kdd17_stock_return,mlp,200,0.08002207091377081
training_size,kdd17_stock_return,mlp,convergence,0.42584741810722115
