dataset,model,task,method,budget,residual_mean,residual_median,canonical_joint_distance
bank_marketing_subscription,xgboost,classification,IID-JOINT,16,0.0002646459650554361,0.0002261312516656252,0.0025149166933513094
bank_marketing_subscription,xgboost,classification,SRS-JOINT,16,0.00012798985928627035,0.00010167514834241292,0.0025149166933513094
bank_marketing_subscription,xgboost,classification,OC1-INDEPENDENT,16,8.624091420825467e-06,5.632807890916323e-06,0.0025149166933513094
bank_marketing_subscription,xgboost,classification,OC2-INDEPENDENT,16,3.7062639463867485e-15,3.6326551942822425e-15,0.0025149166933513094
credit_card_default,catboost_native,classification,CANONICAL-INDEPENDENT,16,0.00012619548447509015,0.00012566046701402347,4.474969054129885e-05
credit_card_default,catboost_native,classification,IID-JOINT,16,0.0001089951176588329,0.00010852697179945082,4.474969054129885e-05
credit_card_default,catboost_native,classification,SRS-JOINT,16,0.00010853958505842987,0.00010789649725442043,4.474969054129885e-05
credit_card_default,catboost_native,classification,OC1-INDEPENDENT,16,0.00010886470993688487,0.0001082355766363712,4.474969054129885e-05
credit_card_default,catboost_native,classification,OC2-INDEPENDENT,16,0.00010916346399977706,0.00010856581926132735,4.474969054129885e-05
credit_card_default,xgboost,classification,CANONICAL-INDEPENDENT,16,1.2816765538963514e-14,1.2816765538963514e-14,0.0008475871918452825
credit_card_default,xgboost,classification,IID-JOINT,16,6.895562874184677e-05,5.5001184051312965e-05,0.0008475871918452825
credit_card_default,xgboost,classification,SRS-JOINT,16,3.5359607145810287e-15,3.528799152755209e-15,0.0008475871918452825
credit_card_default,xgboost,classification,OC1-INDEPENDENT,16,3.4182992946724496e-15,3.41929160990018e-15,0.0008475871918452825
credit_card_default,xgboost,classification,OC2-INDEPENDENT,16,4.098601102613129e-15,4.016941328582106e-15,0.0008475871918452825
fremtpl_claim_count,catboost_native,regression,CANONICAL-INDEPENDENT,16,9.680335902522326e-05,9.587381330334634e-05,2.563733476006017e-05
fremtpl_claim_count,catboost_native,regression,IID-JOINT,16,9.837674637149458e-05,9.71870909528631e-05,2.563733476006017e-05
fremtpl_claim_count,catboost_native,regression,SRS-JOINT,16,9.888958032511633e-05,9.746190652754576e-05,2.563733476006017e-05
fremtpl_claim_count,catboost_native,regression,OC1-INDEPENDENT,16,9.863155751501171e-05,9.702189975401646e-05,2.563733476006017e-05
fremtpl_claim_count,catboost_native,regression,OC2-INDEPENDENT,16,9.878097341196894e-05,9.69070642513551e-05,2.563733476006017e-05
fremtpl_claim_count,xgboost,regression,CANONICAL-INDEPENDENT,16,1.2060976251336867e-15,1.2060976251336867e-15,0.02389091697276264
fremtpl_claim_count,xgboost,regression,IID-JOINT,16,0.0013865716717235423,0.0012346942043735066,0.02389091697276264
fremtpl_claim_count,xgboost,regression,SRS-JOINT,16,2.4159665400163463e-16,2.3517221720856424e-16,0.02389091697276264
fremtpl_claim_count,xgboost,regression,OC1-INDEPENDENT,16,0.00030827759688479975,0.0002707030934824367,0.02389091697276264
fremtpl_claim_count,xgboost,regression,OC2-INDEPENDENT,16,2.4805837207048203e-16,2.4166798714960436e-16,0.02389091697276264
german_credit_risk,catboost_native,classification,CANONICAL-INDEPENDENT,16,0.0003753497806565162,0.0003681025181749037,9.100674816316319e-05
german_credit_risk,catboost_native,classification,IID-JOINT,16,0.0003816081637658371,0.00037491424705479704,9.100674816316319e-05
german_credit_risk,catboost_native,classification,SRS-JOINT,16,0.0003771916036169365,0.00036733705900997635,9.100674816316319e-05
german_credit_risk,catboost_native,classification,OC1-INDEPENDENT,16,0.0003827411359401125,0.0003733995737706451,9.100674816316319e-05
german_credit_risk,catboost_native,classification,OC2-INDEPENDENT,16,0.00037932899690878893,0.000371084563885033,9.100674816316319e-05
german_credit_risk,xgboost,classification,CANONICAL-INDEPENDENT,16,1.1104168799735967e-14,1.110416879973597e-14,0.010045808561346105
german_credit_risk,xgboost,classification,IID-JOINT,16,0.0008275054502159787,0.0006941557521321183,0.010045808561346105
german_credit_risk,xgboost,classification,SRS-JOINT,16,0.0004211209649871403,0.0003671680166420506,0.010045808561346105
german_credit_risk,xgboost,classification,OC1-INDEPENDENT,16,9.936732315474842e-05,9.103601136723573e-05,0.010045808561346105
german_credit_risk,xgboost,classification,OC2-INDEPENDENT,16,2.576905390368008e-15,2.5623965238392155e-15,0.010045808561346105
heloc_credit_risk,catboost_native,classification,CANONICAL-INDEPENDENT,16,0.00017147611680362845,0.0001706570377438121,6.754988726170295e-05
heloc_credit_risk,catboost_native,classification,IID-JOINT,16,0.00015044786638392712,0.00015015842506446692,6.754988726170295e-05
heloc_credit_risk,catboost_native,classification,SRS-JOINT,16,0.0001519492259053615,0.0001507078098641975,6.754988726170295e-05
heloc_credit_risk,catboost_native,classification,OC1-INDEPENDENT,16,0.00015033919420313059,0.00015094433958286776,6.754988726170295e-05
heloc_credit_risk,catboost_native,classification,OC2-INDEPENDENT,16,0.00015063836726755963,0.0001508725814918768,6.754988726170295e-05
heloc_credit_risk,xgboost,classification,CANONICAL-INDEPENDENT,16,1.1959671534361727e-14,1.1959671534361727e-14,0.0017822900015619248
heloc_credit_risk,xgboost,classification,IID-JOINT,16,9.883428170713701e-05,6.546784048633537e-05,0.0017822900015619248
heloc_credit_risk,xgboost,classification,SRS-JOINT,16,3.873467665280506e-15,3.838449443886662e-15,0.0017822900015619248
heloc_credit_risk,xgboost,classification,OC1-INDEPENDENT,16,3.65677363182566e-15,3.662596933707196e-15,0.0017822900015619248
heloc_credit_risk,xgboost,classification,OC2-INDEPENDENT,16,4.204772763990099e-15,4.028798075925437e-15,0.0017822900015619248
kdd17_stock_return,catboost_native,regression,CANONICAL-INDEPENDENT,16,0.000297600903711831,0.000292585198089009,6.187766576939757e-05
kdd17_stock_return,catboost_native,regression,IID-JOINT,16,0.000289715267077394,0.00028890399911554135,6.187766576939757e-05
kdd17_stock_return,catboost_native,regression,SRS-JOINT,16,0.00028740167010455687,0.00028266883684875525,6.187766576939757e-05
kdd17_stock_return,catboost_native,regression,OC1-INDEPENDENT,16,0.0002920399784637263,0.0002878347715928383,6.187766576939757e-05
kdd17_stock_return,catboost_native,regression,OC2-INDEPENDENT,16,0.0002874243870224696,0.0002808488259905081,6.187766576939757e-05
kdd17_stock_return,xgboost,regression,CANONICAL-INDEPENDENT,16,1.7685330363624304e-15,1.7685330363624304e-15,0.015213141507938604
kdd17_stock_return,xgboost,regression,IID-JOINT,16,0.0009287895193596392,0.0007996757399412094,0.015213141507938604
kdd17_stock_return,xgboost,regression,SRS-JOINT,16,5.722971886457238e-16,5.358147756226576e-16,0.015213141507938604
kdd17_stock_return,xgboost,regression,OC1-INDEPENDENT,16,4.229306993170124e-05,3.845224855447966e-05,0.015213141507938604
kdd17_stock_return,xgboost,regression,OC2-INDEPENDENT,16,5.724375605397457e-16,5.437218453492742e-16,0.015213141507938604
lendingclub_loan_default,catboost_native,classification,CANONICAL-INDEPENDENT,16,3.1562735209283455e-05,3.1209645664508145e-05,5.712764626971559e-06
lendingclub_loan_default,catboost_native,classification,IID-JOINT,16,3.411055469293263e-05,3.355345313007828e-05,5.712764626971559e-06
lendingclub_loan_default,catboost_native,classification,SRS-JOINT,16,3.3894735517123774e-05,3.350140355124362e-05,5.712764626971559e-06
lendingclub_loan_default,catboost_native,classification,OC1-INDEPENDENT,16,3.41787976786751e-05,3.341940747723376e-05,5.712764626971559e-06
