dataset,split_seed,model,task,total_variance,schema_only_mass,initialization_main_mass,order_main_mass,schema_initialization_mass,schema_order_mass,initialization_order_mass,joint_higher_mass,fanova_reconstruction_error
bank_marketing_subscription,2026082801,ft_transformer,classification,0.016455969024241172,0.0020185907003903267,0.0002810998143083791,0.0002860613436416285,0.005880000030784333,0.0019331813112037823,0.0002056714964015678,0.00585136432751116,-3.469446951953614e-18
bank_marketing_subscription,2026082811,ft_transformer,classification,0.016925597198931455,0.0020035486336186323,0.00023364159066168691,0.00018708423705756963,0.005814113465078732,0.0021204124463659406,0.0002123857320323973,0.0063544110941164975,-3.469446951953614e-18
bank_marketing_subscription,2026082821,ft_transformer,classification,0.015669482882508228,0.0019029136799343675,0.0002726802946808011,0.00018213328168007218,0.005461758952425493,0.0018929815221468706,0.00023161836080339812,0.005725396790837223,3.469446951953614e-18
bank_marketing_subscription,2026082801,mlp,classification,0.0001640605395843513,2.833790318892712e-05,6.150078336565203e-06,4.387985670004001e-05,7.84510007034079e-05,1.6090756606049535e-06,5.402179764312934e-07,5.092407018374788e-06,2.710505431213761e-20
bank_marketing_subscription,2026082811,mlp,classification,0.00013411865682107785,2.1684959677547165e-05,5.601691297120826e-06,3.4572537244089094e-05,6.601171105492931e-05,1.5147657141408284e-06,5.6736764991338e-07,4.165624183337266e-06,5.421010862427522e-20
bank_marketing_subscription,2026082821,mlp,classification,0.00019465289742776426,2.820370252877979e-05,5.882198681745324e-06,7.396543969560369e-05,7.602090621242566e-05,2.291687236713897e-06,8.758412337180865e-07,7.41312183877781e-06,0.0
bank_marketing_subscription,2026082801,resnet,classification,0.00865255955408223,0.0011396431358413946,0.00017749327518231251,0.0011277144599366666,0.003054925440649463,0.0007815281855843729,0.00010592422846039844,0.002265330828427622,0.0
bank_marketing_subscription,2026082811,resnet,classification,0.010509249149578825,0.001452222206312414,0.0002450211492137907,0.0007963348250397441,0.004009938618270502,0.000973860939354742,0.00013132575452973669,0.0029005456568578928,3.469446951953614e-18
bank_marketing_subscription,2026082821,resnet,classification,0.009453437868909717,0.0012794878061310733,0.00016553533224430224,0.0009593485114797629,0.0035871556771617896,0.0008731155471367362,0.00010213130104616155,0.002486663693709886,5.204170427930421e-18
bank_marketing_subscription,2026082801,tabm,classification,0.00029931672450129516,5.9438769893780844e-05,1.6409072275280892e-05,4.5281273827875646e-05,0.00016829942119839548,2.212091454022579e-06,5.932236657185301e-07,7.082872186221292e-06,-1.0842021724855044e-19
bank_marketing_subscription,2026082811,tabm,classification,0.0003230805695672399,5.745346571807648e-05,1.8278564104257636e-05,8.288337396464911e-05,0.0001547628170721767,2.1294956543354075e-06,9.959025083026543e-07,6.576950545441943e-06,-1.0842021724855044e-19
bank_marketing_subscription,2026082821,tabm,classification,0.0002587179955202969,4.9582620323952396e-05,1.2196432584721705e-05,4.1872790884183185e-05,0.00014541046592478807,2.2619410100058142e-06,4.154485249734323e-07,6.978296267672274e-06,-5.421010862427522e-20
fremtpl_claim_count,2026082801,ft_transformer,regression,0.12221784105938602,0.010571481264259195,0.003090773256869771,0.0028848296250249088,0.0323892522321295,0.017557809563677897,0.0036150464535735227,0.052108648663851204,0.0
fremtpl_claim_count,2026082811,ft_transformer,regression,0.12911300416831445,0.012776823667504923,0.003260978176638378,0.0019553281569056197,0.03577870890169584,0.017856433688737093,0.0037726331343568313,0.053712098442475736,5.551115123125783e-17
fremtpl_claim_count,2026082821,ft_transformer,regression,0.13340417306450192,0.01188660899160105,0.002724717892250997,0.0028865593432755698,0.03424673990426258,0.019690294371201407,0.003868316619724258,0.05810093594218607,0.0
fremtpl_claim_count,2026082801,mlp,regression,0.001237408352846202,0.00015028112862583475,5.6080255522333e-05,0.0004536055790406219,0.0004691135797629671,2.3793110225928815e-05,1.3749882312637322e-05,7.078481735587923e-05,0.0
fremtpl_claim_count,2026082811,mlp,regression,0.0020255987049461457,0.0002714811129448481,9.508200429877933e-05,0.0006233856780154074,0.0008724392664858109,3.7199308192830964e-05,1.944600240682585e-05,0.00010656533260164312,0.0
fremtpl_claim_count,2026082821,mlp,regression,0.0017202812486870759,0.00025002157568849987,0.00010640793647659949,0.0004989058634657152,0.0007047532750026123,3.3314641813804285e-05,2.6375426392410326e-05,0.0001005025298474342,2.168404344971009e-19
fremtpl_claim_count,2026082801,resnet,regression,0.09410389565257181,0.01116251079962947,0.003151740421571009,0.005240484189497871,0.03448066022259455,0.009610043159244894,0.00242325666292498,0.028035200197109027,0.0
fremtpl_claim_count,2026082811,resnet,regression,0.08917616576716758,0.0117246597841144,0.003357414260584735,0.005273275172753597,0.03397679632083535,0.008063687161819917,0.002029985238033205,0.02475034782902638,0.0
fremtpl_claim_count,2026082821,resnet,regression,0.09598534852182977,0.011845132338695791,0.0037548293197255085,0.0075652153881536595,0.03319380139391343,0.009252642923565136,0.002499931028914392,0.02787379612886187,1.3877787807814457e-17
fremtpl_claim_count,2026082801,tabm,regression,0.0050211615204075345,0.0008579279725395374,0.00024150324584384307,0.0009325684602306077,0.002581939087168004,8.403602673379868e-05,4.78221553552029e-05,0.00027536457253654243,-8.673617379884035e-19
fremtpl_claim_count,2026082811,tabm,regression,0.008001194679578957,0.0013319291562272164,0.00039105574960629144,0.0014891310657485144,0.004239796851803278,0.00011564008833036293,6.306896597006872e-05,0.00037057280189322435,1.734723475976807e-18
fremtpl_claim_count,2026082821,tabm,regression,0.004790912370886243,0.0008573630900482685,0.00030291276934280465,0.0006001810986033885,0.002656390581803842,8.630053041343988e-05,4.7342675352354046e-05,0.00024042162532214616,0.0
heloc_credit_risk,2026082801,ft_transformer,classification,0.035073050772945334,0.004111806226742544,0.00208199718985006,0.0017197118763075878,0.012159485218530757,0.003274420116191997,0.0015894291687559288,0.010136200976566456,0.0
heloc_credit_risk,2026082811,ft_transformer,classification,0.0337544165828328,0.0038536686824692484,0.002256630268340303,0.0007426531420276532,0.012202027409831106,0.0033089417462401124,0.0014232965103629055,0.009967198823561474,-6.938893903907228e-18
heloc_credit_risk,2026082821,ft_transformer,classification,0.03496038010783524,0.0040342297553391145,0.002461477876709263,0.0010525350065206012,0.012725413981410055,0.003268327632425252,0.0015179983944186388,0.009900397461012313,0.0
heloc_credit_risk,2026082801,mlp,classification,0.0005245438435935339,7.212140056186128e-05,7.473180425697032e-05,9.850376760698674e-05,0.00024699365517254543,7.054811234819082e-06,7.092461788480149e-06,1.804594297187099e-05,0.0
heloc_credit_risk,2026082811,mlp,classification,0.0006011636001329062,9.801826112395378e-05,8.141513075864517e-05,9.837107820723211e-05,0.0002871452345047785,7.6281190241837725e-06,6.943693105877916e-06,2.164208340823508e-05,-2.168404344971009e-19
heloc_credit_risk,2026082821,mlp,classification,0.000538642924168776,7.184998704560628e-05,5.60672183609766e-05,0.0001685813601658907,0.0002132675815000073,4.99093662490823e-06,6.720384413983367e-06,1.7165456057403535e-05,0.0
