evidence_source,dataset,split_seed,model,task,population,factor_count,main_fraction,pair_fraction,main_pair_fraction,triple_fraction,higher_fraction,total_nuisance_variance,oc2_residual,srs_residual,effective_interaction_order,sampling_fraction,gain,relative_loss,oc2_wins,srs_wins
completion_neural,heloc_credit_risk,2026082801,ft_transformer,classification,32,5,0.2832294654753491,0.4184697271332284,0.7016991926085775,0.2404642619720335,0.0578365454193889,0.0618903746318029,0.0023485287267131,0.00200453369013,2.072907887335462,0.5,-0.17160850839119135,0.17160850839119135,False,True
completion_neural,heloc_credit_risk,2026082821,ft_transformer,classification,32,5,0.2720181800243663,0.4243164178373382,0.6963345978617045,0.2484727281944532,0.0551926739438422,0.0702072739764329,0.0026258705361892,0.0022618370051169,2.086839896057771,0.5,-0.16094596129109018,0.16094596129109018,False,True
completion_neural,heloc_credit_risk,2026082811,ft_transformer,classification,32,5,0.2898490735156093,0.407766419533952,0.6976154930495613,0.2437078770613184,0.0586766298891203,0.061958583515344,0.0022680953203656,0.0020208169860629,2.0712120633239497,0.5,-0.12236552642229381,0.12236552642229381,False,True
final_B_full_product_n2048_econvergence,kdd17_stock_return,2026082801,mlp,regression,128,4,0.1181850697023043,0.4010339065375783,0.5192189762398827,0.4807810237601172,1.4253804867735252e-16,0.0121702485201232,0.0006871915577099,0.0006138743453252,2.3625959540578134,0.125,-0.11943358269168303,0.11943358269168303,False,True
completion_neural,credit_card_default,2026082811,ft_transformer,classification,32,5,0.3113142521335247,0.40373402001842085,0.7150482721519456,0.2350792673443731,0.0498724605036814,0.0239217412598772,0.0008616998901982,0.0007699556066152,2.0235099362182116,0.5,-0.11915528998654468,0.11915528998654468,False,True
completion_neural,credit_card_default,2026082821,ft_transformer,classification,32,5,0.3414273350241993,0.3747904639353006,0.7162177989594999,0.2290044296184805,0.0547777714220195,0.0286976499116747,0.0010279702160567,0.0009222337458895,1.99713263743832,0.5,-0.11465257114964578,0.11465257114964578,False,True
strength2_confirmation,polish_bankruptcy_4year,original,onehot_adam_mlp,binclass,32,4,0.3705040743089373,0.3102237852626212,0.6807278595715585,0.3192721404284416,0.0,0.0062571844051064,0.0002219716286748,0.0002018446582292,1.9487680661195044,0.5,-0.09971515036452083,0.09971515036452083,False,True
final_B_full_product_n2048_e20,bank_marketing_subscription,2026082801,mlp,classification,256,4,0.0645788124143429,0.2239469688316448,0.2885257812459878,0.4527562760467788,0.2587179427072332,0.0001939202780056,2.3349003461135092e-05,2.1936621749121343e-05,2.9056133490469027,0.0625,-0.06438464993226778,0.06438464993226778,False,True
final_B_full_product_n2048_econvergence,heloc_credit_risk,2026082801,ft_transformer,classification,64,4,0.1705862240420093,0.501215120402248,0.6718013444442573,0.3281986555557425,7.405255545204391e-17,0.0029281965108891,0.0002924887728317,0.0002752149256926,2.157612431513733,0.25,-0.0627649357883806,0.0627649357883806,False,True
final_A_schema,openml-abalone-183,2026082801,resnet,regression,16,3,0.368378863504026,0.6316211364959738,0.9999999999999999,0.0,1.5646004661036312e-16,0.0006929578483288604,0.0006649829769749,0.0006290114556995,1.6316211364959743,1.0,-0.057187386572153054,0.057187386572153054,False,True
