dataset,model,task,budget,budget_order,training_rows,ordinary_variance,matched_variance,fraction_removed,maximum_initial_gap
bank_marketing_subscription,ft_transformer,classification,convergence,500,2048,0.0018579343660749248,3.9101384172996025e-07,0.9997895437810561,1.1920928955078125e-07
bank_marketing_subscription,ft_transformer,classification,100,100,2048,0.027328986054940656,0.01808893343496723,0.3381044800344126,1.1920928955078125e-07
bank_marketing_subscription,ft_transformer,classification,20,20,2048,0.014603375834873832,0.0005629925526780223,0.961447780359555,1.1920928955078125e-07
bank_marketing_subscription,mlp,classification,convergence,500,2048,0.0001492970306281102,2.3086371655042337e-16,0.9999999999984537,1.1920928955078125e-07
bank_marketing_subscription,mlp,classification,100,100,2048,0.0018687691339106557,8.518335966693544e-16,0.9999999999995441,1.1920928955078125e-07
bank_marketing_subscription,mlp,classification,20,20,2048,0.00012116155988988866,2.457265048278114e-16,0.999999999997972,1.1920928955078125e-07
bank_marketing_subscription,resnet,classification,convergence,500,2048,0.0016132840599016123,7.871530804953325e-16,0.9999999999995121,1.7881393432617188e-07
bank_marketing_subscription,resnet,classification,100,100,2048,0.02392432030273669,0.01232431000140147,0.4848626901224149,1.7881393432617188e-07
bank_marketing_subscription,resnet,classification,20,20,2048,0.008977221809385406,8.580269432442487e-15,0.9999999999990442,1.7881393432617188e-07
bank_marketing_subscription,tabm,classification,convergence,500,2048,0.00026101092243171526,6.165011453349691e-10,0.999997638025491,1.1920928955078125e-07
bank_marketing_subscription,tabm,classification,100,100,2048,0.005091948806755167,0.00015291516187276746,0.9699692263854058,1.1920928955078125e-07
bank_marketing_subscription,tabm,classification,20,20,2048,0.0003200141284127224,9.833009352527108e-09,0.9999692732024011,1.1920928955078125e-07
fremtpl_claim_count,ft_transformer,regression,convergence,500,2048,0.011635080702597923,1.615170069427783e-15,0.9999999999998612,3.2782554626464844e-07
fremtpl_claim_count,ft_transformer,regression,100,100,2048,0.1888132510343024,0.15688472737849593,0.1691010746380608,3.2782554626464844e-07
fremtpl_claim_count,ft_transformer,regression,20,20,2048,0.12629812798172976,0.009816674727868013,0.9222737907145536,3.2782554626464844e-07
fremtpl_claim_count,mlp,regression,convergence,500,2048,0.0005227665953344738,7.181494727912701e-17,0.9999999999998627,1.862645149230957e-08
fremtpl_claim_count,mlp,regression,100,100,2048,0.006176267073241341,2.2534549496745928e-15,0.9999999999996352,1.862645149230957e-08
fremtpl_claim_count,mlp,regression,20,20,2048,0.0008854827857464674,2.2627378749111283e-16,0.9999999999997444,1.862645149230957e-08
fremtpl_claim_count,resnet,regression,convergence,500,2048,0.009190102687987579,2.91110340014233e-15,0.9999999999996833,4.76837158203125e-07
fremtpl_claim_count,resnet,regression,100,100,2048,0.15059553465360317,0.1341347011213933,0.10930492441275064,4.76837158203125e-07
fremtpl_claim_count,resnet,regression,20,20,2048,0.08477916707264024,1.5091469215386443e-13,0.9999999999982199,4.76837158203125e-07
fremtpl_claim_count,tabm,regression,convergence,500,2048,0.0016282873773276146,2.0886124583256376e-09,0.9999987172949398,1.30385160446167e-08
fremtpl_claim_count,tabm,regression,100,100,2048,0.021858900989483246,0.0006208955339210019,0.9715952995889534,1.30385160446167e-08
fremtpl_claim_count,tabm,regression,20,20,2048,0.0032297462636702396,2.4531231076630527e-06,0.9992404594951446,1.30385160446167e-08
