dataset,split_seed,model,task,method,budget,residual_mean,residual_median,residual_se,iid_residual,relative_reduction_vs_none
bank_marketing_subscription,2026082801,ft_transformer,classification,none,16,0.002055646833791995,0.002007380999613125,1.7172319881960114e-05,0.002055646833791995,0.0
bank_marketing_subscription,2026082801,ft_transformer,classification,schema,16,0.0018963502267253997,0.0018577111089662702,1.4117754416487477e-05,0.002055646833791995,0.07749220559095027
bank_marketing_subscription,2026082801,ft_transformer,classification,initialization,16,0.0019844102855270536,0.0019580590575180076,1.4829497488413117e-05,0.002055646833791995,0.03465407923866637
bank_marketing_subscription,2026082801,ft_transformer,classification,order,16,0.00202825949456068,0.0019851338813277365,1.5089763136740292e-05,0.002055646833791995,0.01332297882160749
bank_marketing_subscription,2026082801,ft_transformer,classification,schema_initialization,16,0.001902456383004212,0.001858483349280488,1.3729127814318054e-05,0.002055646833791995,0.07452177498077184
bank_marketing_subscription,2026082801,ft_transformer,classification,schema_order,16,0.0018620086414591172,0.0018350931662152146,1.3350722684288114e-05,0.002055646833791995,0.09419818090818588
bank_marketing_subscription,2026082801,ft_transformer,classification,initialization_order,16,0.001963640706712498,0.0019414973019929592,1.4433264756603835e-05,0.002055646833791995,0.044757750002112906
bank_marketing_subscription,2026082801,ft_transformer,classification,all_factors,16,0.0018582093775670319,0.0018232924545645316,1.3145309980974046e-05,0.002055646833791995,0.09604638937942256
bank_marketing_subscription,2026082811,ft_transformer,classification,none,16,0.0021201182475960893,0.0020933362775603557,1.6605991320660885e-05,0.0021201182475960893,0.0
bank_marketing_subscription,2026082811,ft_transformer,classification,schema,16,0.0019512123412350258,0.0019158199137543088,1.394148319619523e-05,0.0021201182475960893,0.07966815367613511
bank_marketing_subscription,2026082811,ft_transformer,classification,initialization,16,0.0020961110585709444,0.002059401890941945,1.6292121286602502e-05,0.0021201182475960893,0.011323514173025795
bank_marketing_subscription,2026082811,ft_transformer,classification,order,16,0.0021114810165120327,0.002069335112907179,1.6180321291760132e-05,0.0021201182475960893,0.004073938372942121
bank_marketing_subscription,2026082811,ft_transformer,classification,schema_initialization,16,0.0019726926379708526,0.0019394768690971249,1.4527037400632174e-05,0.0021201182475960893,0.06953650334946937
bank_marketing_subscription,2026082811,ft_transformer,classification,schema_order,16,0.0019812841267536773,0.0019323474248170804,1.4406657703513392e-05,0.0021201182475960893,0.06548414033030003
bank_marketing_subscription,2026082811,ft_transformer,classification,initialization_order,16,0.002040589741614425,0.0020024598762848006,1.5904491537765493e-05,0.0021201182475960893,0.03751135394067673
bank_marketing_subscription,2026082811,ft_transformer,classification,all_factors,16,0.0019359164043729587,0.0018997249846353784,1.4596676683689956e-05,0.0021201182475960893,0.08688281582029167
bank_marketing_subscription,2026082821,ft_transformer,classification,none,16,0.001948112848668956,0.0019194661621892537,1.5428007237241987e-05,0.001948112848668956,0.0
bank_marketing_subscription,2026082821,ft_transformer,classification,schema,16,0.0018130198985408042,0.001784597501644234,1.3770247152479821e-05,0.001948112848668956,0.06934554649667946
bank_marketing_subscription,2026082821,ft_transformer,classification,initialization,16,0.0019257461919674939,0.0018878979819070534,1.622587683595833e-05,0.001948112848668956,0.011481191511438449
bank_marketing_subscription,2026082821,ft_transformer,classification,order,16,0.0019214812266676075,0.001904459734810807,1.5055841219672977e-05,0.001948112848668956,0.013670471923402427
bank_marketing_subscription,2026082821,ft_transformer,classification,schema_initialization,16,0.0017945768419520575,0.0017603596629888628,1.4097174883582173e-05,0.001948112848668956,0.0788126862475147
bank_marketing_subscription,2026082821,ft_transformer,classification,schema_order,16,0.0018154796305808662,0.0017878563597863383,1.3800823619443e-05,0.001948112848668956,0.06808292352196699
bank_marketing_subscription,2026082821,ft_transformer,classification,initialization_order,16,0.0018840753200041632,0.0018405884454291406,1.4657038769483706e-05,0.001948112848668956,0.032871570406481476
bank_marketing_subscription,2026082821,ft_transformer,classification,all_factors,16,0.0017307729940088906,0.0017027726964306353,1.2785944010128425e-05,0.001948112848668956,0.11156430430021669
bank_marketing_subscription,2026082801,mlp,classification,none,16,2.017128288684608e-05,1.8517525047116064e-05,3.190078817398995e-07,2.017128288684608e-05,0.0
bank_marketing_subscription,2026082801,mlp,classification,schema,16,1.8009723952971356e-05,1.626343486749226e-05,3.2667918905411755e-07,2.017128288684608e-05,0.10716021117746066
bank_marketing_subscription,2026082801,mlp,classification,initialization,16,1.9506918404279926e-05,1.7998608002491587e-05,3.2165776820750977e-07,2.017128288684608e-05,0.032936154150085994
bank_marketing_subscription,2026082801,mlp,classification,order,16,1.5058974328064143e-05,1.4407317916571042e-05,1.9821290598378655e-07,2.017128288684608e-05,0.2534448893241059
bank_marketing_subscription,2026082801,mlp,classification,schema_initialization,16,1.5679732565228324e-05,1.4248019326136442e-05,2.998064071120694e-07,2.017128288684608e-05,0.2226705334912905
bank_marketing_subscription,2026082801,mlp,classification,schema_order,16,1.2175384942983425e-05,1.1566666158290203e-05,1.3563141229169466e-07,2.017128288684608e-05,0.3964000697782524
bank_marketing_subscription,2026082801,mlp,classification,initialization_order,16,1.4418014485674806e-05,1.3668465913316584e-05,1.875624448546419e-07,2.017128288684608e-05,0.28522074839984746
bank_marketing_subscription,2026082801,mlp,classification,all_factors,16,1.0317704349885872e-05,1.007072682766378e-05,1.0110315536596147e-07,2.017128288684608e-05,0.4884953818869814
bank_marketing_subscription,2026082811,mlp,classification,none,16,1.6640108565758105e-05,1.53283045500116e-05,2.952102877416875e-07,1.6640108565758105e-05,0.0
bank_marketing_subscription,2026082811,mlp,classification,schema,16,1.4061904851480125e-05,1.267439458532058e-05,2.406027590456699e-07,1.6640108565758105e-05,0.15493911617760647
bank_marketing_subscription,2026082811,mlp,classification,initialization,16,1.585294787545545e-05,1.4621726279772013e-05,2.4980515008216073e-07,1.6640108565758105e-05,0.0473050213099252
bank_marketing_subscription,2026082811,mlp,classification,order,16,1.2440433181274023e-05,1.1701853295772974e-05,1.6452228113737224e-07,1.6640108565758105e-05,0.25238269136814073
bank_marketing_subscription,2026082811,mlp,classification,schema_initialization,16,1.2913043048566813e-05,1.1679335541768549e-05,2.2750915205253767e-07,1.6640108565758105e-05,0.22398084137869267
bank_marketing_subscription,2026082811,mlp,classification,schema_order,16,1.0193759127437071e-05,9.680683614133805e-06,1.1716362099627252e-07,1.6640108565758105e-05,0.387398280056074
bank_marketing_subscription,2026082811,mlp,classification,initialization_order,16,1.1655843357183855e-05,1.1155656280269935e-05,1.3619368647937764e-07,1.6640108565758105e-05,0.29953321451464776
bank_marketing_subscription,2026082811,mlp,classification,all_factors,16,8.432425683587763e-06,8.26455109046557e-06,8.715941209897231e-08,1.6640108565758105e-05,0.4932469550745632
bank_marketing_subscription,2026082821,mlp,classification,none,16,2.455416275540236e-05,2.0525560522486584e-05,6.056317681792397e-07,2.455416275540236e-05,0.0
bank_marketing_subscription,2026082821,mlp,classification,schema,16,2.0714068528347566e-05,1.7228376025367065e-05,5.038147466070634e-07,2.455416275540236e-05,0.1563927984557283
bank_marketing_subscription,2026082821,mlp,classification,initialization,16,2.4102046216842433e-05,1.9789458687843848e-05,6.137036488738965e-07,2.455416275540236e-05,0.01841303012705864
bank_marketing_subscription,2026082821,mlp,classification,order,16,1.5102740804967925e-05,1.435806371164957e-05,2.0407120541785888e-07,2.455416275540236e-05,0.3849213693248388
bank_marketing_subscription,2026082821,mlp,classification,schema_initialization,16,2.10519309632648e-05,1.7131216901376054e-05,5.893008837289386e-07,2.455416275540236e-05,0.1426329143056203
bank_marketing_subscription,2026082821,mlp,classification,schema_order,16,1.2283427367117512e-05,1.196607240190659e-05,1.395961298963837e-07,2.455416275540236e-05,0.49974155138256804
bank_marketing_subscription,2026082821,mlp,classification,initialization_order,16,1.4156846559621816e-05,1.3194835483834073e-05,1.9422591140036722e-07,2.455416275540236e-05,0.42344413447748064
bank_marketing_subscription,2026082821,mlp,classification,all_factors,16,1.1176189834699104e-05,1.0716554572499846e-05,1.3224916689421573e-07,2.455416275540236e-05,0.5448352303423525
bank_marketing_subscription,2026082801,resnet,classification,none,16,0.0010865526050199935,0.0010502111012286285,1.1015519070489023e-05,0.0010865526050199935,0.0
bank_marketing_subscription,2026082801,resnet,classification,schema,16,0.0009635746042351582,0.0009370226131387746,9.343575159388837e-06,0.0010865526050199935,0.11318181946889938
bank_marketing_subscription,2026082801,resnet,classification,initialization,16,0.0010554910410064647,0.0010148728002449194,1.0523144434053577e-05,0.0010865526050199935,0.028587262015682402
bank_marketing_subscription,2026082801,resnet,classification,order,16,0.0009483862674181133,0.0009180916769458831,8.673190034005657e-06,0.0010865526050199935,0.1271602837851903
bank_marketing_subscription,2026082801,resnet,classification,schema_initialization,16,0.0009627654319610429,0.0009308182918487372,9.866115630041864e-06,0.0010865526050199935,0.11392653469978364
bank_marketing_subscription,2026082801,resnet,classification,schema_order,16,0.0008368829595299508,0.0008251826580109901,6.596045753107788e-06,0.0010865526050199935,0.22978146141893296
bank_marketing_subscription,2026082801,resnet,classification,initialization_order,16,0.0009147880698563186,0.0009005079763960527,7.28233466884898e-06,0.0010865526050199935,0.15808211619953205
bank_marketing_subscription,2026082801,resnet,classification,all_factors,16,0.0008153427270929656,0.0008025612283754104,6.134007216465057e-06,0.0010865526050199935,0.24960584206784664
bank_marketing_subscription,2026082811,resnet,classification,none,16,0.001309548220574097,0.0012771642369615956,1.2029473805266849e-05,0.001309548220574097,0.0
bank_marketing_subscription,2026082811,resnet,classification,schema,16,0.0011902693920415736,0.0011684672055080306,1.0540657307421131e-05,0.001309548220574097,0.09108395296832394
