dataset,split_seed,context_replicate,query_family,model,n_queries,variance_temperature,rho,rmse,nll,crps,coverage90
kin8nm,20260923,0,point,neural_projective,32,0.9688010893029088,,0.8064694397960749,1.2428549448970503,0.4667003280031743,0.96875
kin8nm,20260923,1,point,neural_projective,32,0.9688010893029088,,0.6487817280203656,1.0199025974428964,0.37213242256834356,0.96875
kin8nm,20260923,2,point,neural_projective,32,0.9688010893029088,,0.9017550740412453,1.3149447259662752,0.5156383005384966,0.8125
kin8nm,20260923,3,point,neural_projective,32,0.9688010893029088,,0.8874197917789494,1.3079444889318328,0.5167716769061077,0.875
kin8nm,20260923,0,subset,neural_projective,32,0.9688010893029088,,0.3807705018761281,0.5945217581931028,0.2279306655998561,0.9375
kin8nm,20260923,1,subset,neural_projective,32,0.9688010893029088,,0.4031836985710866,0.512480290126001,0.22819190316054322,0.9375
kin8nm,20260923,2,subset,neural_projective,32,0.9688010893029088,,0.45153074409376,0.6966921574414093,0.26165097347463706,0.78125
kin8nm,20260923,3,subset,neural_projective,32,0.9688010893029088,,0.4720780607729913,0.5605956290399899,0.2549959299957886,0.9375
kin8nm,20260923,0,difference,neural_projective,32,0.9688010893029088,,1.1175010743681175,1.5496464258578957,0.6285893898781703,0.96875
kin8nm,20260923,1,difference,neural_projective,32,0.9688010893029088,,1.171407880052912,1.5605118611672442,0.661635512289173,0.84375
kin8nm,20260923,2,difference,neural_projective,32,0.9688010893029088,,1.3207850443609381,1.711885004574306,0.76401705664498,0.90625
kin8nm,20260923,3,difference,neural_projective,32,0.9688010893029088,,1.1124733378912255,1.5283821822702501,0.6267492137221866,0.90625
kin8nm,20260923,0,dense,neural_projective,32,0.9688010893029088,,0.6626229996771715,1.1483819947427694,0.39209532183610707,1.0
kin8nm,20260923,1,dense,neural_projective,32,0.9688010893029088,,0.9384667194448512,1.3773204629199687,0.5519961924735908,0.875
kin8nm,20260923,2,dense,neural_projective,32,0.9688010893029088,,0.9184721022332546,1.3363048809561064,0.5204944766201771,0.84375
kin8nm,20260923,3,dense,neural_projective,32,0.9688010893029088,,0.7372136758106131,1.1265581524715795,0.43018574211421534,1.0
kin8nm,20260923,0,scaled_dense,neural_projective,32,0.9688010893029088,,1.583921012358138,1.99549351165208,0.9256314322034741,1.0
kin8nm,20260923,1,scaled_dense,neural_projective,32,0.9688010893029088,,2.4501432197825466,2.298397383916012,1.4183671370197768,0.875
kin8nm,20260923,2,scaled_dense,neural_projective,32,0.9688010893029088,,2.033448897003462,2.1429646001366027,1.1613666038805208,0.84375
kin8nm,20260923,3,scaled_dense,neural_projective,32,0.9688010893029088,,1.6128444920737384,1.9258707344250101,0.949234237664131,1.0
kin8nm,20260923,0,point,neural_direct,32,1.5895690304094554,,1.0758171753955705,1.5451143217141081,0.625251807866164,1.0
kin8nm,20260923,1,point,neural_direct,32,1.5895690304094554,,0.8126981095422655,1.3168931785084772,0.48354732012671137,1.0
kin8nm,20260923,2,point,neural_direct,32,1.5895690304094554,,0.8978068146890364,1.3699776086464017,0.5222868968802415,0.96875
kin8nm,20260923,3,point,neural_direct,32,1.5895690304094554,,1.0633689999086893,1.5259245365896712,0.6168944204744562,0.96875
kin8nm,20260923,0,subset,neural_direct,32,1.5895690304094554,,0.5386435305814985,0.9232028926647345,0.31970324574304476,0.96875
kin8nm,20260923,1,subset,neural_direct,32,1.5895690304094554,,0.5705683962811696,0.8817632537687887,0.32456261894783445,0.96875
kin8nm,20260923,2,subset,neural_direct,32,1.5895690304094554,,0.5059743120186655,0.8096890062721125,0.29426771288433784,0.96875
kin8nm,20260923,3,subset,neural_direct,32,1.5895690304094554,,0.5642165795014902,0.894359330670337,0.3269759713762873,0.96875
kin8nm,20260923,0,difference,neural_direct,32,1.5895690304094554,,1.4702180359224595,1.8620523065493924,0.8423803827774339,0.96875
kin8nm,20260923,1,difference,neural_direct,32,1.5895690304094554,,1.3398547446701115,1.7293893812625993,0.7582697012323427,0.9375
kin8nm,20260923,2,difference,neural_direct,32,1.5895690304094554,,1.338900449668039,1.7438904709595393,0.7764616405628126,1.0
kin8nm,20260923,3,difference,neural_direct,32,1.5895690304094554,,1.1668793738833803,1.7061955699270226,0.691829544421318,0.96875
kin8nm,20260923,0,dense,neural_direct,32,1.5895690304094554,,0.8750057634142634,1.4628896523050794,0.5294485684857116,1.0
kin8nm,20260923,1,dense,neural_direct,32,1.5895690304094554,,1.173424057642481,1.6136750036031442,0.6890513694863171,0.875
kin8nm,20260923,2,dense,neural_direct,32,1.5895690304094554,,0.9817674982127131,1.4560907088863126,0.5745254662363848,0.9375
kin8nm,20260923,3,dense,neural_direct,32,1.5895690304094554,,0.8983186477686148,1.403118537741832,0.5334026660646989,1.0
kin8nm,20260923,0,scaled_dense,neural_direct,32,1.5895690304094554,,2.0715535741114524,2.213465848314864,1.177432317193584,0.90625
kin8nm,20260923,1,scaled_dense,neural_direct,32,1.5895690304094554,,2.9434985521119033,3.145019874495959,1.8570492104714358,0.65625
kin8nm,20260923,2,scaled_dense,neural_direct,32,1.5895690304094554,,2.266545367060711,2.6296076524258067,1.3586136525552643,0.65625
kin8nm,20260923,3,scaled_dense,neural_direct,32,1.5895690304094554,,1.9901245232737397,2.16300199028031,1.1806093531751252,0.875
kin8nm,20260923,0,point,bayes_linear,32,1.3760336378912905,,0.86701751968025,1.3607464828038451,0.509584101653801,1.0
kin8nm,20260923,1,point,bayes_linear,32,1.3760336378912905,,0.7326948247703053,1.1002322302938834,0.3863432259918622,0.9375
kin8nm,20260923,2,point,bayes_linear,32,1.3760336378912905,,0.8309861237667756,1.2261785457642271,0.47006099014233926,0.90625
kin8nm,20260923,3,point,bayes_linear,32,1.3760336378912905,,0.9451902110918378,1.3812644363882862,0.5500022556384307,0.96875
kin8nm,20260923,0,subset,bayes_linear,32,1.3760336378912905,,0.44469282563535967,0.7215165748712562,0.26448739810595767,0.96875
kin8nm,20260923,1,subset,bayes_linear,32,1.3760336378912905,,0.37463136675585856,0.4439031952536717,0.2161586802064315,0.9375
kin8nm,20260923,2,subset,bayes_linear,32,1.3760336378912905,,0.47399498623317,0.75520665139477,0.2765093718091397,0.875
kin8nm,20260923,3,subset,bayes_linear,32,1.3760336378912905,,0.48049849854816024,0.6421548042216942,0.2654578120995422,0.96875
kin8nm,20260923,0,difference,bayes_linear,32,1.3760336378912905,,1.2074882727805134,1.68986140539417,0.6999252579342433,1.0
kin8nm,20260923,1,difference,bayes_linear,32,1.3760336378912905,,1.248366182047355,1.6202521780640553,0.7089463822410188,0.84375
