dataset,split_seed,context_replicate,query_family,model,n_queries,variance_temperature,rho,rmse,nll,crps,coverage90
wine_quality,20260921,0,point,neural_projective,32,1.697368445478105,,1.202543997239951,1.8409622408311666,0.6767858460345835,0.8125
wine_quality,20260921,1,point,neural_projective,32,1.697368445478105,,0.8846958254954456,1.3642706297329315,0.5190755251069176,0.96875
wine_quality,20260921,2,point,neural_projective,32,1.697368445478105,,0.8896891703089936,1.3607382632883187,0.5208781777682844,1.0
wine_quality,20260921,3,point,neural_projective,32,1.697368445478105,,0.8181625182973331,1.2318321769895542,0.4600227521970482,0.9375
wine_quality,20260921,0,subset,neural_projective,32,1.697368445478105,,0.6187775850035735,1.1061409725915865,0.36489970834044777,0.78125
wine_quality,20260921,1,subset,neural_projective,32,1.697368445478105,,0.33173985493899,0.5171806803241539,0.20318453280711585,1.0
wine_quality,20260921,2,subset,neural_projective,32,1.697368445478105,,0.5892797447748364,0.8716974929485115,0.3159188564796037,0.9375
wine_quality,20260921,3,subset,neural_projective,32,1.697368445478105,,0.4635827224329426,0.6585669918819972,0.26251733512318587,0.96875
wine_quality,20260921,0,difference,neural_projective,32,1.697368445478105,,1.3521907707580239,1.7142535629328879,0.7713736705271004,0.875
wine_quality,20260921,1,difference,neural_projective,32,1.697368445478105,,1.135879636171582,1.6030756841781593,0.6536743397322469,0.96875
wine_quality,20260921,2,difference,neural_projective,32,1.697368445478105,,1.2159188532669591,1.6534158255351605,0.6762123571940928,0.96875
wine_quality,20260921,3,difference,neural_projective,32,1.697368445478105,,1.319550160605641,1.7400545760089519,0.7719126436365632,0.9375
wine_quality,20260921,0,dense,neural_projective,32,1.697368445478105,,1.1347712111738355,1.6003253967004332,0.6570978225689315,0.8125
wine_quality,20260921,1,dense,neural_projective,32,1.697368445478105,,0.8727429519454741,1.3364655705486717,0.5024835000885195,1.0
wine_quality,20260921,2,dense,neural_projective,32,1.697368445478105,,1.1913432150886991,1.5320604780409555,0.6464397454846307,0.875
wine_quality,20260921,3,dense,neural_projective,32,1.697368445478105,,0.9307339502800721,1.3593117226337126,0.5265092756033577,0.9375
wine_quality,20260921,0,scaled_dense,neural_projective,32,1.697368445478105,,2.7242413071208897,2.4378705469745565,1.555480955736975,0.8125
wine_quality,20260921,1,scaled_dense,neural_projective,32,1.697368445478105,,2.105418690894787,2.1701571738246814,1.1838276771080913,1.0
wine_quality,20260921,2,scaled_dense,neural_projective,32,1.697368445478105,,2.7521321639756655,2.410726689989258,1.5275807760053783,0.875
wine_quality,20260921,3,scaled_dense,neural_projective,32,1.697368445478105,,2.1519521065550853,2.1919412059942527,1.2142340930726867,0.9375
wine_quality,20260921,0,point,neural_direct,32,2.7999941593379734,,1.193537552657607,1.6762776215779798,0.6633481305358021,0.96875
wine_quality,20260921,1,point,neural_direct,32,2.7999941593379734,,0.9555547043041277,1.5911038416856815,0.5983513125919087,1.0
wine_quality,20260921,2,point,neural_direct,32,2.7999941593379734,,0.9107148967082079,1.6294694427520766,0.5962734301916942,1.0
wine_quality,20260921,3,point,neural_direct,32,2.7999941593379734,,0.7623081827655781,1.4510479593781476,0.4972074681972771,1.0
wine_quality,20260921,0,subset,neural_direct,32,2.7999941593379734,,0.5964170649321848,0.9682585229009271,0.35016441378640367,0.96875
wine_quality,20260921,1,subset,neural_direct,32,2.7999941593379734,,0.39014734631747494,0.8558240476237001,0.26674981940798226,1.0
wine_quality,20260921,2,subset,neural_direct,32,2.7999941593379734,,0.610591761083121,1.1087123970706652,0.3671812475819709,0.96875
wine_quality,20260921,3,subset,neural_direct,32,2.7999941593379734,,0.5037345635591766,0.9174164614315441,0.30545888332376003,1.0
wine_quality,20260921,0,difference,neural_direct,32,2.7999941593379734,,1.309218428035548,1.7654278449825322,0.7613481503425128,1.0
wine_quality,20260921,1,difference,neural_direct,32,2.7999941593379734,,1.3850468882904607,1.8965414226493578,0.8377433481423353,1.0
wine_quality,20260921,2,difference,neural_direct,32,2.7999941593379734,,1.2934094311875075,1.9353667484578394,0.8118572554766234,0.96875
wine_quality,20260921,3,difference,neural_direct,32,2.7999941593379734,,1.2788830221649106,1.8448443116107294,0.7817698129473504,0.96875
wine_quality,20260921,0,dense,neural_direct,32,2.7999941593379734,,1.12456210780324,1.706743851658966,0.6474197071034612,0.90625
