dataset,split_seed,context_replicate,query_family,model,n_queries,variance_temperature,rho,rmse,nll,crps,coverage90
kdd17_stock_return,20260922,0,point,neural_projective,32,3.104767909162553,,0.7260430613721389,1.1715269512957232,0.41836329996654986,1.0
kdd17_stock_return,20260922,1,point,neural_projective,32,3.104767909162553,,0.96483667764381,1.2504609947481622,0.4792670708799761,0.84375
kdd17_stock_return,20260922,2,point,neural_projective,32,3.104767909162553,,0.5064255891873779,0.8317257428466898,0.29120650457371916,0.96875
kdd17_stock_return,20260922,3,point,neural_projective,32,3.104767909162553,,1.2347572293495448,1.4394563330458503,0.6073514521448947,0.9375
kdd17_stock_return,20260922,0,subset,neural_projective,32,3.104767909162553,,0.6106556470287052,0.945599315594507,0.3514967672081297,0.90625
kdd17_stock_return,20260922,1,subset,neural_projective,32,3.104767909162553,,0.3923581785560686,0.4793347446205448,0.21341553560852966,0.9375
kdd17_stock_return,20260922,2,subset,neural_projective,32,3.104767909162553,,0.3959300320801654,0.49773984493875445,0.22053729788780196,0.9375
kdd17_stock_return,20260922,3,subset,neural_projective,32,3.104767909162553,,0.5462990055178386,0.8738585691534579,0.31833428181491225,1.0
kdd17_stock_return,20260922,0,difference,neural_projective,32,3.104767909162553,,1.955622372275522,1.7162409915927732,0.8615459189105914,0.90625
kdd17_stock_return,20260922,1,difference,neural_projective,32,3.104767909162553,,0.8065735820700624,1.221560331040075,0.4616865356172437,0.96875
kdd17_stock_return,20260922,2,difference,neural_projective,32,3.104767909162553,,1.3256921562967248,1.508538746557596,0.674233742560761,0.84375
kdd17_stock_return,20260922,3,difference,neural_projective,32,3.104767909162553,,1.83169976766704,1.727345738087061,0.8062087908056201,0.9375
kdd17_stock_return,20260922,0,dense,neural_projective,32,3.104767909162553,,1.1406714351750713,1.454019760135696,0.6043340983137876,0.9375
kdd17_stock_return,20260922,1,dense,neural_projective,32,3.104767909162553,,1.0132285660695142,1.4899663180437317,0.5688603190513564,0.78125
kdd17_stock_return,20260922,2,dense,neural_projective,32,3.104767909162553,,1.0995795738672554,1.5173754668977915,0.5724900763544077,0.84375
kdd17_stock_return,20260922,3,dense,neural_projective,32,3.104767909162553,,0.9543868248090562,1.443785244190268,0.5561477005618124,1.0
kdd17_stock_return,20260922,0,scaled_dense,neural_projective,32,3.104767909162553,,2.5251018529622873,2.2690510107818085,1.3683347790493172,0.9375
kdd17_stock_return,20260922,1,scaled_dense,neural_projective,32,3.104767909162553,,2.4464485087426886,2.373730358896929,1.380568243750268,0.78125
kdd17_stock_return,20260922,2,scaled_dense,neural_projective,32,3.104767909162553,,2.822076354895617,2.4019325594545453,1.4404837564322912,0.84375
kdd17_stock_return,20260922,3,scaled_dense,neural_projective,32,3.104767909162553,,2.4309429592239336,2.3258780603460423,1.382379303707738,1.0
kdd17_stock_return,20260922,0,point,neural_direct,32,4.623307557659821,,0.6077305481380603,1.4345074941443854,0.46081663074174817,1.0
kdd17_stock_return,20260922,1,point,neural_direct,32,4.623307557659821,,0.9531405015823619,1.3527454851330512,0.5077211034376878,0.9375
kdd17_stock_return,20260922,2,point,neural_direct,32,4.623307557659821,,0.5315415229704957,1.1201101012566252,0.35323507817745803,1.0
kdd17_stock_return,20260922,3,point,neural_direct,32,4.623307557659821,,1.2746285758069373,1.710426929240013,0.6873167467695538,0.96875
kdd17_stock_return,20260922,0,subset,neural_direct,32,4.623307557659821,,0.5420653428334481,0.9607966345065353,0.3299914621550798,1.0
kdd17_stock_return,20260922,1,subset,neural_direct,32,4.623307557659821,,0.3839470219479385,0.6437638646461954,0.23261649328303444,0.96875
kdd17_stock_return,20260922,2,subset,neural_direct,32,4.623307557659821,,0.397116237376434,0.6449322758750509,0.2389800775453782,1.0
kdd17_stock_return,20260922,3,subset,neural_direct,32,4.623307557659821,,0.49820582534487773,1.0525375395053964,0.3334712825473851,1.0
kdd17_stock_return,20260922,0,difference,neural_direct,32,4.623307557659821,,1.861352276442542,1.90437719630633,0.9072585394511015,0.9375
kdd17_stock_return,20260922,1,difference,neural_direct,32,4.623307557659821,,0.8013253922610645,1.492869072680355,0.5231829521735262,1.0
kdd17_stock_return,20260922,2,difference,neural_direct,32,4.623307557659821,,1.2675426195177677,1.6349455007042994,0.6822406063086179,0.9375
kdd17_stock_return,20260922,3,difference,neural_direct,32,4.623307557659821,,1.631508864083289,1.9849628345374144,0.8813173602366486,0.96875
kdd17_stock_return,20260922,0,dense,neural_direct,32,4.623307557659821,,1.1083888281155245,1.5905676212429212,0.6260288738879558,0.9375
