dataset,split_seed,model,variance_temperature,rho,validation_nll
abalone,20260921,neural_projective,0.6554103203184292,,1.3080959750491625
abalone,20260921,neural_direct,1.2054341476767356,,1.6715539252474723
abalone,20260921,bayes_linear,0.6018624444101451,,1.2825292145945433
abalone,20260921,gp_rbf,0.947303015903248,,1.508190585788857
abalone,20260921,tabpfn_independent,0.3457409338089276,0.0,1.4005861067867413
abalone,20260921,tabpfn_projective,0.3457409338089276,0.0,1.4005861067867413
abalone,20260921,tabicl_independent,5.190667231124138,,1.8848832124612014
