k,model,seed,rmse,train_seconds
0,causalpfn,20261242.0,0.6876755754152933,43.78767579072155
0,obspfn,20261242.0,0.6897724469502767,43.91701058065519
0,ridge_balanced,20261242.0,0.6811596949895223,0.0
0,ridge_naive,20261242.0,0.6811596949895223,0.0
2,causalpfn,20261242.0,0.48854121565818787,43.78767579072155
2,obspfn,20261242.0,0.6837539871533712,43.91701058065519
2,ridge_balanced,20261242.0,0.5540428956349691,0.0
2,ridge_naive,20261242.0,0.5236078898111979,0.0
4,causalpfn,20261242.0,0.3835688332716624,43.78767579072155
4,obspfn,20261242.0,0.6855736970901489,43.91701058065519
4,ridge_balanced,20261242.0,0.41998446981112164,0.0
4,ridge_naive,20261242.0,0.4371972878774007,0.0
8,causalpfn,20261242.0,0.3139691750208537,43.78767579072155
8,obspfn,20261242.0,0.6651227474212646,43.91701058065519
8,ridge_balanced,20261242.0,0.30643486976623535,0.0
8,ridge_naive,20261242.0,0.33564693729082745,0.0
