seed,k,model,rmse,train_seconds
20261241,0,causalpfn,0.6650986075401306,43.330605182098225
20261241,0,obspfn,0.6588603854179382,43.867118320893496
20261241,0,ridge_naive,0.6589837670326233,0.0
20261241,0,ridge_balanced,0.6589837670326233,0.0
20261241,2,causalpfn,0.5197736024856567,43.330605182098225
20261241,2,obspfn,0.7229479551315308,43.867118320893496
20261241,2,ridge_naive,0.5812180042266846,0.0
20261241,2,ridge_balanced,0.570489764213562,0.0
20261241,4,causalpfn,0.3865628242492676,43.330605182098225
20261241,4,obspfn,0.6760137677192688,43.867118320893496
20261241,4,ridge_naive,0.41012290120124817,0.0
20261241,4,ridge_balanced,0.3858264982700348,0.0
20261241,8,causalpfn,0.2940225601196289,43.330605182098225
20261241,8,obspfn,0.6539692282676697,43.867118320893496
20261241,8,ridge_naive,0.33281153440475464,0.0
20261241,8,ridge_balanced,0.29565539956092834,0.0
20261242,0,causalpfn,0.6679009199142456,44.00462292809971
20261242,0,obspfn,0.6903729438781738,43.80528651108034
20261242,0,ridge_naive,0.6670768857002258,0.0
20261242,0,ridge_balanced,0.6670768857002258,0.0
20261242,2,causalpfn,0.48223915696144104,44.00462292809971
20261242,2,obspfn,0.6555637717247009,43.80528651108034
20261242,2,ridge_naive,0.49988141655921936,0.0
20261242,2,ridge_balanced,0.5856785178184509,0.0
20261242,4,causalpfn,0.398271381855011,44.00462292809971
20261242,4,obspfn,0.675506055355072,43.80528651108034
20261242,4,ridge_naive,0.4499810039997101,0.0
20261242,4,ridge_balanced,0.4574112296104431,0.0
20261242,8,causalpfn,0.3101922869682312,44.00462292809971
20261242,8,obspfn,0.618025004863739,43.80528651108034
20261242,8,ridge_naive,0.3118376135826111,0.0
20261242,8,ridge_balanced,0.29656779766082764,0.0
20261243,0,causalpfn,0.7300271987915039,44.02779926196672
20261243,0,obspfn,0.720084011554718,44.078626909991726
20261243,0,ridge_naive,0.7174184322357178,0.0
20261243,0,ridge_balanced,0.7174184322357178,0.0
20261243,2,causalpfn,0.4636108875274658,44.02779926196672
20261243,2,obspfn,0.6727502346038818,44.078626909991726
20261243,2,ridge_naive,0.4897242486476898,0.0
20261243,2,ridge_balanced,0.5059604048728943,0.0
20261243,4,causalpfn,0.3658722937107086,44.02779926196672
20261243,4,obspfn,0.705201268196106,44.078626909991726
20261243,4,ridge_naive,0.4514879584312439,0.0
20261243,4,ridge_balanced,0.41671568155288696,0.0
20261243,8,causalpfn,0.3376926779747009,44.02779926196672
20261243,8,obspfn,0.7233740091323853,44.078626909991726
20261243,8,ridge_naive,0.3622916638851166,0.0
20261243,8,ridge_balanced,0.3270814120769501,0.0
