dataset,view,model,seed,rmse,fit_predict_seconds
JenaWeather,levels,lightgbm,20261221,0.2671433985233307,0.36191517603583634
JenaWeather,levels,lightgbm,20261222,0.26501503586769104,0.34666923014447093
JenaWeather,levels,lightgbm,20261223,0.26622992753982544,0.34478833386674523
JenaWeather,levels,mlp,20261221,0.29692646861076355,0.26609726902097464
JenaWeather,levels,mlp,20261222,0.27001678943634033,0.3819012891035527
JenaWeather,levels,mlp,20261223,0.2711658477783203,0.3001144879963249
JenaWeather,levels,tabpfn,20261221,0.2718225419521332,2.026070525171235
JenaWeather,levels,tabpfn,20261222,0.2700135111808777,0.656178381992504
JenaWeather,levels,tabpfn,20261223,0.26904603838920593,0.6065715788863599
JenaWeather,differences,lightgbm,20261221,0.4500986635684967,0.4762587030418217
JenaWeather,differences,lightgbm,20261222,0.4491673707962036,0.4875772080849856
JenaWeather,differences,lightgbm,20261223,0.4435703754425049,0.4879330850671977
JenaWeather,differences,mlp,20261221,0.3949815332889557,0.6336646468844265
JenaWeather,differences,mlp,20261222,0.3641398549079895,0.6180598379578441
JenaWeather,differences,mlp,20261223,0.4001426100730896,0.7259137819055468
JenaWeather,differences,tabpfn,20261221,0.3666737675666809,0.6833379990421236
JenaWeather,differences,tabpfn,20261222,0.3855901062488556,0.5975863398052752
JenaWeather,differences,tabpfn,20261223,0.371866375207901,0.6057834289968014
JenaWeather,dct,lightgbm,20261221,0.2947408854961395,0.4880623279605061
JenaWeather,dct,lightgbm,20261222,0.29813921451568604,0.49773878906853497
JenaWeather,dct,lightgbm,20261223,0.2955487370491028,0.49003522307612
JenaWeather,dct,mlp,20261221,0.3620806038379669,0.40731819882057607
JenaWeather,dct,mlp,20261222,0.40228742361068726,0.3633501180447638
JenaWeather,dct,mlp,20261223,0.3195340633392334,0.4075616269838065
JenaWeather,dct,tabpfn,20261221,0.2612837851047516,0.7534920098260045
JenaWeather,dct,tabpfn,20261222,0.2592877149581909,0.6137567390687764
JenaWeather,dct,tabpfn,20261223,0.27027150988578796,0.6188942149747163
