dataset,model,seed,best_rmse,worst_rmse,relative_rmse_spread,prediction_dispersion,relative_prediction_dispersion,view_ensemble_rmse
JenaWeather,lightgbm,20261221,0.26350367069244385,0.4500986635684967,0.7081305257938617,0.17604799568653107,0.6590018569040407,0.27671700716018677
JenaWeather,lightgbm,20261222,0.2649967670440674,0.4491673707962036,0.694991889170896,0.1772586703300476,0.6688626920720986,0.2763204574584961
JenaWeather,lightgbm,20261223,0.2650302052497864,0.4435703754425049,0.6736597061623504,0.17504359781742096,0.657490310856341,0.2750736474990845
JenaWeather,mlp,20261221,0.27451053261756897,0.3949815332889557,0.4388574803401786,0.18347403407096863,0.6179106730679574,0.28106194734573364
JenaWeather,mlp,20261222,0.2601895034313202,0.40228742361068726,0.5461324085153778,0.18069925904273987,0.6692149011176279,0.2758767008781433
JenaWeather,mlp,20261223,0.2711658477783203,0.4001426100730896,0.47563792915473835,0.17354010045528412,0.6399777179800097,0.2724730968475342
JenaWeather,tabpfn,20261221,0.2612837851047516,0.3666737675666809,0.4033544692399389,0.11746076494455338,0.43212297295504554,0.26962536573410034
JenaWeather,tabpfn,20261222,0.2592877149581909,0.3855901062488556,0.487112902017091,0.12593379616737366,0.46639812806631237,0.27255067229270935
JenaWeather,tabpfn,20261223,0.26904603838920593,0.371866375207901,0.38216632898327113,0.12490221858024597,0.4642410619685862,0.27115240693092346
Electricity,lightgbm,20261221,0.21740180253982544,0.41366177797317505,0.9027522915657386,0.16715918481349945,0.7644337179217398,0.23785965144634247
Electricity,lightgbm,20261222,0.21620984375476837,0.41465499997138977,0.917835898543564,0.16808703541755676,0.7774254515821494,0.23793885111808777
Electricity,lightgbm,20261223,0.21774297952651978,0.4143652617931366,0.9030017073072586,0.1672939509153366,0.7662351817542379,0.23850229382514954
Electricity,mlp,20261221,0.22708116471767426,0.2690124809741974,0.18465343133436693,0.11341353505849838,0.4928170685095085,0.21743954718112946
Electricity,mlp,20261222,0.22396409511566162,0.26942047476768494,0.20296279914219423,0.1121993288397789,0.5009701612297983,0.21901501715183258
Electricity,mlp,20261223,0.2253892570734024,0.25476065278053284,0.13031408900542701,0.10480856895446777,0.4632636052049302,0.21534714102745056
Electricity,tabpfn,20261221,0.19853785634040833,0.26589101552963257,0.3392459273547414,0.08184546232223511,0.4122410900916791,0.2031203657388687
Electricity,tabpfn,20261222,0.19820640981197357,0.2706153988838196,0.3653211273063068,0.08430296182632446,0.4253291399924835,0.20325441658496857
Electricity,tabpfn,20261223,0.19789643585681915,0.2714988589286804,0.37192394472992757,0.08294213563203812,0.4188979432719654,0.2041097730398178
Traffic,lightgbm,20261221,0.551382303237915,0.6180427074432373,0.12089688735722641,0.2233433723449707,0.40029463277997995,0.5380581617355347
Traffic,lightgbm,20261222,0.5527130365371704,0.6139060258865356,0.1107138520429126,0.22114935517311096,0.39766870588315995,0.5367348790168762
Traffic,lightgbm,20261223,0.5550051331520081,0.6155544519424438,0.10909686266604707,0.22150401771068573,0.3991026469479858,0.538083553314209
Traffic,mlp,20261221,0.5622057914733887,0.5852495431900024,0.040988108031086545,0.2128094881772995,0.3662486081099171,0.5358853340148926
Traffic,mlp,20261222,0.5559749007225037,0.5657077431678772,0.017505902573525273,0.1964213103055954,0.35329168645983994,0.5251188278198242
Traffic,mlp,20261223,0.5443150997161865,0.5848764777183533,0.07451819364062473,0.1754925698041916,0.3219158435386772,0.5266638398170471
Traffic,tabpfn,20261221,0.5100510120391846,0.5872411727905273,0.15133811899075822,0.1474543660879135,0.28909729146186924,0.5241525173187256
Traffic,tabpfn,20261222,0.5076735615730286,0.6005609035491943,0.18296667190695132,0.1683669090270996,0.32955104525574047,0.5272297263145447
Traffic,tabpfn,20261223,0.5040701031684875,0.5849881172180176,0.16052928658314583,0.15343885123729706,0.29706928344182965,0.5249906182289124
