dataset,model,best_rmse,worst_rmse,relative_rmse_spread,relative_prediction_dispersion,view_ensemble_rmse
Electricity,lightgbm,0.2171182086070378,0.4142273465792338,0.9078632991388537,0.769364783752709,0.2381002654631932
Electricity,mlp,0.22547817230224607,0.2643978695074717,0.17264343982732935,0.485683611648079,0.21726723512013746
Electricity,tabpfn,0.19821356733640028,0.2693350911140442,0.35883033313032525,0.41882272445204266,0.20349485178788504
JenaWeather,lightgbm,0.26451021432876587,0.44761213660240173,0.6922607070423693,0.6617849532774934,0.2760370373725891
JenaWeather,mlp,0.2686219612757365,0.39913718899091083,0.48687593933676493,0.6423677640551984,0.2764705816904704
JenaWeather,tabpfn,0.2632058461507161,0.3747100830078125,0.42421123341343364,0.45425405432998134,0.27110948165257764
Traffic,lightgbm,0.5530334909756979,0.6158343950907389,0.11356920068872867,0.39902199520370857,0.5376255313555399
Traffic,mlp,0.554165263970693,0.5786112546920776,0.0443374014150788,0.34715204603614475,0.5292226672172546
Traffic,tabpfn,0.5072648922602335,0.5909300645192465,0.16494469249361843,0.3052392067198131,0.5254576206207275
