dataset,task,model,remedy,seeds,kappa1_mean,kappa3000_mean,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,baseline_gain_mean,baseline_gain_std,baseline_gain_ci_low,baseline_gain_ci_high
adult,binclass,mlp,adamw,5,0.8555248449112461,0.8451323628769731,1.0392482034273034,0.08603366522888298,0.9324232986790841,1.1460731081755227,0.0,0.0,0.0,0.0
adult,binclass,mlp,anchor_whiten_adamw,5,0.8551808856949819,0.8551808856949819,0.0,0.0,0.0,0.0,-0.034395921626435566,0.1099252325443181,-0.17088612537089237,0.10209428211802124
adult,binclass,mlp,anchor_whiten_sgd,5,0.8568515447454086,0.8568515447454086,0.0,0.0,0.0,0.0,0.13266998341625147,0.1265189093903319,-0.0244239914657281,0.28976395829823104
adult,binclass,mlp,natural_hybrid_invariant_init,5,0.8543332719120448,0.8543578404274921,-0.0024568515447453976,0.06450697550821725,-0.08255284066631087,0.07763913757682007,-0.11915729992015178,0.13745200644382335,-0.28982650780231933,0.051511907962015796
adult,binclass,mlp,natural_hybrid_invariant_init_lr01,5,0.8539401756648853,0.8545666728087955,-0.06264971439100764,0.10544087266262336,-0.19357184991537477,0.06827242113335949,-0.15846692463607814,0.14426813437304806,-0.3375994731751152,0.020665623902958924
adult,binclass,mlp,whiten_sgd,5,0.8572692095080153,0.8573920520852528,-0.012284257723726988,0.11996821438870169,-0.16124447045896895,0.13667595501151497,0.17443645967692323,0.12711387580096029,0.01660373642272589,0.33226918293112057
adult,binclass,resnet,adamw,5,0.8517290092746146,0.8436459676924022,0.8083041582212358,0.06970707430310691,0.721751393638953,0.8948569228035186,0.0,0.0,0.0,0.0
adult,binclass,resnet,anchor_whiten_adamw,5,0.8502180455745962,0.8502180455745962,0.0,0.0,0.0,0.0,-0.15109637000184195,0.18899401370861288,-0.3857634326998557,0.08357069269617176
adult,binclass,resnet,anchor_whiten_sgd,5,0.8501197715128063,0.8501197715128063,0.0,0.0,0.0,0.0,-0.16092377618082354,0.16048478883271566,-0.36019196073374043,0.03834440837209335
adult,binclass,resnet,natural_hybrid_invariant_init,5,0.8489896198022235,0.8501934770591488,-0.12038572569252448,0.18844427720001158,-0.3543702003593098,0.11359874897426078,-0.27393894723911183,0.17162827046567558,-0.48704359175031997,-0.06083430272790366
adult,binclass,resnet,natural_hybrid_invariant_init_lr01,5,0.848645660585959,0.849370431791659,-0.07247712056998923,0.10999385004946735,-0.20905252420023643,0.06409828306025797,-0.3083348688655474,0.17396434751951864,-0.5243401361515424,-0.09232960157955239
adult,binclass,resnet,whiten_sgd,5,0.8511147963884282,0.8507339843989927,0.03808119894355366,0.11999965672036166,-0.11091805460293006,0.18708045249003738,-0.06142128861863494,0.1872090246806474,-0.29387199470343517,0.17102941746616532
california,regression,mlp,adamw,5,0.5058255280768336,0.6355812832400034,25.654219916237416,1.2262729530956973,24.131600938407473,27.17683889406736,0.0,0.0,0.0,0.0
california,regression,mlp,anchor_whiten_adamw,5,0.48771601465112296,0.48771601465112296,0.0,0.0,0.0,0.0,3.5790927067698,0.7193231838330906,2.685935006330942,4.472250407208659
california,regression,mlp,anchor_whiten_sgd,5,0.4848677661451447,0.4848677730628019,1.426765245682198e-06,3.1903440772795834e-06,-2.534570136958475e-06,5.3881006283228715e-06,4.142639461267012,0.506098879368338,3.514234703224076,4.771044219309949
california,regression,mlp,natural_hybrid_invariant_init,5,0.4892466777426897,0.48917297702285295,-0.014979995344484676,0.23721470052373358,-0.3095209488294928,0.27956095814052345,3.274322815357466,1.3679871065535179,1.5757424751430233,4.972903155571909
california,regression,mlp,natural_hybrid_invariant_init_lr01,5,0.4927744477156814,0.4936382140646295,0.17614329640636292,0.33078374732579147,-0.23457897383900375,0.5868655666517296,2.5770099659720627,1.026062630211695,1.3029849381359366,3.851034993808189
california,regression,mlp,whiten_sgd,5,0.48877404264963503,0.4886736951142538,-0.020512485864307272,0.4744329871615248,-0.6095988455830424,0.5685738738544278,3.3685771750587206,0.7946921011416257,2.3818366034142575,4.355317746703183
california,regression,resnet,adamw,5,0.5067748865983497,0.60726757518065,19.87125691611488,2.7209627092737754,16.492735479554653,23.249778352675108,0.0,0.0,0.0,0.0
california,regression,resnet,anchor_whiten_adamw,5,0.4917956683980826,0.4917956683980826,0.0,0.0,0.0,0.0,2.9342310528449613,2.706667152779258,-0.4265401058817373,6.29500221157166
california,regression,resnet,anchor_whiten_sgd,5,0.5153573541010104,0.5153573610186676,1.3701453527401166e-06,5.605524308887805e-06,-5.5900323726619215e-06,8.330323078142154e-06,-1.7349393228813337,2.7399362659010986,-5.13701954162359,1.6671408958609224
california,regression,resnet,natural_hybrid_invariant_init,5,0.5031849753107067,0.49848901364825127,-0.9196247910972485,1.580770379242577,-2.882410460429671,1.0431608782351738,0.6759433094538269,2.3753855097620704,-2.2734873598726377,3.625373978780291
california,regression,resnet,natural_hybrid_invariant_init_lr01,5,0.5052316402883313,0.5039354165993615,-0.25374772235138565,0.48247972136398354,-0.8528254222324286,0.34532997752965733,0.27432739102308445,2.3067519133801793,-2.5898834126087373,3.1385381946549065
california,regression,resnet,whiten_sgd,5,0.5121524104366934,0.5130981441058353,0.18515440083084542,0.14680845864553654,0.0028676230988962104,0.3674411785627946,-1.089224124032449,1.891312162716798,-3.4375983458428006,1.2591500977779027
diamond,regression,mlp,adamw,5,0.1485018406165995,0.18189115168504483,22.527643604508615,5.1710779196423236,16.106902319782314,28.948384889234916,0.0,0.0,0.0,0.0
diamond,regression,mlp,anchor_whiten_adamw,5,0.1436298657809267,0.1436298717273704,4.148860717446332e-06,5.681061518817689e-06,-2.905108842050402e-06,1.1202830276943066e-05,3.250361135439178,1.9057390349427594,0.8840735857791637,5.616648685099192
diamond,regression,mlp,anchor_whiten_sgd,5,0.14070321648142747,0.14070321945464934,2.089081583547044e-06,4.671328431354097e-06,-3.711138753451013e-06,7.889301920545102e-06,5.217661416578215,2.2406677577314755,2.435504929867083,7.9998179032893475
diamond,regression,mlp,natural_hybrid_invariant_init,5,0.1438155880835685,0.14267565185439748,-0.7931018467668562,0.5727687677535371,-1.5042882049819577,-0.08191548855175479,3.12169925368646,2.3751660937185646,0.1725410253618449,6.070857482011075
diamond,regression,mlp,natural_hybrid_invariant_init_lr01,5,0.14661248300846447,0.14602074347690797,-0.40125524425560943,0.8239029627215985,-1.424265891080438,0.6217554025692191,1.2390151444227748,2.211595432706107,-1.5070432829602791,3.9850735718058288
diamond,regression,mlp,whiten_sgd,5,0.14907934436195494,0.16890376484612069,15.375528695131859,49.46197688268478,-46.0396272800848,76.79068467034851,-0.5134594350026163,13.43127741115914,-17.190593046326406,16.163674176321173
diamond,regression,resnet,adamw,5,0.15172425413250146,0.1719351161529445,13.333599847795295,3.094796084276099,9.490902968167674,17.176296727422915,0.0,0.0,0.0,0.0
diamond,regression,resnet,anchor_whiten_adamw,5,0.15021009928206402,0.150210099282064,-5.749514620722171e-08,9.927137532771257e-06,-1.2383664425866654e-05,1.2268674133452211e-05,0.9916978330738212,1.3854047356662882,-0.7285093501440144,2.7119050162916567
diamond,regression,resnet,anchor_whiten_sgd,5,0.14804347981707705,0.14804348279029894,2.0056463029401858e-06,4.484761472195392e-06,-3.562920557616154e-06,7.5742131634965255e-06,2.4181207889725327,1.2935611930776398,0.8119524260545161,4.0242891518905495
diamond,regression,resnet,natural_hybrid_invariant_init,5,0.15198374801559866,0.150929244342965,-0.6893641189358348,0.9856173563016228,-1.9131697062603341,0.5344414683886645,-0.18427670052680042,1.9645576362531294,-2.623597189858602,2.2550437888050014
diamond,regression,resnet,natural_hybrid_invariant_init_lr01,5,0.15387707784812057,0.15276513747585618,-0.7199682247140738,0.8432590005557191,-1.7670125668654002,0.3270761174372524,-1.4321196777612752,2.096909509674577,-4.03577672341531,1.1715373678927596
diamond,regression,resnet,whiten_sgd,5,0.1508315026479831,0.14854286215841567,-1.5057255400820853,1.2953446182240727,-3.1141083177979185,0.10265723763374823,0.5765082581849855,1.8368322546695972,-1.704220223177706,2.8572367395476768
