dataset,task,model,remedy,seed,1.0,3000.0,sensitivity,adamw_k1,baseline_gain
adult,binclass,mlp,adamw,0,0.8563970272096308,0.846446778453412,0.995024875621886,0.8563970272096308,0.0
adult,binclass,mlp,adamw,1,0.8542472821079786,0.845095510103802,0.9151772004176606,0.8542472821079786,0.0
adult,binclass,mlp,adamw,2,0.8568269762299613,0.8462010932989374,1.0625882931023845,0.8568269762299613,0.0
adult,binclass,mlp,adamw,3,0.8546772311283091,0.8438056630428107,1.0871568085498384,0.8546772311283091,0.0
adult,binclass,mlp,adamw,4,0.8554757078803513,0.8441127694859039,1.1362938394447464,0.8554757078803513,0.0
adult,binclass,mlp,anchor_whiten_adamw,0,0.8563970272096308,0.8563970272096308,0.0,0.8563970272096308,0.0
adult,binclass,mlp,anchor_whiten_adamw,1,0.8548000737055463,0.8548000737055463,0.0,0.8542472821079786,0.055279159756771445
adult,binclass,mlp,anchor_whiten_adamw,2,0.8551686014372581,0.8551686014372581,0.0,0.8568269762299613,-0.16583747927031434
adult,binclass,mlp,anchor_whiten_adamw,3,0.8554142865917327,0.8554142865917327,0.0,0.8546772311283091,0.07370554634236193
adult,binclass,mlp,anchor_whiten_adamw,4,0.8541244395307414,0.8541244395307414,0.0,0.8554757078803513,-0.13512683496099687
adult,binclass,mlp,anchor_whiten_sgd,0,0.8566427123641054,0.8566427123641054,0.0,0.8563970272096308,0.024568515447453976
adult,binclass,mlp,anchor_whiten_sgd,1,0.8573183465389104,0.8573183465389104,0.0,0.8542472821079786,0.3071064430931747
adult,binclass,mlp,anchor_whiten_sgd,2,0.8567655549413427,0.8567655549413427,0.0,0.8568269762299613,-0.006142128861863494
adult,binclass,mlp,anchor_whiten_sgd,3,0.8563970272096308,0.8563970272096308,0.0,0.8546772311283091,0.17197960813217783
adult,binclass,mlp,anchor_whiten_sgd,4,0.8571340826730545,0.8571340826730545,0.0,0.8554757078803513,0.16583747927031434
adult,binclass,mlp,natural_hybrid_invariant_init,0,0.8528960137583687,0.8531416989128432,-0.024568515447453976,0.8563970272096308,-0.35010134512621915
adult,binclass,mlp,natural_hybrid_invariant_init,1,0.8538173330876482,0.8533259627786991,0.04913703089490795,0.8542472821079786,-0.04299490203304446
adult,binclass,mlp,natural_hybrid_invariant_init,2,0.8556599717462072,0.8560899207665377,-0.04299490203304446,0.8568269762299613,-0.11670044837540638
adult,binclass,mlp,natural_hybrid_invariant_init,3,0.8547386524169277,0.8554757078803513,-0.07370554634236193,0.8546772311283091,0.006142128861863494
adult,binclass,mlp,natural_hybrid_invariant_init,4,0.8545543885510718,0.8537559117990295,0.07984767520422542,0.8554757078803513,-0.09213193292795241
adult,binclass,mlp,natural_hybrid_invariant_init_lr01,0,0.8533873840673177,0.855352865303114,-0.1965481235796318,0.8563970272096308,-0.3009643142313112
adult,binclass,mlp,natural_hybrid_invariant_init_lr01,1,0.8546158098396904,0.8536330692217923,0.0982740617898159,0.8542472821079786,0.036852773171180964
adult,binclass,mlp,natural_hybrid_invariant_init_lr01,2,0.8538787543762668,0.8546772311283091,-0.07984767520422542,0.8568269762299613,-0.2948221853694477
adult,binclass,mlp,natural_hybrid_invariant_init_lr01,3,0.8531416989128432,0.8539401756648854,-0.07984767520422542,0.8546772311283091,-0.15355322154658735
adult,binclass,mlp,natural_hybrid_invariant_init_lr01,4,0.8546772311283091,0.8552300227258768,-0.055279159756771445,0.8554757078803513,-0.07984767520422542
adult,binclass,mlp,whiten_sgd,0,0.8576868742706222,0.8564584484982495,0.12284257723726988,0.8563970272096308,0.12898470609913337
adult,binclass,mlp,whiten_sgd,1,0.8575640316933849,0.8579939807137154,-0.04299490203304446,0.8542472821079786,0.3316749585406287
adult,binclass,mlp,whiten_sgd,2,0.8568269762299613,0.8581782445795713,-0.13512683496099687,0.8568269762299613,0.0
adult,binclass,mlp,whiten_sgd,3,0.8572569252502917,0.8562127633437749,0.1044161906516794,0.8546772311283091,0.25796941219826675
adult,binclass,mlp,whiten_sgd,4,0.8570112400958172,0.8581168232909526,-0.11055831951354289,0.8554757078803513,0.15355322154658735
adult,binclass,resnet,adamw,0,0.8522203795835637,0.8429457650021498,0.9274614581413876,0.8522203795835637,0.0
adult,binclass,resnet,adamw,1,0.8527731711811314,0.8452183526810393,0.7554818500092098,0.8527731711811314,0.0
adult,binclass,resnet,adamw,2,0.8510533750998096,0.843252871445243,0.7800503654566637,0.8510533750998096,0.0
adult,binclass,resnet,adamw,3,0.8505005835022419,0.8428229224249125,0.7677661077329367,0.8505005835022419,0.0
