model,alpha,split,n_tasks,n_observations,nrmse_mean,nrmse_std_across_tasks,nrmse_ci95_low,nrmse_ci95_high,residual_usage_mean,gate_mean,training_seconds_mean
AdaptiveResidual,0.0,iid,10,50,3.996713057357373e-07,4.996251371161268e-08,3.715995429493203e-07,4.2880762944322705e-07,3.996713057361006e-07,0.0003534486626017497,1.1013393329223617
AdaptiveResidual,0.0,ood,10,50,2.4050359284890418e-05,3.4286827293566474e-05,8.186464519161711e-06,4.7599927607528065e-05,2.405035928489033e-05,0.0005486233022622855,1.1013393329223617
AdaptiveResidual,0.1,iid,10,50,0.019815341388669326,0.0011730868962748307,0.01911187678552308,0.02047995182363559,0.08992700070225755,0.04223292478331132,1.1531822951277717
AdaptiveResidual,0.1,ood,10,50,0.39930797722320854,0.5564628719105137,0.13510555612034728,0.7523117904087426,0.3992703616910474,0.04523581612660564,1.1531822951277717
AdaptiveResidual,0.25,iid,10,50,0.04189721257671433,0.003334610139150653,0.0401414163727601,0.04384915729518476,0.23099098367905416,0.23273928148861162,1.1468610689556227
AdaptiveResidual,0.25,ood,10,50,0.5753902414286527,0.7759115082870054,0.2079927725199726,1.1021176212657657,0.5697268578333974,0.12623883974330968,1.1468610689556227
AdaptiveResidual,0.5,iid,10,50,0.07515369922518395,0.005958867941555957,0.07184376930798102,0.07880686848147365,0.4376054799750004,0.6535504700546152,1.1715914309956132
AdaptiveResidual,0.5,ood,10,50,0.9174645594892997,1.1414585323863577,0.36038491432083225,1.631281508729402,0.9034649617568487,0.26418222489490295,1.1715914309956132
AdaptiveResidual,1.0,iid,10,50,0.1168960524925777,0.008735654553499872,0.11168758460505988,0.12197964266353865,0.6995457532016255,0.9000020448063151,1.1699090718850496
AdaptiveResidual,1.0,ood,10,50,1.586533002389276,1.7188828275389383,0.6952152172882079,2.6741753415554697,1.5590201197578692,0.39894401168646365,1.1699090718850496
PenalizedScalarResidual,0.0,iid,10,50,3.55216660488549e-05,3.818393760232449e-06,3.33505986595714e-05,3.7788100338336826e-05,3.552166604885462e-05,0.02473319087177515,0.893772778143175
PenalizedScalarResidual,0.0,ood,10,50,0.0008120978387490815,0.001176126827109279,0.00027868631599545153,0.0016024867989811295,0.0008120978387490818,0.02473319087177515,0.893772778143175
PenalizedScalarResidual,0.1,iid,10,50,0.019034266674828455,0.0010097060153526833,0.018420563503171325,0.01958924601909998,0.09050018759920006,0.04930759564042091,0.9246261350158603
PenalizedScalarResidual,0.1,ood,10,50,0.4025155911552754,0.5538655138279199,0.14068418873727068,0.7858396535751743,0.40184916699486734,0.04930759564042091,0.9246261350158603
PenalizedScalarResidual,0.25,iid,10,50,0.040785232187041234,0.0025438571723842666,0.039397053850047735,0.04232506361405563,0.23246753317022678,0.07304798141121864,0.926560727604665
PenalizedScalarResidual,0.25,ood,10,50,0.9317619777177395,1.1962918645410494,0.3564182613813519,1.7162766160122498,0.9300689426544471,0.07304798141121864,0.926560727604665
PenalizedScalarResidual,0.5,iid,10,50,0.0794418771345514,0.00533018031108927,0.07637641234407071,0.0828524890232585,0.43599542916068756,0.08407343044877053,0.9577454333472997
PenalizedScalarResidual,0.5,ood,10,50,1.6459665976308835,2.036995927795731,0.6293035931914495,2.9380445180884163,1.6410050476153724,0.08407343044877053,0.9577454333472997
PenalizedScalarResidual,1.0,iid,10,50,0.148762260877174,0.009725213748660077,0.1440346571109267,0.15470608652140078,0.6879600329418436,0.09529480263590813,0.9508694948535412
PenalizedScalarResidual,1.0,ood,10,50,2.3556892069107382,2.4079233394049355,1.1308816325167306,3.899998668575227,2.3489616481427023,0.09529480263590813,0.9508694948535412
PureMLP,0.0,iid,10,50,0.060977099974889905,0.09282067495952225,0.013808029144018043,0.12400776277673443,-1.0,-1.0,0.832194858645089
PureMLP,0.0,ood,10,50,0.5742516787931243,0.5910726180054476,0.2443193281954736,0.9674746785319382,-1.0,-1.0,0.832194858645089
PureMLP,0.1,iid,10,50,0.10476223909237084,0.0683159611997161,0.07301150152648386,0.14938474414618907,-1.0,-1.0,0.7770386223262176
PureMLP,0.1,ood,10,50,0.602386466073783,0.5697623884399959,0.28760915111077384,0.9485171230923349,-1.0,-1.0,0.7770386223262176
PureMLP,0.25,iid,10,50,0.16035048994567783,0.06588220009507795,0.12140202625563043,0.20031299637682556,-1.0,-1.0,0.787278764131479
PureMLP,0.25,ood,10,50,0.8788848051780871,0.7303390821432516,0.4955895891507487,1.3396441400700478,-1.0,-1.0,0.787278764131479
PureMLP,0.5,iid,10,50,0.15619056255320465,0.051364717191032104,0.13163221872812506,0.18985100487326947,-1.0,-1.0,0.8732938421936705
PureMLP,0.5,ood,10,50,1.9333717856422923,1.52047076360432,1.186519373992989,2.916346425187094,-1.0,-1.0,0.8732938421936705
PureMLP,1.0,iid,10,50,0.15540716700199167,0.05080564078785368,0.13153893789688056,0.18753550102143374,-1.0,-1.0,0.8633196487184612
PureMLP,1.0,ood,10,50,3.3584785350560673,3.2401484470988136,1.8305615196402225,5.335274372918056,-1.0,-1.0,0.8633196487184612
PureProgram,0.0,iid,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PureProgram,0.0,ood,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PureProgram,0.1,iid,10,50,0.10035373836832313,0.003963999743580194,0.09769196643797953,0.10239426655821993,0.0,0.0,0.0
PureProgram,0.1,ood,10,50,0.03982304662950266,0.05607870571351659,0.01380710429098556,0.07604300495660432,0.0,0.0,0.0
PureProgram,0.25,iid,10,50,0.24534336711350316,0.009678248117446317,0.239025616572496,0.25043543756757963,0.0,0.0,0.0
PureProgram,0.25,ood,10,50,0.09612973936675225,0.13118962605219062,0.03423965820651673,0.17977077958138324,0.0,0.0,0.0
PureProgram,0.5,iid,10,50,0.45407066021982806,0.019690159935825072,0.442827481190599,0.4659404014542345,0.0,0.0,0.0
PureProgram,0.5,ood,10,50,0.17490849791681096,0.21886168598739292,0.06902060318993675,0.32111118610067857,0.0,0.0,0.0
PureProgram,1.0,iid,10,50,0.7189955047622688,0.03334492236747171,0.7011200954693538,0.7404113456871056,0.0,0.0,0.0
PureProgram,1.0,ood,10,50,0.2870841228314571,0.2965652958649192,0.13169692815649245,0.4721997967392941,0.0,0.0,0.0
UnpenalizedResidual,0.0,iid,10,50,0.0030849102836577316,0.00023158062761863843,0.0029448524396321384,0.0032196832348124396,0.0030849102836577316,1.0,0.37243919425643973
UnpenalizedResidual,0.0,ood,10,50,0.050101091954358135,0.07477772532975456,0.01583486780522441,0.09947893195858346,0.050101091954358135,1.0,0.37243919425643973
UnpenalizedResidual,0.1,iid,10,50,0.03614671756949608,0.00693672909373915,0.03280459231277356,0.040903722355608456,0.09331137859379342,1.0,0.7723658654605969
UnpenalizedResidual,0.1,ood,10,50,0.891947123346522,1.303530010584694,0.30958357912322715,1.7856384067300954,0.8934761171472821,1.0,0.7723658654605969
UnpenalizedResidual,0.25,iid,10,50,0.06223946654133995,0.005469612754706716,0.05888695785180095,0.06529330051529988,0.237789679020684,1.0,0.8144209792790933
UnpenalizedResidual,0.25,ood,10,50,1.789550978174476,2.445808826629749,0.6263870175848494,3.4354302015531077,1.7881340602139708,1.0,0.8144209792790933
UnpenalizedResidual,0.5,iid,10,50,0.09056888107824417,0.00662609438241137,0.08640189557054404,0.09408004394224223,0.44450380305102694,1.0,0.846337157227099
UnpenalizedResidual,0.5,ood,10,50,2.794615956994237,3.51972955516825,1.0908481670510448,5.083260897002915,2.7860919254631527,1.0,0.846337157227099
UnpenalizedResidual,1.0,iid,10,50,0.1169938644944376,0.012581330501226595,0.11049856195991924,0.12481603863150886,0.7079323595409261,1.0,0.8514222203847019
UnpenalizedResidual,1.0,ood,10,50,3.8505148094746473,4.058597461296054,1.7588502838648017,6.45292587083906,3.845325941644213,1.0,0.8514222203847019
