git_commit,git_dirty,task_id,task_seed,seed,alpha,model,split,magnitude_multiplier,training_seconds,residual_usage,gate_mean,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.0,UnpenalizedResidual,iid,1.0,0.17685401905328035,0.003630613270971344,1.0,0.004274147463725141,0.005823634759007936,0.9999868186472767,0.0036306132709713447,0.002895212710578152
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.0,PenalizedScalarResidual,iid,1.0,0.6038733629975468,3.588718799503577e-05,0.024531317874789238,4.528669766646063e-05,5.7564345143001195e-05,0.9999999987121098,3.5887187995037896e-05,3.221259552461062e-05
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.0,AdaptiveResidual,iid,1.0,0.8560667301062495,4.793898635695538e-07,0.0003469866773286867,4.839654666385981e-07,7.689586480966023e-07,0.9999999999997702,4.793898635709245e-07,2.827105976960918e-07
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.0,PureMLP,iid,1.0,0.7624455869663507,-1.0,-1.0,0.0068155323897372,0.008937700138724677,0.9999689527397276,0.00557200684425203,0.0047894147594552934
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.0,PureProgram,ood,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.0,UnpenalizedResidual,ood,4.0,0.17685401905328035,0.042842818597036425,1.0,0.25319212489583537,0.3256071072181914,0.9981644928946615,0.042842818597036425,0.038005716010124126
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.0,PenalizedScalarResidual,ood,4.0,0.6038733629975468,0.0007773643385743459,0.024531317874789238,0.004788546422146095,0.005907999562738483,0.9999993957046851,0.0007773643385743454,0.0007468899981588391
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.0,AdaptiveResidual,ood,4.0,0.8560667301062495,2.081743381115123e-05,0.0005374714320112162,0.00012739261697891185,0.00015821331613844822,0.9999999995666344,2.08174338111512e-05,2.0134896072852574e-05
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.0,PureMLP,ood,4.0,0.7624455869663507,-1.0,-1.0,0.4711368804310041,0.6322800309318872,0.9930787067572404,0.08319431015856524,0.08709987714236765
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.0,PureProgram,iid,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.0,UnpenalizedResidual,iid,1.0,0.2221312050241977,0.002490800600556857,1.0,0.00307353094927408,0.003995334086155615,0.9999937959123683,0.002490800600556856,0.002239016551923597
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.0,PenalizedScalarResidual,iid,1.0,0.6329478798434138,3.3197301197120936e-05,0.02463020198047161,3.9469147705431596e-05,5.324966960886958e-05,0.9999999988979392,3.319730119711959e-05,2.8923705940623274e-05
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.0,AdaptiveResidual,iid,1.0,0.8226027141790837,2.635004778765789e-07,0.0003433715407652471,2.773213010219328e-07,4.226642794069022e-07,0.9999999999999306,2.6350047787709286e-07,1.7175878409151736e-07
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.0,PureMLP,iid,1.0,0.7104264590889215,-1.0,-1.0,0.00894328415961354,0.011858909577872301,0.9999453410558824,0.007393168746730756,0.0062010030715573365
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.0,PureProgram,ood,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.0,UnpenalizedResidual,ood,4.0,0.2221312050241977,0.02043301666850603,1.0,0.1226418186272944,0.15529173072738853,0.9995824918298245,0.020433016668506027,0.021912823288056438
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.0,PenalizedScalarResidual,ood,4.0,0.6329478798434138,0.0003355140921489346,0.02463020198047161,0.0020125343243062206,0.0025499203029351867,0.999999887430294,0.0003355140921489348,0.0003239810423782629
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.0,AdaptiveResidual,ood,4.0,0.8226027141790837,1.0989884303831664e-05,0.0005528784443242785,6.448795812312639e-05,8.352355316511783e-05,0.9999999998792224,1.0989884303831158e-05,1.001693086891318e-05
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.0,PureMLP,ood,4.0,0.7104264590889215,-1.0,-1.0,0.625711718455932,0.8200680982401952,0.9883569127128702,0.10790313844893376,0.10984123014724058
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.0,PureProgram,iid,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,4,0.0,UnpenalizedResidual,iid,1.0,0.26080573513172567,0.0029546608228358372,1.0,0.0038094103781801955,0.004739382628968957,0.999991269979422,0.002954660822835835,0.0027746160923150204
