task,source_unit,split,setting,support_bin,states,mean_support_distance,mean_mpe_advantage
acs_industry,ACS,0,full_table,near,16,3.9375,0.0047874056084819434
acs_industry,ACS,0,full_table,medium,16,4.3125,0.0015752783303997053
acs_industry,ACS,0,full_table,far,16,5.8125,-0.012048037710060022
acs_industry,ACS,0,isolated_field,near,16,3.9375,0.0007455972808322157
acs_industry,ACS,0,isolated_field,medium,16,4.3125,-0.00477877348156459
acs_industry,ACS,0,isolated_field,far,16,5.8125,-0.03306759179572676
acs_industry,ACS,1,full_table,near,16,4.0,0.0030855964613792034
acs_industry,ACS,1,full_table,medium,16,4.375,-0.01563093953635911
acs_industry,ACS,1,full_table,far,16,5.6875,0.0015362641495869998
acs_industry,ACS,1,isolated_field,near,16,4.0,0.005662188133262389
acs_industry,ACS,1,isolated_field,medium,16,4.375,-0.04677559346209226
acs_industry,ACS,1,isolated_field,far,16,5.6875,0.0038296029511854617
acs_industry,ACS,2,full_table,near,16,4.0,-0.004961258472579489
acs_industry,ACS,2,full_table,medium,16,4.0625,-0.02088548218867348
acs_industry,ACS,2,full_table,far,16,5.5625,0.019608111223521348
acs_industry,ACS,2,isolated_field,near,16,4.0,0.019240242797675215
acs_industry,ACS,2,isolated_field,medium,16,4.0625,-0.05269388308842986
acs_industry,ACS,2,isolated_field,far,16,5.5625,0.018696871350711505
acs_industry,ACS,3,full_table,near,16,3.875,-0.0015742094093872307
acs_industry,ACS,3,full_table,medium,16,4.125,0.002475411455523213
acs_industry,ACS,3,full_table,far,16,5.5625,0.0038064716078181522
acs_industry,ACS,3,isolated_field,near,16,3.875,0.009322068508909317
acs_industry,ACS,3,isolated_field,medium,16,4.125,-0.009144036851259075
acs_industry,ACS,3,isolated_field,far,16,5.5625,0.0006507990989587792
acs_industry,ACS,4,full_table,near,16,3.9375,-0.004979671973578875
acs_industry,ACS,4,full_table,medium,16,4.25,-0.006644419247082376
acs_industry,ACS,4,full_table,far,16,5.6875,0.0023187919941655213
acs_industry,ACS,4,isolated_field,near,16,3.9375,-0.019418472692447085
acs_industry,ACS,4,isolated_field,medium,16,4.25,-0.0395749101741594
acs_industry,ACS,4,isolated_field,far,16,5.6875,-0.002027188437480107
acs_occupation,ACS,0,full_table,near,29,4.137931034482759,-0.009289086751550199
acs_occupation,ACS,0,full_table,medium,29,6.0,-0.02655028443629428
acs_occupation,ACS,0,full_table,far,30,6.666666666666667,-0.0043401990969421655
acs_occupation,ACS,0,isolated_field,near,29,4.137931034482759,-0.08349390836852232
acs_occupation,ACS,0,isolated_field,medium,29,6.0,-0.07405698204936503
acs_occupation,ACS,0,isolated_field,far,30,6.666666666666667,-0.011034718361069491
acs_occupation,ACS,1,full_table,near,29,4.551724137931035,-0.006581093478298697
acs_occupation,ACS,1,full_table,medium,29,6.0,0.0034991254882885516
acs_occupation,ACS,1,full_table,far,30,6.666666666666667,-0.015137949480295959
acs_occupation,ACS,1,isolated_field,near,29,4.551724137931035,-0.01700716746952742
acs_occupation,ACS,1,isolated_field,medium,29,6.0,-0.01999562572221505
acs_occupation,ACS,1,isolated_field,far,30,6.666666666666667,-0.028660381855481355
acs_occupation,ACS,2,full_table,near,29,4.206896551724138,-0.008890100666659592
acs_occupation,ACS,2,full_table,medium,29,6.0,-0.00805618040123598
acs_occupation,ACS,2,full_table,far,30,6.866666666666666,0.0016149053895209541
acs_occupation,ACS,2,isolated_field,near,29,4.206896551724138,0.015435696828843845
