source_unit,status,mpe,best_non_mpe,relative_gain_percent,cell_wins,cells,state_balanced_difference,mpe_row_weighted,best_non_mpe_row_weighted,seen_relative_gain_percent,unseen_minus_seen_gain_points
ACS,RUN,0.6274685250312965,0.6152922934908448,-1.9789345111686891,2,20,-0.012176231540451665,0.6262039826546506,0.6076518051296287,-15.349370285114604,13.370435773945916
NYC_TLC,RUN,0.9510435310800271,0.9494958303631807,-0.1630023710851271,3,11,-0.0015477007168464008,0.8408193331256387,0.8316787872912095,,
CITI_BIKE,RUN,1.0108535795213602,1.0047133285337477,-0.6111445736042366,0,5,-0.0061402509876125055,0.9684521029316431,0.9634224786645443,,
BTS,RUN,1.1196017477423632,1.1194967977682757,-0.009374745358514347,2,16,-0.00010494997408749818,1.0103189596699071,1.0102211001114973,,
AMAZON_2023,NOT RUN,,,,0,0,,,,,
