task,source_unit,split,setting,baseline,states,spearman_support_advantage
acs_industry,ACS,0,full_table,node2vec,48,-0.33538866278918394
acs_industry,ACS,0,isolated_field,laplacian,48,0.15593628103989532
acs_industry,ACS,1,full_table,path_to_root,48,0.12029599819002933
acs_industry,ACS,1,isolated_field,path_to_root,48,0.155137461274978
acs_industry,ACS,2,full_table,node2vec,48,0.2630169590713465
acs_industry,ACS,2,isolated_field,knn_metric,48,0.05630136803278641
acs_industry,ACS,3,full_table,path_to_root,48,0.05092172156752125
acs_industry,ACS,3,isolated_field,path_to_root,48,0.008869435059872763
acs_industry,ACS,4,full_table,laplacian,48,0.2057451601392166
acs_industry,ACS,4,isolated_field,laplacian,48,0.1257870380933631
acs_occupation,ACS,0,full_table,path_to_root,88,0.12334316619481804
acs_occupation,ACS,0,isolated_field,path_to_root,88,0.09836847547243234
acs_occupation,ACS,1,full_table,path_to_root,88,-0.03515739380764534
acs_occupation,ACS,1,isolated_field,path_to_root,88,-0.11867184351085981
acs_occupation,ACS,2,full_table,path_to_root,88,0.05138151485372571
acs_occupation,ACS,2,isolated_field,path_to_root,88,0.105551861449608
acs_occupation,ACS,3,full_table,path_to_root,88,0.23596082045007347
acs_occupation,ACS,3,isolated_field,path_to_root,88,0.27688160060786027
acs_occupation,ACS,4,full_table,path_to_root,88,0.17345346140971063
acs_occupation,ACS,4,isolated_field,knn_metric,88,-0.05554728478458089
airline_destination_airport,BTS,0,full_table,spatial_rbf,43,0.2808819087888855
airline_destination_airport,BTS,0,isolated_field,rbf_normalized,43,
airline_destination_airport,BTS,1,full_table,rbf_normalized,43,
airline_destination_airport,BTS,1,isolated_field,rbf_unnormalized,43,0.07278767743884024
airline_destination_airport,BTS,2,full_table,rbf_normalized,43,
airline_destination_airport,BTS,2,isolated_field,rbf_normalized,43,
airline_destination_airport,BTS,3,isolated_field,rbf_normalized,43,
airline_origin_airport,BTS,0,full_table,rbf_normalized,43,
airline_origin_airport,BTS,0,isolated_field,rbf_normalized,43,
airline_origin_airport,BTS,1,full_table,raw_latlon,43,0.17532467532467533
airline_origin_airport,BTS,1,isolated_field,rbf_normalized,43,
airline_origin_airport,BTS,2,full_table,raw_coordinates,43,-0.015705225007550592
airline_origin_airport,BTS,2,isolated_field,rbf_normalized,43,
airline_origin_airport,BTS,3,full_table,raw_latlon,43,0.05134400483237692
airline_origin_airport,BTS,3,isolated_field,rbf_normalized,43,
airline_origin_airport,BTS,4,isolated_field,rbf_normalized,43,
citibike_start_station,CITI_BIKE,0,full_table,rbf_normalized,301,
citibike_start_station,CITI_BIKE,0,isolated_field,knn_metric,301,0.03425350562250044
citibike_start_station,CITI_BIKE,1,full_table,rbf_normalized,301,
citibike_start_station,CITI_BIKE,1,isolated_field,knn_metric,301,0.0353534470176548
citibike_start_station,CITI_BIKE,2,isolated_field,knn_metric,301,-0.007235111987348379
employee_salaries,STRING_BENCHMARK,0,full_table,rbf_normalized,19,
employee_salaries,STRING_BENCHMARK,0,isolated_field,rbf_normalized,19,
employee_salaries,STRING_BENCHMARK,1,full_table,character_3gram_hash,19,-0.18947368421052632
employee_salaries,STRING_BENCHMARK,1,isolated_field,knn_metric,19,0.16315789473684209
employee_salaries,STRING_BENCHMARK,2,full_table,rbf_normalized,19,
employee_salaries,STRING_BENCHMARK,2,isolated_field,knn_metric,19,-0.03508771929824562
employee_salaries,STRING_BENCHMARK,3,full_table,rbf_normalized,19,
employee_salaries,STRING_BENCHMARK,3,isolated_field,knn_metric,19,0.1736842105263158
employee_salaries,STRING_BENCHMARK,4,full_table,rbf_normalized,19,
employee_salaries,STRING_BENCHMARK,4,isolated_field,knn_metric,19,0.18070175438596495
medical_charges,STRING_BENCHMARK,0,full_table,rbf_normalized,20,
medical_charges,STRING_BENCHMARK,0,isolated_field,knn_metric,20,-0.19781874283488515
medical_charges,STRING_BENCHMARK,1,full_table,rbf_normalized,20,
medical_charges,STRING_BENCHMARK,1,isolated_field,knn_metric,20,0.13684210526315788
medical_charges,STRING_BENCHMARK,2,full_table,rbf_normalized,20,
medical_charges,STRING_BENCHMARK,2,isolated_field,knn_metric,20,0.10455059031957809
medical_charges,STRING_BENCHMARK,3,full_table,rbf_normalized,20,
medical_charges,STRING_BENCHMARK,3,isolated_field,knn_metric,20,0.04136893861566039
medical_charges,STRING_BENCHMARK,4,full_table,rbf_normalized,20,
medical_charges,STRING_BENCHMARK,4,isolated_field,knn_metric,20,-0.10075187969924812
tlc_dropoff_zone,NYC_TLC,0,isolated_field,nystrom,34,0.4603514132925898
tlc_pickup_zone,NYC_TLC,0,full_table,rbf_unnormalized,19,0.13157894736842105
tlc_pickup_zone,NYC_TLC,0,isolated_field,rbf_normalized,19,
tlc_pickup_zone,NYC_TLC,1,full_table,nystrom,19,0.256140350877193
tlc_pickup_zone,NYC_TLC,1,isolated_field,rbf_normalized,19,
tlc_pickup_zone,NYC_TLC,2,full_table,spatial_rbf,19,-0.6508771929824562
tlc_pickup_zone,NYC_TLC,2,isolated_field,rbf_normalized,19,
tlc_pickup_zone,NYC_TLC,3,full_table,raw_coordinates,19,-0.3456140350877193
tlc_pickup_zone,NYC_TLC,3,isolated_field,nystrom,19,-0.25789473684210523
tlc_pickup_zone,NYC_TLC,4,full_table,rbf_normalized,19,
tlc_pickup_zone,NYC_TLC,4,isolated_field,knn_metric,19,-0.16140350877192983
