task,source_unit,split,setting,backbone,mpe,mpe_row_weighted,best_non_mpe,best_non_mpe_row_weighted,best_non_mpe_name,similarity,similarity_name,nystrom,ple,ple_name,unknown,mean_corrupt_mpe,relative_gain_percent,mpe_wins,correct_beats_mean_corrupt
acs_industry,ACS,0,full_table,ridge,0.4359689304931765,0.40818417056248785,0.4340738125694504,0.4042135395538478,node2vec,0.4359689304931765,similarity_same_metric,0.4362431974485663,0.43480329041638294,uniform_ple,0.45391833881112714,0.447124899437714,-0.43658886319544665,False,True
acs_industry,ACS,0,isolated_field,ridge,0.8315470037028819,0.8017912377584,0.8191800810373954,0.7882546196879063,laplacian,0.8315470037028819,similarity_same_metric,0.8265136484129291,0.8401129709156626,q_ple,0.8941599254924327,0.8946369870368768,-1.5096708222965214,False,True
acs_industry,ACS,1,full_table,ridge,0.4587266496423695,0.44574280125416144,0.4550569566672385,0.4311154325209255,path_to_root,0.45756344466394855,similarity_unnormalized,0.4575456140733242,0.46207801685861855,q_ple,0.47122204543612184,0.4723326646660276,-0.8064249807336645,False,True
acs_industry,ACS,1,isolated_field,ridge,0.8028489798287399,0.7781549566111707,0.7904210457028583,0.742204347436592,path_to_root,0.8000184983101472,similarity_unnormalized,0.8000235154511438,0.8183200327976183,q_ple,0.8563966380199761,0.8577643396958425,-1.5723182212121443,False,True
acs_industry,ACS,2,full_table,ridge,0.4788854681990468,0.4950198347731358,0.4768059250531363,0.4949046865912639,node2vec,0.47852682311165157,similarity_unnormalized,0.4789268263626519,0.47367844107276924,q_ple,0.49801262522163986,0.49119932218273854,-0.4361403742369129,False,True
acs_industry,ACS,2,isolated_field,ridge,0.8957039672036574,0.917885915242564,0.8907850442236431,0.9250876031092122,knn_metric,0.8908640362598077,similarity_unnormalized,0.891351257792345,0.8788210784629991,q_ple,0.965477773694953,0.9652092084618052,-0.5522008942461909,False,True
acs_industry,ACS,3,full_table,ridge,0.42939866086126166,0.4112572809169129,0.43096788541257974,0.4119574182124854,path_to_root,0.4289321785463877,similarity_unnormalized,0.4305104838472919,0.42647957793661834,uniform_ple,0.44508659204805684,0.44312484097252086,0.3641163540099542,True,True
acs_industry,ACS,3,isolated_field,ridge,0.7688396905465998,0.7499917908859798,0.7691159674654694,0.7258439410930941,path_to_root,0.7688396905465998,similarity_same_metric,0.7743139917505109,0.7566543909210951,uniform_ple,0.8245494800729732,0.8264096107726498,0.035921360439309775,True,True
acs_industry,ACS,4,full_table,ridge,0.42872938231314883,0.41612117697934675,0.42562761590431686,0.41133475098718514,laplacian,0.42872938231314883,similarity_same_metric,0.4281343355700506,0.42461319213305737,uniform_ple,0.44863786955787077,0.4432825143858551,-0.7287512118408375,False,True
acs_industry,ACS,4,isolated_field,ridge,0.8183562130460172,0.8205304826124429,0.7980160226113217,0.7962200605551878,laplacian,0.8116239326829721,similarity_unnormalized,0.8105417284514641,0.7896957841655041,uniform_ple,0.8834741218748591,0.883539197234456,-2.5488448675675777,False,True
