dataset,model,heldout_nll,coverage_50,coverage_90,mean_coverage_error,mean_additivity_violation,scale_violation,variance_polarization_violation,train_seconds
Electricity,projectivenet,-0.47406984368960065,0.5087890625,0.8856608072916666,0.013761393229166677,8.974729344875716e-08,9.58599943127562e-08,8.021841087687183e-08,13.264132216727981
Electricity,querynet,122.9352035522461,0.24796549479166666,0.507568359375,0.3222330729166667,0.23588016629219055,0.3016359731554985,0.6056950887044271,10.637731920694932
JenaWeather,projectivenet,-0.819582998752594,0.6258138020833334,0.9181315104166666,0.07197265624999999,8.524570442129213e-08,8.964016018353504e-08,7.982592364896846e-08,13.351144249395778
JenaWeather,querynet,164.6947479248047,0.24169921875,0.481689453125,0.3383056640625,0.12304522097110748,0.30708590894937515,0.6485805511474609,10.905183078953996
Traffic,projectivenet,0.66621994972229,0.45263671875,0.7880859375,0.07963867187500001,9.024615839810697e-08,1.0425745955444654e-07,9.576746625346762e-08,13.131016767273346
Traffic,querynet,189.5995127360026,0.18294270833333334,0.403076171875,0.4069905598958334,0.37990984320640564,0.39849575360616046,0.6485799352327982,10.774443899281323
