dataset,model,query_family,seed,nll,rmse,mean_predicted_variance,coverage_50,coverage_90
Electricity,projectivenet,dense,20261302.0,-0.631774365901947,0.3236205776532491,0.10154130806525548,0.5054524739583334,0.8814290364583334
Electricity,projectivenet,difference,20261302.0,-0.3901413182417552,0.43668821454048157,0.19597127536932626,0.53857421875,0.8921712239583334
Electricity,projectivenet,scaled_dense,20261302.0,-0.36582974592844647,0.5377320448557535,0.28116992115974426,0.5054524739583334,0.8814290364583334
Electricity,projectivenet,train_style,20261302.0,-0.7765401403109232,0.40059394637743634,0.13439474503199259,0.4950358072916667,0.8612467447916666
Electricity,querynet,dense,20261302.0,20.391937573750813,0.5458820859591166,0.08457595109939575,0.2718912760416667,0.546142578125
Electricity,querynet,difference,20261302.0,7.937812805175781,0.6275901198387146,0.07895436882972717,0.21956380208333334,0.4852701822916667
Electricity,querynet,scaled_dense,20261302.0,285.4071960449219,0.8703321814537048,0.14049780865510306,0.2501627604166667,0.499267578125
Electricity,querynet,train_style,20261302.0,-0.41454888383547467,0.5050638218720754,0.26943692564964294,0.5496419270833334,0.9003092447916666
JenaWeather,projectivenet,dense,20261302.0,-0.8465379675229391,0.30268144607543945,0.08736374974250793,0.5953776041666666,0.905029296875
JenaWeather,projectivenet,difference,20261302.0,-1.0380675792694092,0.4156365692615509,0.1649554173151652,0.6831868489583334,0.9418131510416666
JenaWeather,projectivenet,scaled_dense,20261302.0,-0.5805933475494385,0.5089228848616282,0.24059192339579263,0.5953776041666666,0.905029296875
JenaWeather,projectivenet,train_style,20261302.0,-1.461669643719991,0.3585589329401652,0.1196450541416804,0.619384765625,0.9237467447916666
JenaWeather,querynet,dense,20261302.0,36.90171813964844,0.4011511703332265,0.04277189324299494,0.219482421875,0.460205078125
JenaWeather,querynet,difference,20261302.0,108.01249186197917,0.5257349212964376,0.05807879442969958,0.26611328125,0.5260416666666666
JenaWeather,querynet,scaled_dense,20261302.0,324.5291341145833,0.6841636300086975,0.1422799527645111,0.23185221354166666,0.4485677083333333
JenaWeather,querynet,train_style,20261302.0,-1.0209025939305623,0.43816763162612915,0.22086848318576813,0.5402018229166666,0.8927408854166666
Traffic,projectivenet,dense,20261302.0,0.6065243283907572,0.6206614971160889,0.20638116697470346,0.416259765625,0.7731119791666666
Traffic,projectivenet,difference,20261302.0,0.14350248190263906,0.8257659276326498,0.3733878930409749,0.5209147135416666,0.8235677083333334
Traffic,projectivenet,scaled_dense,20261302.0,0.8724688490231832,1.0489273468653362,0.5693752964337667,0.416259765625,0.7731119791666666
Traffic,projectivenet,train_style,20261302.0,0.06578630954027176,0.7898850043614706,0.3334016005198161,0.4527994791666667,0.78662109375
Traffic,querynet,dense,20261302.0,32.992791493733726,0.9266006747881571,0.17478208243846893,0.19002278645833334,0.4120279947916667
Traffic,querynet,difference,20261302.0,31.122634887695312,1.0946940581003826,0.1584941347440084,0.18522135416666666,0.41943359375
Traffic,querynet,scaled_dense,20261302.0,441.19507853190106,1.4901618560155232,0.29704726735750836,0.17911783854166666,0.3883463541666667
Traffic,querynet,train_style,20261302.0,2.621032454073429,0.9270908435185751,0.5832933187484741,0.4391276041666667,0.801513671875
