dataset,model,seed,train_seconds,heldout_nll,coverage_50,coverage_90,mean_coverage_error,mean_additivity_violation,scale_violation,variance_polarization_violation
Electricity,jointdiag,20261302.0,11.673987534362823,-0.47111260890960693,0.5547688802083334,0.9149576822916666,0.03486328124999999,8.862414565176853e-08,8.274079021930447e-08,5.569650577778399e-08
Electricity,querynet_broad,20261302.0,10.502469563934332,-0.16873023907343546,0.5445963541666666,0.8998209635416666,0.02601725260416667,0.12182561308145523,0.28881872196992237,0.37331051627794903
JenaWeather,jointdiag,20261302.0,11.68313759076409,-0.8137896259625753,0.6484375,0.9309895833333334,0.08971354166666666,8.538007278957593e-08,8.001016501187526e-08,5.969104914053484e-08
JenaWeather,querynet_broad,20261302.0,10.627866730016345,-0.505822092294693,0.586181640625,0.899658203125,0.04734700520833333,0.08449505021174748,0.36575473969181377,0.4391058385372162
Traffic,jointdiag,20261302.0,11.645680218624571,0.7467904488245646,0.461181640625,0.809814453125,0.06450195312500001,9.15718321910693e-08,8.096353513546244e-08,5.5451315243241574e-08
Traffic,querynet_broad,20261302.0,10.42563690431416,2.6121420860290527,0.4668782552083333,0.7931315104166666,0.06999511718750001,0.21069425841172537,0.4504690542817116,0.8208945194880167
