dataset,seed,model,train_seconds,heldout_nll,coverage_50,coverage_90,mean_coverage_error,mean_additivity_violation,scale_violation,variance_polarization_violation
JenaWeather,20261301,querynet,11.488491653930396,205.7550811767578,0.218017578125,0.459228515625,0.361376953125,0.12243472039699554,0.2904689759016037,0.6664304733276367
JenaWeather,20261301,projectivenet,13.659068810055032,-0.8365091681480408,0.6376953125,0.919677734375,0.07868652343749999,8.71828547133191e-08,8.969326970031943e-08,7.75903856720106e-08
JenaWeather,20261302,querynet,10.604791055899113,160.07171630859375,0.249755859375,0.484130859375,0.333056640625,0.1212242990732193,0.2901010066270828,0.6398882865905762
JenaWeather,20261302,projectivenet,13.147959843976423,-0.8008450269699097,0.62451171875,0.916015625,0.07026367187499999,8.46207512950059e-08,8.871672818600018e-08,8.258204786670831e-08
JenaWeather,20261303,querynet,10.62226652703248,128.2574462890625,0.25732421875,0.501708984375,0.3204833984375,0.1254766434431076,0.34068774431943893,0.6394228935241699
JenaWeather,20261303,projectivenet,13.246404094155878,-0.8213948011398315,0.615234375,0.918701171875,0.06696777343749999,8.393350725555138e-08,9.051048266428552e-08,7.930533740818646e-08
Electricity,20261301,querynet,10.642188927158713,94.41568756103516,0.255615234375,0.52880859375,0.3077880859375,0.22737063467502594,0.2579822838306427,0.5712295174598694
Electricity,20261301,projectivenet,13.221085178200155,-0.4842066764831543,0.52099609375,0.88037109375,0.02031250000000001,9.312218907098213e-08,9.47135951889777e-08,8.324991540575866e-08
Electricity,20261302,querynet,10.642756511922926,133.59579467773438,0.280029296875,0.546875,0.2865478515625,0.24204576015472412,0.3359842225909233,0.6450018882751465
Electricity,20261302,projectivenet,13.250469068996608,-0.48190364241600037,0.511962890625,0.890869140625,0.010546875000000011,8.429120157416037e-08,9.484266882964221e-08,7.934615098292852e-08
Electricity,20261303,querynet,10.628250323003158,140.79412841796875,0.208251953125,0.447021484375,0.37236328125,0.2382241040468216,0.3109414130449295,0.6008538603782654
Electricity,20261303,projectivenet,13.320842402987182,-0.4560992121696472,0.493408203125,0.8857421875,0.010424804687500011,9.1828489701129e-08,9.802371891964867e-08,7.805916624192832e-08
Traffic,20261301,querynet,11.049100233940408,160.34022521972656,0.186767578125,0.41064453125,0.4012939453125,0.3832845985889435,0.3885266184806824,0.6967481374740601
Traffic,20261301,projectivenet,13.077214339049533,0.6076372265815735,0.4560546875,0.794189453125,0.07487792968750001,9.197642469871425e-08,1.014954342792862e-07,8.819723262831758e-08
Traffic,20261302,querynet,10.650417156051844,238.81558227539062,0.18505859375,0.413330078125,0.4008056640625,0.3502900302410126,0.3837641328573227,0.6316903829574585
Traffic,20261302,projectivenet,13.133279461879283,0.8404031991958618,0.458740234375,0.794677734375,0.07329101562500001,9.049601601418544e-08,1.1295042057213323e-07,1.0745016965074683e-07
Traffic,20261303,querynet,10.623814307851717,169.64273071289062,0.177001953125,0.38525390625,0.4188720703125,0.40615490078926086,0.4231965094804764,0.6173012852668762
Traffic,20261303,projectivenet,13.182556500891224,0.5506194233894348,0.443115234375,0.775390625,0.09074707031250001,8.826603448142123e-08,9.83265238119202e-08,9.165499648133846e-08
