dataset,seed,model,query_family,nll,rmse,mean_predicted_variance,coverage_50,coverage_90
JenaWeather,20261301,querynet,train_style,-0.9470781087875366,0.4531014561653137,0.21144556999206543,0.507568359375,0.87451171875
JenaWeather,20261301,querynet,difference,119.38550567626953,0.5118510127067566,0.05376248061656952,0.258544921875,0.513671875
JenaWeather,20261301,querynet,dense,33.87663269042969,0.4101056754589081,0.037719644606113434,0.21240234375,0.455810546875
JenaWeather,20261301,querynet,scaled_dense,332.46051025390625,0.7166900038719177,0.13129059970378876,0.225341796875,0.445068359375
JenaWeather,20261301,projectivenet,train_style,-1.4582514762878418,0.3666270971298218,0.11453947424888611,0.620849609375,0.922119140625
JenaWeather,20261301,projectivenet,difference,-1.0341079235076904,0.4044218361377716,0.16368047893047333,0.68212890625,0.94189453125
JenaWeather,20261301,projectivenet,dense,-0.823323130607605,0.3021194040775299,0.08659029006958008,0.593505859375,0.9033203125
JenaWeather,20261301,projectivenet,scaled_dense,-0.561923623085022,0.5110921263694763,0.24137328565120697,0.593505859375,0.9033203125
JenaWeather,20261302,querynet,train_style,-1.030622959136963,0.44496870040893555,0.24276652932167053,0.5693359375,0.906494140625
JenaWeather,20261302,querynet,difference,95.54277801513672,0.5208333134651184,0.06449251621961594,0.26953125,0.531005859375
JenaWeather,20261302,querynet,dense,37.34466552734375,0.3930590748786926,0.049226388335227966,0.230224609375,0.47900390625
JenaWeather,20261302,querynet,scaled_dense,335.06048583984375,0.6760768294334412,0.16388891637325287,0.242431640625,0.464599609375
JenaWeather,20261302,projectivenet,train_style,-1.435738205909729,0.35395801067352295,0.1312015950679779,0.6181640625,0.928466796875
JenaWeather,20261302,projectivenet,difference,-1.0406913757324219,0.42154398560523987,0.168023020029068,0.689453125,0.944091796875
JenaWeather,20261302,projectivenet,dense,-0.8610785603523254,0.3053572475910187,0.0890083909034729,0.6025390625,0.91015625
JenaWeather,20261302,projectivenet,scaled_dense,-0.598875880241394,0.5192224383354187,0.24368314445018768,0.6025390625,0.91015625
JenaWeather,20261303,querynet,train_style,-1.0850067138671875,0.4164327383041382,0.20839335024356842,0.543701171875,0.897216796875
JenaWeather,20261303,querynet,difference,109.10919189453125,0.5445204377174377,0.055981386452913284,0.270263671875,0.533447265625
JenaWeather,20261303,querynet,dense,39.483856201171875,0.40028876066207886,0.04136964678764343,0.2158203125,0.44580078125
JenaWeather,20261303,querynet,scaled_dense,306.06640625,0.6597240567207336,0.1316603422164917,0.227783203125,0.43603515625
JenaWeather,20261303,projectivenet,train_style,-1.4910192489624023,0.3550916910171509,0.11319409310817719,0.619140625,0.920654296875
JenaWeather,20261303,projectivenet,difference,-1.0394034385681152,0.42094388604164124,0.16316275298595428,0.677978515625,0.939453125
JenaWeather,20261303,projectivenet,dense,-0.8552122116088867,0.3005676865577698,0.08649256825447083,0.590087890625,0.901611328125
JenaWeather,20261303,projectivenet,scaled_dense,-0.5809805393218994,0.4964540898799896,0.23671934008598328,0.590087890625,0.901611328125
Electricity,20261301,querynet,train_style,-0.41853973269462585,0.5072358250617981,0.3003038465976715,0.57861328125,0.913818359375
Electricity,20261301,querynet,difference,5.69582462310791,0.6179605722427368,0.07616637647151947,0.226806640625,0.521728515625
Electricity,20261301,querynet,dense,10.432559967041016,0.5349514484405518,0.08439431339502335,0.292236328125,0.572998046875
Electricity,20261301,querynet,scaled_dense,126.81903076171875,0.8316295742988586,0.14637835323810577,0.270751953125,0.526611328125
Electricity,20261301,projectivenet,train_style,-0.7407424449920654,0.4037492871284485,0.1430899202823639,0.50244140625,0.86865234375
Electricity,20261301,projectivenet,difference,-0.39775586128234863,0.43431779742240906,0.2022174894809723,0.555908203125,0.896728515625
Electricity,20261301,projectivenet,dense,-0.6067988872528076,0.3248298466205597,0.10400262475013733,0.511962890625,0.882080078125
Electricity,20261301,projectivenet,scaled_dense,-0.3453993797302246,0.536821186542511,0.28652578592300415,0.511962890625,0.882080078125
Electricity,20261302,querynet,train_style,-0.3985631465911865,0.5081048011779785,0.3032517731189728,0.57568359375,0.9228515625
Electricity,20261302,querynet,difference,6.732504844665527,0.6405638456344604,0.10009940713644028,0.239501953125,0.52294921875
Electricity,20261302,querynet,dense,13.392033576965332,0.554190993309021,0.10690080374479294,0.29541015625,0.58935546875
Electricity,20261302,querynet,scaled_dense,216.98580932617188,0.8792517185211182,0.16471830010414124,0.26904296875,0.53466796875
Electricity,20261302,projectivenet,train_style,-0.8057430386543274,0.4020400643348694,0.13836823403835297,0.5,0.857666015625
Electricity,20261302,projectivenet,difference,-0.37441712617874146,0.4474572241306305,0.20086482167243958,0.534423828125,0.891845703125
Electricity,20261302,projectivenet,dense,-0.6292033791542053,0.3281606137752533,0.10431031137704849,0.50537109375,0.887451171875
Electricity,20261302,projectivenet,scaled_dense,-0.36700063943862915,0.5429087281227112,0.2872879207134247,0.50537109375,0.887451171875
Electricity,20261303,querynet,train_style,-0.4265437722206116,0.4998508393764496,0.20475515723228455,0.49462890625,0.8642578125
Electricity,20261303,querynet,difference,11.385108947753906,0.6242459416389465,0.06059732288122177,0.1923828125,0.4111328125
Electricity,20261303,querynet,dense,37.351219177246094,0.5485038161277771,0.06243273615837097,0.22802734375,0.47607421875
Electricity,20261303,querynet,scaled_dense,512.416748046875,0.9001152515411377,0.11039677262306213,0.210693359375,0.4365234375
Electricity,20261303,projectivenet,train_style,-0.783134937286377,0.3959924876689911,0.12172608077526093,0.482666015625,0.857421875
Electricity,20261303,projectivenet,difference,-0.3982509672641754,0.42828962206840515,0.18483151495456696,0.525390625,0.887939453125
Electricity,20261303,projectivenet,dense,-0.6593208312988281,0.3178712725639343,0.09631098806858063,0.4990234375,0.874755859375
Electricity,20261303,projectivenet,scaled_dense,-0.3850892186164856,0.5334662199020386,0.26969605684280396,0.4990234375,0.874755859375
Traffic,20261301,querynet,train_style,4.312554836273193,0.9202609658241272,0.6089813113212585,0.478759765625,0.82958984375
Traffic,20261301,querynet,difference,26.019615173339844,1.1105624437332153,0.15923623740673065,0.17431640625,0.404052734375
Traffic,20261301,querynet,dense,33.2374267578125,0.9371922612190247,0.17904753983020782,0.197509765625,0.4150390625
Traffic,20261301,querynet,scaled_dense,368.21624755859375,1.4920402765274048,0.3001822829246521,0.183837890625,0.390625
Traffic,20261301,projectivenet,train_style,-0.029473237693309784,0.7827494144439697,0.3384905755519867,0.456298828125,0.7958984375
Traffic,20261301,projectivenet,difference,0.04907628148794174,0.8130548000335693,0.3787704110145569,0.518310546875,0.828369140625
Traffic,20261301,projectivenet,dense,0.7424867153167725,0.6117666959762573,0.2025381326675415,0.417236328125,0.781005859375
Traffic,20261301,projectivenet,scaled_dense,1.0038862228393555,1.033553957939148,0.5458419322967529,0.417236328125,0.781005859375
Traffic,20261302,querynet,train_style,3.540945529937744,0.9327900409698486,0.5802516937255859,0.39013671875,0.754638671875
Traffic,20261302,querynet,difference,23.253700256347656,1.046661138534546,0.16299061477184296,0.202392578125,0.451904296875
Traffic,20261302,querynet,dense,31.50279998779297,0.8793362975120544,0.1764649748802185,0.193359375,0.421630859375
Traffic,20261302,querynet,scaled_dense,447.9872741699219,1.4270994663238525,0.3031507134437561,0.182861328125,0.3994140625
Traffic,20261302,projectivenet,train_style,0.03304953873157501,0.8038959503173828,0.33373796939849854,0.451171875,0.77734375
Traffic,20261302,projectivenet,difference,0.02650049515068531,0.8005478978157043,0.3937493562698364,0.52490234375,0.827880859375
Traffic,20261302,projectivenet,dense,0.49405473470687866,0.6179612278938293,0.21318422257900238,0.416748046875,0.772705078125
Traffic,20261302,projectivenet,scaled_dense,0.7562573552131653,1.0431548357009888,0.5885823369026184,0.416748046875,0.772705078125
