dataset,split_seed,problem_type,model,model_family,transform,matched_normalized_loss_gap,matched_excess_disagreement,matched_disagreement,context_only_disagreement,query_only_disagreement,mean_missing_rate,max_missing_rate,mean_unique_fraction,max_unique_fraction,mean_largest_atom_mass,max_largest_atom_mass,mean_binned_entropy,max_binned_entropy,mean_zero_mass,max_zero_mass,mean_skewness,max_skewness,mean_excess_kurtosis,max_excess_kurtosis,mean_robust_scale_iqr,max_robust_scale_iqr,mean_tail_heaviness_q99_q01_over_iqr,max_tail_heaviness_q99_q01_over_iqr,mean_spacing_irregularity,max_spacing_irregularity
Food_Delivery_Time,20260831,regression,mitra_default,TFM,asinh,-0.0002559476758985,-0.0028003743862075,0.0029927323712026,0.4103935242662587,0.9519304598840505,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,mitra_default,TFM,composition,0.0004493675534664,0.0018534959329371,0.0076466026903472,0.4107335058211337,0.9504736090984676,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,mitra_default,TFM,monotone_spline,0.0003083406479579,-0.0026616976993505,0.0031314090580595,0.4102637944624248,0.9505660602230388,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,mitra_default,TFM,random_monotone_pwl,0.0001174592894634,0.0025319678955167,0.0083250746529268,0.4106231609305164,0.952118344427534,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,mitra_default,TFM,signed_power,-4.7517127694382045e-05,-0.0017088546573981,0.0040842521000119,0.4101474849831255,0.9468411745911184,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,asinh,0.0027791249184186,0.0126560773228038,0.0126560773228038,0.4103674430908506,0.8812758910812885,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,composition,0.0038678754763038,0.0253496687656765,0.0253496687656765,0.4079318609680054,0.8787706900320579,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,monotone_spline,0.0045275390090954,0.0286727946842863,0.0286727946842863,0.4100610764862327,0.8813884916232407,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,random_monotone_pwl,0.0038084762284712,0.0264475228913729,0.0264475228913729,0.4076994965793649,0.8812999809715635,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
Food_Delivery_Time,20260831,regression,tabicl_v2_default,TFM,signed_power,0.0024670337892712,0.0398803255900778,0.0398803255900778,0.4192143151352678,0.8812986372975772,0.0,0.0,0.3028157552083333,0.7158203125,0.07918294270833333,0.20068359375,1.7316134192740875,2.432897572342807,0.026204427083333332,0.07861328125,-1.793078188704533,0.0355131932287016,5.66060371248961,11.660344271839149,6.6030429166666655,10.0,8.494507513830952,18.288158769680603,10.869690800658523,31.4695782360351
