episode_index,dataset,task_type,repeat,feature_count,method,loss
0,abalone,regression,0,7,uniform,0.7759932161562881
0,abalone,regression,0,7,fixed,0.780996791992362
0,abalone,regression,0,7,competence,0.7490539297144236
0,abalone,regression,0,7,hard_cv,0.7306283985392711
0,abalone,regression,0,7,best_individual_oracle,0.7306283985392711
1,abalone,regression,1,7,uniform,0.4508648606106726
1,abalone,regression,1,7,fixed,0.45941629509814624
1,abalone,regression,1,7,competence,0.5365164718017644
1,abalone,regression,1,7,hard_cv,0.5744142968289564
1,abalone,regression,1,7,best_individual_oracle,0.49738702936612683
2,abalone,regression,2,7,uniform,0.5519734767218981
2,abalone,regression,2,7,fixed,0.5587711698101724
2,abalone,regression,2,7,competence,0.543895261619058
2,abalone,regression,2,7,hard_cv,0.5948210202670143
2,abalone,regression,2,7,best_individual_oracle,0.5553310374092318
3,abalone,regression,3,7,uniform,0.5206147117716505
3,abalone,regression,3,7,fixed,0.5254802338628651
3,abalone,regression,3,7,competence,0.5236465031410241
3,abalone,regression,3,7,hard_cv,0.5880040090846235
3,abalone,regression,3,7,best_individual_oracle,0.5586658624084365
4,abalone,regression,4,7,uniform,0.4758779265457635
4,abalone,regression,4,7,fixed,0.4867499788542046
4,abalone,regression,4,7,competence,0.4713588612274813
4,abalone,regression,4,7,hard_cv,0.5008728610602252
4,abalone,regression,4,7,best_individual_oracle,0.48119870757217376
5,abalone,regression,5,7,uniform,0.5392371534088914
5,abalone,regression,5,7,fixed,0.5571435380699271
5,abalone,regression,5,7,competence,0.5412260257484859
5,abalone,regression,5,7,hard_cv,0.7668369805276102
5,abalone,regression,5,7,best_individual_oracle,0.5019444955803408
6,abalone,regression,6,7,uniform,0.48727632696453277
6,abalone,regression,6,7,fixed,0.48992598582065544
6,abalone,regression,6,7,competence,0.45956401562795507
6,abalone,regression,6,7,hard_cv,0.4603849619008211
6,abalone,regression,6,7,best_individual_oracle,0.4603849619008211
7,abalone,regression,7,7,uniform,0.5433046736636908
7,abalone,regression,7,7,fixed,0.5505391563122877
7,abalone,regression,7,7,competence,0.5547375770886861
7,abalone,regression,7,7,hard_cv,0.6962721774214161
7,abalone,regression,7,7,best_individual_oracle,0.5530236443931996
8,abalone,regression,8,7,uniform,0.4984772683751613
8,abalone,regression,8,7,fixed,0.5062863377870346
8,abalone,regression,8,7,competence,0.5136102949395861
8,abalone,regression,8,7,hard_cv,0.5140751364113029
8,abalone,regression,8,7,best_individual_oracle,0.5029475033957364
9,abalone,regression,9,7,uniform,0.7715366222513964
9,abalone,regression,9,7,fixed,0.7849756139946065
9,abalone,regression,9,7,competence,0.7349876664684135
9,abalone,regression,9,7,hard_cv,0.7139425748919761
9,abalone,regression,9,7,best_individual_oracle,0.6999079297875789
10,abalone,regression,10,7,uniform,0.4033952780391849
10,abalone,regression,10,7,fixed,0.40810688899212305
10,abalone,regression,10,7,competence,0.40493392728800576
10,abalone,regression,10,7,hard_cv,0.43122443643486047
10,abalone,regression,10,7,best_individual_oracle,0.43122443643486047
11,abalone,regression,11,7,uniform,0.6202157383982324
11,abalone,regression,11,7,fixed,0.6315827169062072
11,abalone,regression,11,7,competence,0.6073857447220741
11,abalone,regression,11,7,hard_cv,0.6327293729507489
11,abalone,regression,11,7,best_individual_oracle,0.5769981380160437
12,abalone,regression,12,7,uniform,0.5937635862189403
12,abalone,regression,12,7,fixed,0.5931894859109631
12,abalone,regression,12,7,competence,0.6014823672824515
12,abalone,regression,12,7,hard_cv,0.5632079038013559
12,abalone,regression,12,7,best_individual_oracle,0.5632079038013559
13,abalone,regression,13,7,uniform,0.497946014092733
13,abalone,regression,13,7,fixed,0.5031236930700782
13,abalone,regression,13,7,competence,0.46215337407187046
13,abalone,regression,13,7,hard_cv,0.4678054784304007
13,abalone,regression,13,7,best_individual_oracle,0.43883110062392044
14,abalone,regression,14,7,uniform,0.459496331828072
14,abalone,regression,14,7,fixed,0.4653182941440453
14,abalone,regression,14,7,competence,0.45775441195371364
14,abalone,regression,14,7,hard_cv,0.48780193810145533
14,abalone,regression,14,7,best_individual_oracle,0.46192371866344556
15,abalone,regression,15,7,uniform,0.4254809139836613
15,abalone,regression,15,7,fixed,0.4221869113261765
15,abalone,regression,15,7,competence,0.4402371666518412
15,abalone,regression,15,7,hard_cv,0.45922905413161025
15,abalone,regression,15,7,best_individual_oracle,0.45922905413161025
16,abalone,regression,16,7,uniform,0.41620613062089645
16,abalone,regression,16,7,fixed,0.42383730369987155
16,abalone,regression,16,7,competence,0.4316932475300009
16,abalone,regression,16,7,hard_cv,0.4423942590060095
16,abalone,regression,16,7,best_individual_oracle,0.42584093477493057
17,abalone,regression,17,7,uniform,0.3284928630593172
17,abalone,regression,17,7,fixed,0.3426814466786528
17,abalone,regression,17,7,competence,0.3266473540718679
17,abalone,regression,17,7,hard_cv,0.3319385006905247
17,abalone,regression,17,7,best_individual_oracle,0.3097110677884805
18,abalone,regression,18,7,uniform,0.4953096271892272
18,abalone,regression,18,7,fixed,0.5048310483524356
18,abalone,regression,18,7,competence,0.4884645206411446
18,abalone,regression,18,7,hard_cv,0.4814837306064457
18,abalone,regression,18,7,best_individual_oracle,0.45139279859830195
19,abalone,regression,19,7,uniform,0.6306499947602593
19,abalone,regression,19,7,fixed,0.6530961136453185
19,abalone,regression,19,7,competence,0.5929631886803758
19,abalone,regression,19,7,hard_cv,0.5918812693991525
19,abalone,regression,19,7,best_individual_oracle,0.5918812693991525
20,abalone,regression,20,7,uniform,0.5892504336240215
20,abalone,regression,20,7,fixed,0.6315110117766377
20,abalone,regression,20,7,competence,0.5324196203187775
20,abalone,regression,20,7,hard_cv,0.6213070830661159
20,abalone,regression,20,7,best_individual_oracle,0.49873892288722316
21,abalone,regression,21,7,uniform,0.6962699984090989
21,abalone,regression,21,7,fixed,0.7145426626370764
21,abalone,regression,21,7,competence,0.6796229784258987
21,abalone,regression,21,7,hard_cv,0.6924276464908102
21,abalone,regression,21,7,best_individual_oracle,0.6367967618531405
22,abalone,regression,22,7,uniform,0.3646680858787503
22,abalone,regression,22,7,fixed,0.3715770233570416
22,abalone,regression,22,7,competence,0.37308911000678124
22,abalone,regression,22,7,hard_cv,0.46040251112374914
22,abalone,regression,22,7,best_individual_oracle,0.3696795908180834
23,abalone,regression,23,7,uniform,0.5513039068277688
23,abalone,regression,23,7,fixed,0.5632746364373501
23,abalone,regression,23,7,competence,0.5066639764680648
23,abalone,regression,23,7,hard_cv,0.5094996640976939
23,abalone,regression,23,7,best_individual_oracle,0.5094996640976939
24,abalone,regression,24,7,uniform,0.5905886542406796
24,abalone,regression,24,7,fixed,0.5969600011150155
24,abalone,regression,24,7,competence,0.6831011413562423
24,abalone,regression,24,7,hard_cv,0.7804714007271175
24,abalone,regression,24,7,best_individual_oracle,0.5482067366612541
25,abalone,regression,25,7,uniform,0.47936734849424584
25,abalone,regression,25,7,fixed,0.4790615207845737
25,abalone,regression,25,7,competence,0.49126743489188457
25,abalone,regression,25,7,hard_cv,0.5541406656035472
25,abalone,regression,25,7,best_individual_oracle,0.5101454735904664
26,abalone,regression,26,7,uniform,0.48247608497578903
26,abalone,regression,26,7,fixed,0.48600725093337066
26,abalone,regression,26,7,competence,0.4776595385202209
26,abalone,regression,26,7,hard_cv,0.4921404300316737
26,abalone,regression,26,7,best_individual_oracle,0.4921404300316737
27,abalone,regression,27,7,uniform,0.5070411163556454
27,abalone,regression,27,7,fixed,0.5071255070082205
27,abalone,regression,27,7,competence,0.510013458951785
27,abalone,regression,27,7,hard_cv,0.5143851174349995
27,abalone,regression,27,7,best_individual_oracle,0.5100724334207132
28,abalone,regression,28,7,uniform,0.5355141075031188
28,abalone,regression,28,7,fixed,0.5511061350457647
28,abalone,regression,28,7,competence,0.5627687276533332
28,abalone,regression,28,7,hard_cv,0.6184385020265046
28,abalone,regression,28,7,best_individual_oracle,0.555206851652808
29,abalone,regression,29,7,uniform,0.6414690854845587
29,abalone,regression,29,7,fixed,0.6536930735817742
29,abalone,regression,29,7,competence,0.598381666987926
29,abalone,regression,29,7,hard_cv,0.5952216652909885
29,abalone,regression,29,7,best_individual_oracle,0.5952216652909885
30,abalone,regression,30,7,uniform,0.46558499926534086
30,abalone,regression,30,7,fixed,0.4815382838006051
30,abalone,regression,30,7,competence,0.4300362723741089
30,abalone,regression,30,7,hard_cv,0.5447976015135868
30,abalone,regression,30,7,best_individual_oracle,0.4041091845536773
31,abalone,regression,31,7,uniform,0.5129060755609711
31,abalone,regression,31,7,fixed,0.5237036573014572
31,abalone,regression,31,7,competence,0.4930568164319848
31,abalone,regression,31,7,hard_cv,0.4529221186287469
31,abalone,regression,31,7,best_individual_oracle,0.4529221186287469
32,abalone,regression,32,7,uniform,0.5902592511997659
32,abalone,regression,32,7,fixed,0.6193405011817151
32,abalone,regression,32,7,competence,0.5523202856419686
32,abalone,regression,32,7,hard_cv,0.6094365876750223
32,abalone,regression,32,7,best_individual_oracle,0.5864584510167977
33,abalone,regression,33,7,uniform,0.48580580412773194
33,abalone,regression,33,7,fixed,0.5034155903317364
33,abalone,regression,33,7,competence,0.4821681202745878
33,abalone,regression,33,7,hard_cv,0.5200670821420802
33,abalone,regression,33,7,best_individual_oracle,0.5096149515328725
34,abalone,regression,34,7,uniform,0.5915692701968377
34,abalone,regression,34,7,fixed,0.5971796270639452
34,abalone,regression,34,7,competence,0.5673909413996805
34,abalone,regression,34,7,hard_cv,0.5667229231510833
34,abalone,regression,34,7,best_individual_oracle,0.5667229231510833
35,abalone,regression,35,7,uniform,0.6256667470906946
35,abalone,regression,35,7,fixed,0.6433508981340964
35,abalone,regression,35,7,competence,0.6073492374411368
35,abalone,regression,35,7,hard_cv,0.6909817961628795
35,abalone,regression,35,7,best_individual_oracle,0.5932822635251199
36,abalone,regression,36,7,uniform,0.44603064409941956
36,abalone,regression,36,7,fixed,0.4553111407461657
36,abalone,regression,36,7,competence,0.444074066086142
36,abalone,regression,36,7,hard_cv,0.45689863542059467
36,abalone,regression,36,7,best_individual_oracle,0.4489647640262289
37,abalone,regression,37,7,uniform,0.5593257817882624
37,abalone,regression,37,7,fixed,0.5824916779392728
37,abalone,regression,37,7,competence,0.5285050245660549
37,abalone,regression,37,7,hard_cv,0.5825974502258052
