model,dataset,status,failure
tabicl_v2_single,churn,complete,
tabpfn3_default,wine_quality,unavailable,unknown model adapter: tabpfn3_default
mitra_default,churn,complete,
tabicl_v2_single,churn,complete,
tabicl_v2_default,churn,complete,
tabpfn3_ood,wine_quality,unavailable,unknown model adapter: tabpfn3_ood
tabpfn3_default,churn,unavailable,unknown model adapter: tabpfn3_default
tabpfn3_ood,churn,unavailable,unknown model adapter: tabpfn3_ood
mitra_default,churn,complete,
tabpfn3_ood,churn,unavailable,unknown model adapter: tabpfn3_ood
tabicl_v2_default,churn,complete,
tabicl_v2_default,churn,complete,
tabpfn3_ood,wine_quality,unavailable,unknown model adapter: tabpfn3_ood
tabicl_v2_single,wine_quality,complete,
tabpfn3_default,churn,unavailable,unknown model adapter: tabpfn3_default
mitra_default,wine_quality,complete,
tabicl_v2_single,churn,complete,
mitra_default,churn,complete,
mitra_default,wine_quality,complete,
tabpfn3_ood,wine_quality,unavailable,unknown model adapter: tabpfn3_ood
tabpfn3_ood,wine_quality,unavailable,unknown model adapter: tabpfn3_ood
tabicl_v2_single,wine_quality,complete,
mitra_default,wine_quality,complete,
tabicl_v2_single,churn,complete,
tabicl_v2_single,wine_quality,complete,
tabicl_v2_single,churn,complete,
tabicl_v2_default,wine_quality,complete,
tabpfn3_ood,wine_quality,unavailable,unknown model adapter: tabpfn3_ood
tabicl_v2_single,churn,complete,
tabicl_v2_single,churn,complete,
tabicl_v2_single,wine_quality,complete,
tabpfn3_ood,churn,unavailable,unknown model adapter: tabpfn3_ood
tabpfn3_ood,wine_quality,unavailable,unknown model adapter: tabpfn3_ood
tabicl_v2_single,churn,complete,
tabpfn3_ood,churn,unavailable,unknown model adapter: tabpfn3_ood
tabicl_v2_single,wine_quality,complete,
tabicl_v2_default,wine_quality,complete,
tabicl_v2_single,wine_quality,complete,
tabpfn3_default,wine_quality,unavailable,unknown model adapter: tabpfn3_default
tabpfn3_ood,wine_quality,unavailable,unknown model adapter: tabpfn3_ood
tabpfn3_default,wine_quality,unavailable,unknown model adapter: tabpfn3_default
mitra_default,churn,complete,
tabpfn3_ood,churn,unavailable,unknown model adapter: tabpfn3_ood
tabpfn3_ood,wine_quality,unavailable,unknown model adapter: tabpfn3_ood
mitra_default,churn,complete,
tabicl_v2_default,wine_quality,complete,
tabicl_v2_default,churn,complete,
mitra_default,wine_quality,complete,
tabicl_v2_default,wine_quality,complete,
tabicl_v2_default,churn,complete,
tabpfn3_default,wine_quality,unavailable,unknown model adapter: tabpfn3_default
tabpfn3_default,churn,unavailable,unknown model adapter: tabpfn3_default
tabicl_v2_single,wine_quality,complete,
mitra_default,wine_quality,complete,
mitra_default,churn,complete,
tabicl_v2_single,churn,complete,
tabpfn3_ood,churn,unavailable,unknown model adapter: tabpfn3_ood
mitra_default,churn,complete,
tabicl_v2_default,wine_quality,complete,
tabpfn3_default,wine_quality,unavailable,unknown model adapter: tabpfn3_default
tabpfn3_default,wine_quality,unavailable,unknown model adapter: tabpfn3_default
tabpfn3_ood,churn,unavailable,unknown model adapter: tabpfn3_ood
tabpfn3_ood,wine_quality,unavailable,unknown model adapter: tabpfn3_ood
mitra_default,wine_quality,complete,
tabpfn3_ood,churn,unavailable,unknown model adapter: tabpfn3_ood
tabpfn3_default,churn,unavailable,unknown model adapter: tabpfn3_default
tabpfn3_default,churn,unavailable,unknown model adapter: tabpfn3_default
tabicl_v2_single,wine_quality,complete,
tabpfn3_default,churn,unavailable,unknown model adapter: tabpfn3_default
tabpfn3_ood,wine_quality,unavailable,unknown model adapter: tabpfn3_ood
tabicl_v2_single,churn,complete,
tabpfn3_ood,churn,unavailable,unknown model adapter: tabpfn3_ood
tabpfn3_default,churn,unavailable,unknown model adapter: tabpfn3_default
mitra_default,wine_quality,complete,
tabpfn3_ood,churn,unavailable,unknown model adapter: tabpfn3_ood
mitra_default,wine_quality,complete,
mitra_default,churn,complete,
tabicl_v2_default,churn,complete,
mitra_default,wine_quality,complete,
mitra_default,churn,complete,
tabpfn3_ood,churn,unavailable,unknown model adapter: tabpfn3_ood
tabicl_v2_default,wine_quality,complete,
mitra_default,wine_quality,complete,
tabicl_v2_default,wine_quality,complete,
tabicl_v2_default,wine_quality,complete,
tabicl_v2_single,wine_quality,complete,
tabpfn3_ood,churn,unavailable,unknown model adapter: tabpfn3_ood
tabicl_v2_default,churn,complete,
tabicl_v2_default,churn,complete,
tabicl_v2_default,wine_quality,complete,
tabicl_v2_single,wine_quality,complete,
tabicl_v2_default,churn,complete,
tabpfn3_default,wine_quality,unavailable,unknown model adapter: tabpfn3_default
mitra_default,wine_quality,complete,
tabicl_v2_default,wine_quality,complete,
tabicl_v2_default,churn,complete,
mitra_default,wine_quality,complete,
tabpfn3_default,wine_quality,unavailable,unknown model adapter: tabpfn3_default
tabicl_v2_single,churn,complete,
tabicl_v2_default,churn,complete,
tabpfn3_default,wine_quality,unavailable,unknown model adapter: tabpfn3_default
tabpfn3_default,wine_quality,unavailable,unknown model adapter: tabpfn3_default
mitra_default,churn,complete,
tabpfn3_default,wine_quality,unavailable,unknown model adapter: tabpfn3_default
tabpfn3_default,churn,unavailable,unknown model adapter: tabpfn3_default
tabicl_v2_default,wine_quality,complete,
tabpfn3_default,churn,unavailable,unknown model adapter: tabpfn3_default
tabpfn3_ood,wine_quality,unavailable,unknown model adapter: tabpfn3_ood
tabpfn3_default,churn,unavailable,unknown model adapter: tabpfn3_default
tabicl_v2_single,wine_quality,complete,
tabicl_v2_single,churn,complete,
tabpfn3_ood,wine_quality,unavailable,unknown model adapter: tabpfn3_ood
mitra_default,churn,complete,
tabicl_v2_default,wine_quality,complete,
tabpfn3_default,churn,unavailable,unknown model adapter: tabpfn3_default
tabpfn3_default,churn,unavailable,unknown model adapter: tabpfn3_default
tabpfn3_default,wine_quality,unavailable,unknown model adapter: tabpfn3_default
tabicl_v2_default,churn,complete,
tabicl_v2_single,wine_quality,complete,
mitra_default,churn,complete,
