task_type,mechanism,n_context,n_features,tasks,selector_accuracy,shape_routing_gain,shape_routing_ci_low,shape_routing_ci_high,matched_family_gain,matched_family_ci_low,matched_family_ci_high
regression,partition,64,12,70,0.9714285714285714,0.24423264899219005,0.186514526718329,0.30944927434976255,0.21613491319351966,0.1478616690830877,0.2906392868964584
regression,periodic,64,12,70,0.9857142857142858,0.47037571672876655,0.40814786064268455,0.5338061691060934,0.5030279217692651,0.4439531812807547,0.5651206587025024
classification,linear,96,12,105,0.9904761904761905,0.01207457975296976,0.00905540184227565,0.015021505834783018,0.018448610447891443,0.01429998188525696,0.02254001775235944
classification,additive,96,12,105,1.0,-0.010824606417931832,-0.014216888031226017,-0.007287378313073034,-0.04303351399564458,-0.048912752281061844,-0.03721695341131305
classification,threshold,96,12,105,0.9809523809523809,-0.00933219008800595,-0.012343568264588354,-0.006312430295863687,-0.011905385529898352,-0.015194675535629107,-0.008547535798171623
classification,interaction,96,12,105,1.0,0.00847757234292255,0.0021645699574123615,0.014837691165873199,0.0009363430686494975,-0.005528372265053509,0.007542197382666905
classification,partition,96,12,105,0.9809523809523809,-0.02131142542220055,-0.03089202981506525,-0.011776154562917921,-0.0633633710998045,-0.07554536219768994,-0.05130860152118773
classification,periodic,96,12,105,1.0,-0.003216055858034491,-0.009468226586169099,0.0030428377684599316,-0.03913853517497332,-0.047193333422587545,-0.03127108138921374
regression,linear,96,12,105,0.9809523809523809,0.021410671358620445,0.017936809045124423,0.02523271834942456,0.02718545920399775,0.023323233271118463,0.03136311638067906
regression,additive,96,12,105,0.9904761904761905,0.0369276110294992,0.029395652742546803,0.04551208323260079,0.041020308237681685,0.033363689037996885,0.049873882092596966
regression,threshold,96,12,105,0.9904761904761905,-0.05276753539583375,-0.06246471736376095,-0.042946865381811465,-0.08066068523683642,-0.091131033581586,-0.07060789960822232
regression,interaction,96,12,105,1.0,0.5191751645559944,0.47963852596338774,0.5608882725475235,0.530752890962784,0.49013546038118994,0.5725173907869653
regression,partition,96,12,105,1.0,0.23235600052074482,0.17978037332147428,0.2897054216221756,0.23356748165035562,0.17985113046526982,0.2927759353067688
regression,periodic,96,12,105,1.0,0.7032663685822801,0.6390599443045382,0.7731306236071027,0.7184349857342941,0.6541300802737103,0.7882500145226493
