task_type,mechanism,n_context,n_features,tasks,selector_accuracy,shape_routing_gain,shape_routing_ci_low,shape_routing_ci_high,matched_family_gain,matched_family_ci_low,matched_family_ci_high
classification,linear,64,8,70,1.0,0.006617782240107717,0.004199009252596966,0.009083317067266455,0.015006827126743198,0.010654755414009308,0.019389955945537416
classification,additive,64,8,70,1.0,-0.003388473844814527,-0.00714053132153871,0.0002829232078244359,-0.024567814845474198,-0.03140987130175965,-0.017813590295797366
classification,threshold,64,8,70,0.8714285714285714,-0.005781060554862461,-0.009424752041391657,-0.0023424434505784,-0.00954584411110472,-0.013804794789613313,-0.005318312647077609
classification,interaction,64,8,70,1.0,0.03950109799261611,0.03124311212804399,0.04773111612497415,0.03806477837748701,0.02834504570896091,0.0481116040476978
classification,partition,64,8,70,0.8571428571428571,-0.011926744707453295,-0.02152852117875306,-0.001990743802572606,-0.0896541307756765,-0.10975814452424557,-0.06968754121600002
classification,periodic,64,8,70,0.9857142857142858,0.01893841162621012,0.013101780201304772,0.024769837678202563,-0.003254162943439526,-0.014580200108376845,0.007554554585614668
regression,linear,64,8,70,0.9714285714285714,0.02150371363621657,0.01518634839341941,0.02839926531395445,0.03709913100340204,0.02954848139117148,0.04538677999691879
regression,additive,64,8,70,0.9571428571428572,0.04628668933502084,0.036899888811352886,0.05675804159520027,0.0541526258469836,0.043136983970090075,0.06633429289060778
regression,threshold,64,8,70,0.9714285714285714,-0.032743495627977404,-0.046471190317303714,-0.019528756773546877,-0.1067882173507348,-0.12181962714375276,-0.0920524917335021
regression,interaction,64,8,70,1.0,0.5077928434345041,0.4610110492720787,0.5568620410076054,0.5711613246441848,0.5187226078836779,0.6244734170555931
regression,partition,64,8,70,0.9571428571428572,0.12221776944541282,0.0830054882930331,0.1668926725153144,0.12151914410400604,0.07315315724265979,0.17311244830134478
regression,periodic,64,8,70,0.9857142857142858,0.5663463593845656,0.47758204600373744,0.6771576895506478,0.644687954227176,0.5596077362461543,0.750232844741588
classification,linear,96,8,70,1.0,0.009479286768337312,0.007099718035110231,0.012060258475788687,0.015989696599726353,0.012268770096156473,0.01991491737751565
classification,additive,96,8,70,1.0,-0.0017258202081120572,-0.005543848847303334,0.002137101115671358,-0.02032937728215004,-0.026741515336595183,-0.014057532288969792
classification,threshold,96,8,70,0.9428571428571428,-0.0046425936829846744,-0.007687890101824072,-0.0014976602866769641,-0.006321893444976802,-0.00983919310457609,-0.0027950404221324925
classification,interaction,96,8,70,1.0,0.04010878707615098,0.032301025901418916,0.047940913547158584,0.03932561744445454,0.030629266296521466,0.048090318481269614
classification,partition,96,8,70,0.9714285714285714,-0.01708270325635294,-0.02876743194179531,-0.006135154473511888,-0.07037329717869767,-0.08684074568558384,-0.05463996546477296
classification,periodic,96,8,70,0.9857142857142858,0.011739607353107692,0.0037055762204965424,0.019670024008390262,-0.019609916352619123,-0.029967510662318383,-0.009143358058785467
regression,linear,96,8,70,0.9857142857142858,0.019587112224123363,0.015048216102303657,0.02507112229142408,0.02594852856421054,0.021020178299569123,0.03180144964097659
regression,additive,96,8,70,1.0,0.04290863029096898,0.029147659846919555,0.05950564002658372,0.050527842897612356,0.03524972760976484,0.06830404687641536
regression,threshold,96,8,70,1.0,-0.028167829235251535,-0.03480775884216316,-0.021696145731554338,-0.05671382650232092,-0.06468792244114666,-0.049114413870881016
regression,interaction,96,8,70,1.0,0.4285272924974074,0.38398828101448695,0.4734317499639576,0.45196442967937056,0.4055610200942304,0.49876071259621363
regression,partition,96,8,70,0.9857142857142858,0.1417151940699269,0.10753976672121844,0.17941123743727852,0.14494861188474362,0.10634146806595253,0.18500460266061508
regression,periodic,96,8,70,1.0,0.4408262905103745,0.39377772197635347,0.4889162871478285,0.47790516311463843,0.4324122869375668,0.524752375834458
classification,linear,64,12,70,0.9714285714285714,0.013638349823277532,0.009849949882868603,0.01777990734961072,0.023424862937097852,0.017719371088013375,0.029386411832065563
classification,additive,64,12,70,1.0,-0.00466839501347112,-0.008567189797372095,-0.000846426120053626,-0.03613700493262703,-0.04316640399321795,-0.029047585860462105
classification,threshold,64,12,70,0.8857142857142857,-0.005861189752217718,-0.009892029708385933,-0.0018454506905334356,-0.0045405448542307925,-0.009007381713736428,0.00017520073380274657
classification,interaction,64,12,70,1.0,0.0196493905267884,0.01294537005303136,0.026650981544943487,0.012489488369592992,0.004733037573540071,0.020170381455319585
classification,partition,64,12,70,0.9285714285714286,-0.013113439799260433,-0.023009050327765783,-0.0033223380117903866,-0.0846633625272687,-0.10040519117247516,-0.06893376707411684
classification,periodic,64,12,70,0.9857142857142858,0.002418429285811141,-0.004470437847792568,0.009271072128287419,-0.023596820291573416,-0.03204419686710214,-0.014928198835738468
regression,linear,64,12,70,0.9857142857142858,0.04557859117986002,0.03612420967625357,0.056083202005336744,0.06579073074859004,0.05360571998656995,0.08091635822792602
regression,additive,64,12,70,0.9857142857142858,0.05817137131535689,0.043431752879364155,0.07545632298869764,0.06345028088795095,0.04788778938977627,0.08127693035727775
regression,threshold,64,12,70,0.9857142857142858,-0.086561470278201,-0.10403984569130562,-0.06944758575779476,-0.14998899377900723,-0.16503719990200807,-0.13503204667442928
regression,interaction,64,12,70,1.0,0.587646038363485,0.5281079650375642,0.6472214012127842,0.6127328466871177,0.5526008279410243,0.6747689205849244
