task_type,rho,method,episodes,loss_mean,loss_ci_low,loss_ci_high
classification,0.0,M0 raw,420,0.6712253976178287,0.6639886926935313,0.6784610143866389
classification,0.0,M1 robust,420,0.6729569549992808,0.6658646183760615,0.6802795710638003
classification,0.0,M2 rank,420,0.6601684885621181,0.6532802741306662,0.6673357578381512
classification,0.0,M3 augmentation,420,0.6616082691682377,0.6552154540132755,0.668467642393977
classification,0.0,M4 50/50,420,0.6531246893842143,0.6468061075238211,0.6596559991908689
classification,0.0,M4 tuned fixed,420,0.6522107515600463,0.6458284661601913,0.6588489017580847
classification,0.0,M5 learned gate,420,0.6522638362467009,0.6458453628940445,0.6588119222850036
classification,0.0,Oracle gate,420,0.6476893825979896,0.6411856210925161,0.6541611058161202
classification,0.1,M0 raw,420,0.665528088701301,0.6585253580669775,0.672628032718651
classification,0.1,M1 robust,420,0.6690087988782574,0.6622360405421365,0.6761638643005617
classification,0.1,M2 rank,420,0.660370716394064,0.6531557208159704,0.6677298216163583
classification,0.1,M3 augmentation,420,0.6591242491493726,0.6528209449720699,0.6651668401124468
classification,0.1,M4 50/50,420,0.6515191922509473,0.6451777672383021,0.6579487312414334
classification,0.1,M4 tuned fixed,420,0.650741800924679,0.6444943651564556,0.6572712219351902
classification,0.1,M5 learned gate,420,0.6507044527119535,0.6444547101799826,0.6570454040165536
classification,0.1,Oracle gate,420,0.6458458178431743,0.6392836923045506,0.6522701129231602
classification,0.25,M0 raw,420,0.6685528489264265,0.6616650112891488,0.6756579848294054
classification,0.25,M1 robust,420,0.6703205834105755,0.6631552710880549,0.6776301082737399
classification,0.25,M2 rank,420,0.6610020214869045,0.6538056398054491,0.6680609329574285
classification,0.25,M3 augmentation,420,0.6598411091791285,0.6536351364624745,0.6659860634001119
classification,0.25,M4 50/50,420,0.6532233355381237,0.6467440552973246,0.6596295526023973
classification,0.25,M4 tuned fixed,420,0.6523845032435774,0.6460220298137699,0.6589742316721939
classification,0.25,M5 learned gate,420,0.6524298754034856,0.6459713826293184,0.6588817959480897
classification,0.25,Oracle gate,420,0.64775974171211,0.6414296179020235,0.6543376494179947
classification,0.5,M0 raw,420,0.6678041739289188,0.6609400791783876,0.6747214853678678
classification,0.5,M1 robust,420,0.6689460373554046,0.6623029483471732,0.675734296271034
classification,0.5,M2 rank,420,0.6582772129441161,0.6514587554364335,0.6652294696132598
classification,0.5,M3 augmentation,420,0.6576769664368212,0.6515909718697901,0.6638563804430847
classification,0.5,M4 50/50,420,0.6507651826656784,0.6446267889267252,0.6567413914244148
classification,0.5,M4 tuned fixed,420,0.6498210001625814,0.6435884332629741,0.6558113469552557
classification,0.5,M5 learned gate,420,0.6498451478311752,0.6439078497893143,0.655852055030875
classification,0.5,Oracle gate,420,0.6453778978318022,0.6393220726458088,0.6513622143288561
classification,0.75,M0 raw,420,0.6713071449182421,0.6643265835088815,0.6786386984030037
classification,0.75,M1 robust,420,0.674950800417109,0.6673527930978836,0.682761641111424
classification,0.75,M2 rank,420,0.6611574262037818,0.6545655644288394,0.6679720991581218
classification,0.75,M3 augmentation,420,0.6613130536759484,0.6550627283646682,0.6675256412316638
classification,0.75,M4 50/50,420,0.6545402020569957,0.6481985656020646,0.6609019690656932
classification,0.75,M4 tuned fixed,420,0.6535713607954048,0.6472488391188709,0.6598205828841381
classification,0.75,M5 learned gate,420,0.6535181243381143,0.6472742295646959,0.6597854038500446
classification,0.75,Oracle gate,420,0.6490257893695858,0.6425697682335869,0.6552828255389482
classification,0.9,M0 raw,420,0.6650986884190639,0.658482233602909,0.6718130386066083
classification,0.9,M1 robust,420,0.6679753722743192,0.6613339802917321,0.6745851346572465
classification,0.9,M2 rank,420,0.6609383243343125,0.6539553002886803,0.6682242904076993
classification,0.9,M3 augmentation,420,0.6566782155095492,0.6506149640263403,0.6627270569149166
classification,0.9,M4 50/50,420,0.6501123143826952,0.6441602105623476,0.6560624533464304
classification,0.9,M4 tuned fixed,420,0.6496554792627365,0.6436652677725472,0.655595320313819
classification,0.9,M5 learned gate,420,0.649532383013354,0.6436456974489245,0.6556363914015382
classification,0.9,Oracle gate,420,0.6447385275210377,0.638771863506942,0.6506899594927957
classification,1.0,M0 raw,420,0.6687425526448085,0.6610794246981144,0.6766259210508825
classification,1.0,M1 robust,420,0.6702609930967965,0.6627762741511646,0.6780631323831607
classification,1.0,M2 rank,420,0.6547024706233333,0.6479603354931572,0.6615875446954189
classification,1.0,M3 augmentation,420,0.65820749427562,0.6517375308888104,0.6648445124946678
classification,1.0,M4 50/50,420,0.6481473587331006,0.6415911940569391,0.6545800074751015
classification,1.0,M4 tuned fixed,420,0.6471687579488429,0.6407453435125525,0.6536283809446147
classification,1.0,M5 learned gate,420,0.6471951454659669,0.6407624152298266,0.6535445125580115
classification,1.0,Oracle gate,420,0.6427107457481585,0.6365427890627486,0.6492742965694557
regression,0.0,M0 raw,420,0.7342396004745636,0.7036858539579891,0.7654037779480631
regression,0.0,M1 robust,420,0.7479783700375027,0.7161925461600244,0.7799048906313707
regression,0.0,M2 rank,420,0.6983387699424057,0.6675786878824432,0.7309810199466173
regression,0.0,M3 augmentation,420,0.7350104329002859,0.704847259417638,0.7660941741508038
regression,0.0,M4 50/50,420,0.7056136680189219,0.674599624739444,0.7371336956047427
regression,0.0,M4 tuned fixed,420,0.6980719234034948,0.6680051307776497,0.7297272052342341
regression,0.0,M5 learned gate,420,0.6979065976110469,0.6670568216593958,0.7294847361329307
regression,0.0,Oracle gate,420,0.6889245066890323,0.6579755701183488,0.7200470688136651
regression,0.1,M0 raw,420,0.7208704669630664,0.6879066189381388,0.7577098579455391
regression,0.1,M1 robust,420,0.7342043871580859,0.7009359460129052,0.7690426113637928
regression,0.1,M2 rank,420,0.6842638473666067,0.650389209167768,0.7207969232242628
regression,0.1,M3 augmentation,420,0.7230936860295685,0.6896066373835602,0.7596072469614558
regression,0.1,M4 50/50,420,0.6919782954660466,0.6593401951406672,0.7286248061496984
regression,0.1,M4 tuned fixed,420,0.6840689711519939,0.6511352405815397,0.7205868635888677
regression,0.1,M5 learned gate,420,0.6841421442275029,0.6505642172697457,0.7197773437578433
regression,0.1,Oracle gate,420,0.6749410724099614,0.6414523677079553,0.7105435416546799
regression,0.25,M0 raw,420,0.7265599674791992,0.6954181920360458,0.7588328488062188
regression,0.25,M1 robust,420,0.7373099197877893,0.7057998840860049,0.7692076035203873
regression,0.25,M2 rank,420,0.6910156635222845,0.6599138669933582,0.7227036729411255
regression,0.25,M3 augmentation,420,0.7293072101269812,0.6984847123870916,0.7605649554414353
regression,0.25,M4 50/50,420,0.6980539054572958,0.6668451651547768,0.7302436504293572
regression,0.25,M4 tuned fixed,420,0.6907086546239551,0.6593279241879536,0.7223204349460741
regression,0.25,M5 learned gate,420,0.6905188808297675,0.6590943151652636,0.7224138489662282
regression,0.25,Oracle gate,420,0.6813260895024589,0.6504910959374849,0.7134608846363442
regression,0.5,M0 raw,420,0.7273523797132132,0.6955875896914894,0.7603414138657489
regression,0.5,M1 robust,420,0.7369981122958217,0.7052286615892248,0.7700196629635375
regression,0.5,M2 rank,420,0.687551030446681,0.6562103087310072,0.7204329923259593
regression,0.5,M3 augmentation,420,0.7266165676321025,0.6952863986400797,0.7593284118707744
regression,0.5,M4 50/50,420,0.6966183628735829,0.6653773731662473,0.7292258399438952
regression,0.5,M4 tuned fixed,420,0.6875161225848009,0.6555677343454801,0.7201378147784522
regression,0.5,M5 learned gate,420,0.6874445276082487,0.6565082900866183,0.7197157661374352
regression,0.5,Oracle gate,420,0.6799574620872059,0.6484482973800166,0.7121773764807154
regression,0.75,M0 raw,420,0.7223013733913842,0.6930328122468243,0.7522927631980136
regression,0.75,M1 robust,420,0.7341730985314722,0.7044803539741811,0.7639190333495659
regression,0.75,M2 rank,420,0.6824642987279539,0.6530932186823916,0.7114252008682723
regression,0.75,M3 augmentation,420,0.7235579020081668,0.6947533159762742,0.7533904457925912
regression,0.75,M4 50/50,420,0.691483274816379,0.6627510105297949,0.7211253608327804
regression,0.75,M4 tuned fixed,420,0.6824146482066412,0.6536831219302613,0.7118982252892235
regression,0.75,M5 learned gate,420,0.6822297890108502,0.6527697666342915,0.7110087636422435
regression,0.75,Oracle gate,420,0.6737930191127808,0.6450233137399478,0.7022697943957851
regression,0.9,M0 raw,420,0.7053832668428446,0.6746127292237177,0.7359243314945958
regression,0.9,M1 robust,420,0.7179957137957182,0.687320418908463,0.749195895621549
regression,0.9,M2 rank,420,0.6670079936619443,0.6366507810636697,0.6981019277560909
regression,0.9,M3 augmentation,420,0.7046636492707384,0.6745075150439276,0.7358921592532747
regression,0.9,M4 50/50,420,0.6753132700902345,0.6445646864388664,0.7059959177223808
regression,0.9,M4 tuned fixed,420,0.666860496198381,0.6372750895473298,0.6977613981090832
regression,0.9,M5 learned gate,420,0.6666186020856367,0.6369673243700514,0.6968723202788287
regression,0.9,Oracle gate,420,0.6586024420233562,0.6284331667275835,0.6891824232907608
regression,1.0,M0 raw,420,0.725285019202686,0.6950253527702197,0.7552611564174836
regression,1.0,M1 robust,420,0.7375930199719226,0.7065392383984438,0.7697996572255476
regression,1.0,M2 rank,420,0.6927036019146695,0.6617576179941654,0.7245871904519875
regression,1.0,M3 augmentation,420,0.7259282932800568,0.6951559798177883,0.757281322103695
regression,1.0,M4 50/50,420,0.6980706965304075,0.6675111956759956,0.7290068155831072
regression,1.0,M4 tuned fixed,420,0.6921397920318693,0.6625720760454821,0.7230437179600618
regression,1.0,M5 learned gate,420,0.69121143248485,0.6604543532934299,0.7218826261696523
regression,1.0,Oracle gate,420,0.680339429834805,0.6506863520234646,0.7118939580881666
