task_type,test_episodes,fixed_minus_gate_mean,fixed_minus_gate_ci_low,fixed_minus_gate_ci_high,fixed_minus_oracle_mean,fixed_minus_oracle_ci_low,fixed_minus_oracle_ci_high,rank_minus_gate_mean,rank_minus_gate_ci_low,rank_minus_gate_ci_high,oracle_headroom_fraction_captured,fraction_gate_beats_fixed,fixed_alpha,gate_alpha_mean,oracle_alpha_mean
classification,2940,3.6909445494899293e-05,-6.500157758231478e-06,8.103748501563928e-05,0.004497921423705421,0.0043013853640061946,0.004696987280518212,0.008416166809033532,0.007487976318532394,0.00937403519693544,0.008205889347104917,0.5071428571428571,0.35,0.3920169442695243,0.38982312925170065
regression,2940,0.0003581813209444139,0.00016880503146649288,0.0005469545767683804,0.008748552449416684,0.008173300968919371,0.00934870459756265,0.0005134392242202284,0.00021527416629412777,0.0008066541538725004,0.04094178128500514,0.4965986394557823,0.06,0.17452966945525453,0.2883707482993197
