episode_index,dataset,task_type,repeat,feature_count,method,loss
0,seismic-bumps,classification,0,11,uniform,0.2318571566676634
0,seismic-bumps,classification,0,11,fixed,0.22478461435188396
0,seismic-bumps,classification,0,11,competence,0.22873416855855289
0,seismic-bumps,classification,0,11,hard_cv,0.2739583208212405
0,seismic-bumps,classification,0,11,best_individual_oracle,0.20035018269394705
1,seismic-bumps,classification,1,11,uniform,0.23008474825175437
1,seismic-bumps,classification,1,11,fixed,0.21824670044534136
1,seismic-bumps,classification,1,11,competence,0.22182487465867745
1,seismic-bumps,classification,1,11,hard_cv,0.22542967776768477
1,seismic-bumps,classification,1,11,best_individual_oracle,0.20052783966687304
2,seismic-bumps,classification,2,11,uniform,0.24373376581272987
2,seismic-bumps,classification,2,11,fixed,0.2403382673266614
2,seismic-bumps,classification,2,11,competence,0.2420650865367611
2,seismic-bumps,classification,2,11,hard_cv,0.25703343669710393
2,seismic-bumps,classification,2,11,best_individual_oracle,0.23654375001297526
3,seismic-bumps,classification,3,11,uniform,0.27708750799113635
3,seismic-bumps,classification,3,11,fixed,0.2735323369576672
3,seismic-bumps,classification,3,11,competence,0.2758059138611763
3,seismic-bumps,classification,3,11,hard_cv,0.2673928772147144
3,seismic-bumps,classification,3,11,best_individual_oracle,0.26285442464515824
4,seismic-bumps,classification,4,11,uniform,0.2118223888627287
4,seismic-bumps,classification,4,11,fixed,0.2102700948879122
4,seismic-bumps,classification,4,11,competence,0.21083152500696337
4,seismic-bumps,classification,4,11,hard_cv,0.22199663559736488
4,seismic-bumps,classification,4,11,best_individual_oracle,0.22194797629082302
5,seismic-bumps,classification,5,11,uniform,0.20963581202559708
5,seismic-bumps,classification,5,11,fixed,0.21056130444647647
5,seismic-bumps,classification,5,11,competence,0.21241358892090548
5,seismic-bumps,classification,5,11,hard_cv,0.21596508222424193
5,seismic-bumps,classification,5,11,best_individual_oracle,0.21596508222424193
6,seismic-bumps,classification,6,11,uniform,0.16863664276522108
6,seismic-bumps,classification,6,11,fixed,0.17044877063822075
6,seismic-bumps,classification,6,11,competence,0.1679818502095602
6,seismic-bumps,classification,6,11,hard_cv,0.17729836628840384
6,seismic-bumps,classification,6,11,best_individual_oracle,0.17729836628840384
