panel,dataset,task_type,mean_gain,repeats
breadth_panel,APSFailure,classification,0.000205822617746377,40
breadth_panel,bank-marketing,classification,-0.0011774743212477762,40
breadth_panel,credit_card_clients_default,classification,-0.0017953860948170558,40
breadth_panel,diabetes,classification,-0.00735525877244955,40
breadth_panel,heloc,classification,-0.0011955167701676068,40
breadth_panel,seismic-bumps,classification,-0.001463007295981073,40
small_panel,adult,classification,-0.0013532701657903074,120
small_panel,churn,classification,0.011506594259356951,120
small_panel,higgs-small,classification,0.00023034643988948297,120
breadth_panel,Food_Delivery_Time,regression,0.042995079953339836,40
breadth_panel,airfoil_self_noise,regression,0.017986068429833284,40
breadth_panel,concrete_compressive_strength,regression,0.02706610182163196,40
breadth_panel,miami_housing,regression,0.008785048642622046,40
breadth_panel,physiochemical_protein,regression,1.617658678184951,40
breadth_panel,superconductivity,regression,0.06490750863877055,40
breadth_panel,wine_quality,regression,0.25779723347814965,40
regression_confirmation,abalone,regression,0.01970500751417127,60
regression_confirmation,auction_verification,regression,-0.006628764568940027,60
regression_confirmation,geographical_origin_of_music,regression,0.39428693889361005,60
regression_confirmation,naval_propulsion_plant,regression,0.09449142781978778,60
regression_confirmation,solar_flare,regression,0.00039821925137897656,60
small_panel,black-friday,regression,-0.014990118389540027,120
small_panel,california,regression,0.009056213230411498,120
small_panel,diamond,regression,0.0031167315574938937,120
small_panel,house,regression,0.9508063945943405,120
