panel,source_episode_index,dataset,repeat,method,log_loss,brier,auc,calibration_bias_abs,ece10,sharpness,nll_top_decile,nll_bottom_90pct,nll_over_2_rate
small_panel,0,adult,0,fixed,0.4404530604830363,0.14234407094101947,0.8129466162253047,0.014157261993849812,0.05928882967549614,0.290930151718776,1.7000626067294307,0.2980624161247482,0.015625
small_panel,0,adult,0,competence,0.4398737300238774,0.14236422740110757,0.8131988230348887,0.023471124244412,0.06759830786152525,0.3012760398882438,1.8000897435903223,0.28611018066419225,0.02734375
small_panel,1,adult,1,fixed,0.4716185963035838,0.15102028706065307,0.7401429171920975,0.017313570726686767,0.021643367306660093,0.30444308600217596,1.9465210137481816,0.3048904969402816,0.03515625
small_panel,1,adult,1,competence,0.46059086212181655,0.14713732663705364,0.7577133249264397,0.01663927849411828,0.029537030730505075,0.30809729427699317,1.9275010304661275,0.29476623439593785,0.0390625
small_panel,2,adult,2,fixed,0.44902790832164546,0.14662425687164876,0.8190836485918453,0.0055875771682613595,0.09218837172822464,0.2810674883385122,1.5353802476654945,0.32622286126538425,0.00390625
small_panel,2,adult,2,competence,0.4445443894248825,0.1447986172953301,0.8095838587641866,0.010005287723084566,0.06296934669708963,0.2880894001946842,1.5831216059676076,0.3158356605983136,0.0078125
small_panel,3,adult,3,fixed,0.47574421333681804,0.1556727418490162,0.7609920134510298,0.03099950785254471,0.04425579154561382,0.308583783512525,1.8693727428967588,0.31820359695178135,0.02734375
small_panel,3,adult,3,competence,0.4762865060669602,0.15495446427871465,0.7547709121479613,0.032611304731865354,0.0415833317071698,0.3152605973728566,1.921610202182899,0.3129020882451584,0.03515625
small_panel,4,adult,4,fixed,0.41166349009321845,0.1295166115886568,0.8491803278688524,0.014267788170536921,0.07221592966044252,0.2898997467810934,1.5958461308400942,0.2777993654870498,0.015625
small_panel,4,adult,4,competence,0.41376312693573325,0.12989760507836143,0.8300126103404791,0.008929880837034498,0.05590980680732173,0.2952383306770326,1.673598903635547,0.27134690870010214,0.02734375
small_panel,5,adult,5,fixed,0.4707187009886446,0.15245396707985426,0.7599831862126945,0.00145910422868345,0.040617411798436004,0.2707695600185336,1.6775754109966479,0.33429142072687035,0.01953125
small_panel,5,adult,5,competence,0.4944839276593023,0.16290224788210877,0.7218158890290038,0.005181138915914152,0.061112616057471016,0.2920292451294842,1.9303315327453296,0.33217072012783827,0.04296875
small_panel,6,adult,6,fixed,0.4513530635224145,0.1448341843508188,0.780327868852459,0.0252643468644278,0.05056123802954531,0.29951149177621533,1.8300740739779289,0.29549764494918246,0.0234375
small_panel,6,adult,6,competence,0.45150440187448204,0.144680296793753,0.7770491803278688,0.022836179108959853,0.030338482897476867,0.30303793242443233,1.8849926635007406,0.28945790273412236,0.0390625
small_panel,7,adult,7,fixed,0.4811069487389731,0.15644631697809358,0.7212274064733081,0.00019260019498396064,0.08004503091003431,0.28005018439860574,1.8338569349789193,0.3281873850770662,0.03125
