model,task_type,rho,episode_seed,mechanism,warp,coupled,clean_loss,matched_loss,matched_loss_gap,matched_disagreement,identity_disagreement,excess_disagreement,matched_js,identity_js,matched_flip_rate,fit_seconds,predict_seconds
tabicl_v2_single,regression,0.0,1093002,periodic,sinh,False,0.31885070004911253,0.319274554760811,0.0004238547116984792,0.19034611509334118,0.0,0.19034611509334118,,,,2.3315711561590433,0.4674156897235662
tabicl_v2_single,regression,0.0,1093003,interaction,asinh,False,0.7507944149162689,0.7394373309454021,-0.011357083970866766,0.156195047575693,0.0,0.156195047575693,,,,1.090808034176007,0.06859635026194155
tabicl_v2_single,regression,0.0,1093004,linear,identity,False,0.004612009037458167,0.02218583753928792,0.01757382850182975,0.09032100359468151,0.0,0.09032100359468151,,,,0.9022579260636121,0.06919903680682182
tabicl_v2_single,regression,0.0,1093005,partition,pwl,False,0.07013805214591033,0.06234638132413801,-0.007791670821772324,0.07749080446568636,0.0,0.07749080446568636,,,,0.8278817099053413,0.06986024230718613
tabicl_v2_single,regression,0.0,1093006,threshold,signed_power,False,0.4024465910515108,0.3344895000267284,-0.06795709102478242,0.2305941032386797,0.0,0.2305941032386797,,,,0.9013754611369222,0.06824861629866064
tabicl_v2_single,regression,0.0,1093007,additive,affine,False,0.029620679204747036,0.024611966034235887,-0.005008713170511148,0.10410856092532503,0.0,0.10410856092532503,,,,1.099053848767653,0.06699714390560985
tabicl_v2_single,regression,0.1,1103002,interaction,asinh,False,0.18057657309768577,0.24224576258500147,0.0616691894873157,0.17269170627192737,0.0,0.17269170627192737,,,,0.9462090069428086,0.06682728882879019
tabicl_v2_single,regression,0.1,1103003,linear,identity,False,0.003841921704943455,0.00993066494344123,0.006088743238497775,0.0705341407719554,0.0,0.0705341407719554,,,,1.0023357758764178,0.0697192691732198
tabicl_v2_single,regression,0.1,1103004,partition,pwl,False,0.007849310875127564,0.010118480562490085,0.0022691696873625208,0.012443545591443584,0.0,0.012443545591443584,,,,0.9237365741282701,0.07041996601037681
tabicl_v2_single,regression,0.1,1103005,periodic,sinh,False,0.32807314744309274,0.30309829652507825,-0.02497485091801449,0.25867302610419274,0.0,0.25867302610419274,,,,1.4301210981793702,0.06711352826096117
tabicl_v2_single,regression,0.1,1103006,threshold,signed_power,False,0.25292993135404673,0.21742041469020584,-0.03550951666384089,0.20352148942104897,0.0,0.20352148942104897,,,,0.9994490148965269,0.07020858582109213
tabicl_v2_single,regression,0.1,1103007,additive,affine,False,0.06564906021193159,0.039255782153664404,-0.02639327805826719,0.10257560231058294,0.0,0.10257560231058294,,,,0.9579001471865922,0.0720510189421475
tabicl_v2_single,regression,0.25,1113002,additive,affine,False,0.08546880901505706,0.06629845920729671,-0.019170349807760348,0.17539667072768395,0.0,0.17539667072768395,,,,0.9580876110121608,0.0695316989440471
tabicl_v2_single,regression,0.25,1113003,interaction,asinh,False,0.17950336606182266,0.21360366438099726,0.034100298319174605,0.158625789048002,0.0,0.158625789048002,,,,0.8694377141073346,0.06832436192780733
tabicl_v2_single,regression,0.25,1113004,linear,identity,False,0.0034562324535355035,0.013208787123782227,0.009752554670246723,0.07442283305561707,0.0,0.07442283305561707,,,,1.3184781929012388,0.06995641812682152
tabicl_v2_single,regression,0.25,1113005,partition,pwl,False,0.32540211213309567,0.3999232482747841,0.07452113614168843,0.11644267764821294,0.0,0.11644267764821294,,,,1.1536848100367934,0.07260308996774256
tabicl_v2_single,regression,0.25,1113006,periodic,sinh,False,0.557063257329155,0.3927126837234127,-0.16435057360574223,0.30024808564987754,0.0,0.30024808564987754,,,,1.0873116061557084,0.06565321190282702
tabicl_v2_single,regression,0.25,1113007,threshold,signed_power,False,0.3009165463375452,0.29404209542103193,-0.006874450916513286,0.19765045034265463,0.0,0.19765045034265463,,,,0.9266397249884903,0.06727035413496196
tabicl_v2_single,regression,0.5,1123002,threshold,signed_power,False,0.41367093312855246,0.4642140518994502,0.05054311877089773,0.2192816852354436,0.0,0.2192816852354436,,,,1.1006513440515846,0.06607626914046705
tabicl_v2_single,regression,0.5,1123003,linear,identity,False,0.011515788935519107,0.030469869920021774,0.018954080984502665,0.14140454223072083,0.0,0.14140454223072083,,,,1.0618203720077872,0.06850617402233183
tabicl_v2_single,regression,0.5,1123004,interaction,asinh,False,0.35629067843343365,0.4250179055016456,0.06872722706821194,0.21194124870771897,0.0,0.21194124870771897,,,,0.8597666297573596,0.06739251222461462
tabicl_v2_single,regression,0.5,1123005,additive,affine,False,0.052128085016750515,0.07548388529230748,0.02335580027555697,0.1327579179146188,0.0,0.1327579179146188,,,,1.0366437912452966,0.06647128402255476
tabicl_v2_single,regression,0.5,1123006,partition,pwl,False,0.43942818648402415,0.45187241586387505,0.012444229379850902,0.16630320818988567,0.0,0.16630320818988567,,,,0.9090476389974356,0.06834425195120275
tabicl_v2_single,regression,0.5,1123007,periodic,sinh,False,0.5988925090122341,0.48666716607098814,-0.11222534294124598,0.28897444710654785,0.0,0.28897444710654785,,,,1.0473887622356415,0.07223987486213446
