episode_index,dataset,task_type,repeat,feature_count,method,loss
0,adult,classification,0,6,uniform,0.44525666522773655
0,adult,classification,0,6,fixed,0.44045306000410056
0,adult,classification,0,6,competence,0.43987373004941416
0,adult,classification,0,6,hard_cv,0.4620569355263515
0,adult,classification,0,6,best_individual_oracle,0.435966939370577
1,adult,classification,1,6,uniform,0.4687107212335973
1,adult,classification,1,6,fixed,0.4716185956698853
1,adult,classification,1,6,competence,0.46059086189011333
1,adult,classification,1,6,hard_cv,0.4727792239243446
1,adult,classification,1,6,best_individual_oracle,0.4504816687720071
2,adult,classification,2,6,uniform,0.4454169478129545
2,adult,classification,2,6,fixed,0.44902790921766533
2,adult,classification,2,6,competence,0.4445443902216357
2,adult,classification,2,6,hard_cv,0.4667849918857392
2,adult,classification,2,6,best_individual_oracle,0.4418527465299778
3,adult,classification,3,6,uniform,0.4759229380545994
3,adult,classification,3,6,fixed,0.4757442132120254
3,adult,classification,3,6,competence,0.47628650592867217
3,adult,classification,3,6,hard_cv,0.5262945721226688
3,adult,classification,3,6,best_individual_oracle,0.4693817853154059
4,adult,classification,4,6,uniform,0.40650508583793954
4,adult,classification,4,6,fixed,0.41166349027157134
4,adult,classification,4,6,competence,0.413763126861445
4,adult,classification,4,6,hard_cv,0.45104640082870934
4,adult,classification,4,6,best_individual_oracle,0.40770528517699467
5,adult,classification,5,6,uniform,0.4736125359939698
5,adult,classification,5,6,fixed,0.47071870091257884
5,adult,classification,5,6,competence,0.4944839268533926
5,adult,classification,5,6,hard_cv,0.5946286538321947
5,adult,classification,5,6,best_individual_oracle,0.46498033699845004
6,adult,classification,6,6,uniform,0.44689883047743045
6,adult,classification,6,6,fixed,0.4513530633708679
6,adult,classification,6,6,competence,0.45150440159812555
6,adult,classification,6,6,hard_cv,0.4635348008407903
6,adult,classification,6,6,best_individual_oracle,0.4514534537949184
7,adult,classification,7,6,uniform,0.49270662585188935
7,adult,classification,7,6,fixed,0.4811069492677684
7,adult,classification,7,6,competence,0.5003245613552377
7,adult,classification,7,6,hard_cv,0.5055232444530667
7,adult,classification,7,6,best_individual_oracle,0.46646708126951253
8,adult,classification,8,6,uniform,0.44540492876456406
8,adult,classification,8,6,fixed,0.43946473706074607
8,adult,classification,8,6,competence,0.44042380015651594
8,adult,classification,8,6,hard_cv,0.45544192383525967
8,adult,classification,8,6,best_individual_oracle,0.438083381790355
9,adult,classification,9,6,uniform,0.44451458501525065
9,adult,classification,9,6,fixed,0.4463921709787125
9,adult,classification,9,6,competence,0.4524915420086775
9,adult,classification,9,6,hard_cv,0.5807303271469911
9,adult,classification,9,6,best_individual_oracle,0.4297864007707643
10,adult,classification,10,6,uniform,0.47675144795647745
10,adult,classification,10,6,fixed,0.4807232432451418
10,adult,classification,10,6,competence,0.4800459363128409
10,adult,classification,10,6,hard_cv,0.4699893188131689
10,adult,classification,10,6,best_individual_oracle,0.4699893188131689
11,adult,classification,11,6,uniform,0.4652003191920669
11,adult,classification,11,6,fixed,0.46267585146686174
11,adult,classification,11,6,competence,0.4647961719908315
11,adult,classification,11,6,hard_cv,0.48933659756913817
11,adult,classification,11,6,best_individual_oracle,0.4693466983757218
12,adult,classification,12,6,uniform,0.46400540036692556
12,adult,classification,12,6,fixed,0.46201605875943774
12,adult,classification,12,6,competence,0.4643121043510464
12,adult,classification,12,6,hard_cv,0.4668946962227939
12,adult,classification,12,6,best_individual_oracle,0.4668946962227939
13,adult,classification,13,6,uniform,0.46040008846422464
13,adult,classification,13,6,fixed,0.45957137011536703
13,adult,classification,13,6,competence,0.4622019536444132
13,adult,classification,13,6,hard_cv,0.46789880908156156
13,adult,classification,13,6,best_individual_oracle,0.46307438650769417
