task_type,dataset,feature_count,method,mean_loss,episodes
classification,APSFailure,32,best_individual_oracle,0.03423314235062973,40
classification,APSFailure,32,competence,0.041194439032808255,40
classification,APSFailure,32,fixed,0.04140026165055464,40
classification,APSFailure,32,hard_cv,0.05644226235780684,40
classification,APSFailure,32,uniform,0.041393545392806264,40
classification,bank-marketing,5,best_individual_oracle,0.3523481293931962,40
classification,bank-marketing,5,competence,0.3591440478985607,40
classification,bank-marketing,5,fixed,0.3579665735773129,40
classification,bank-marketing,5,hard_cv,0.3711208417607438,40
classification,bank-marketing,5,uniform,0.3592353423629855,40
classification,credit_card_clients_default,20,best_individual_oracle,0.47761723849010246,40
classification,credit_card_clients_default,20,competence,0.4899158779424286,40
classification,credit_card_clients_default,20,fixed,0.4881204918476115,40
classification,credit_card_clients_default,20,hard_cv,0.517999884918655,40
classification,credit_card_clients_default,20,uniform,0.4912338001338,40
classification,diabetes,8,best_individual_oracle,0.5060763981880911,40
classification,diabetes,8,competence,0.5189268286980828,40
classification,diabetes,8,fixed,0.5115715699256332,40
classification,diabetes,8,hard_cv,0.5466555990382231,40
classification,diabetes,8,uniform,0.5186368813667819,40
classification,heloc,23,best_individual_oracle,0.591500855157423,40
classification,heloc,23,competence,0.599548877577806,40
classification,heloc,23,fixed,0.5983533608076383,40
classification,heloc,23,hard_cv,0.6183522516707136,40
classification,heloc,23,uniform,0.6052970428018233,40
classification,seismic-bumps,11,best_individual_oracle,0.21124354448671845,40
classification,seismic-bumps,11,competence,0.21921284349135473,40
classification,seismic-bumps,11,fixed,0.21774983619537364,40
classification,seismic-bumps,11,hard_cv,0.2288124345056009,40
classification,seismic-bumps,11,uniform,0.22123115695489998,40
regression,Food_Delivery_Time,6,best_individual_oracle,0.8656074670853752,40
regression,Food_Delivery_Time,6,competence,0.886346229187747,40
regression,Food_Delivery_Time,6,fixed,0.9293413091410867,40
regression,Food_Delivery_Time,6,hard_cv,0.9181389802294697,40
regression,Food_Delivery_Time,6,uniform,0.9054145169754987,40
regression,airfoil_self_noise,4,best_individual_oracle,0.4298988678751656,40
regression,airfoil_self_noise,4,competence,0.43657987774000484,40
regression,airfoil_self_noise,4,fixed,0.45456594616983814,40
regression,airfoil_self_noise,4,hard_cv,0.4870966832868757,40
regression,airfoil_self_noise,4,uniform,0.45137838947407516,40
regression,concrete_compressive_strength,8,best_individual_oracle,0.23055270559870414,40
regression,concrete_compressive_strength,8,competence,0.21831358969876402,40
regression,concrete_compressive_strength,8,fixed,0.245379691520396,40
regression,concrete_compressive_strength,8,hard_cv,0.2466436518642404,40
regression,concrete_compressive_strength,8,uniform,0.24307125205696445,40
regression,miami_housing,14,best_individual_oracle,0.30949081350791857,40
regression,miami_housing,14,competence,0.3120608821710447,40
regression,miami_housing,14,fixed,0.32084593081366675,40
regression,miami_housing,14,hard_cv,0.3817220966202265,40
regression,miami_housing,14,uniform,0.31251729203050715,40
regression,physiochemical_protein,9,best_individual_oracle,0.7606185033346236,40
regression,physiochemical_protein,9,competence,1.2731906501932433,40
regression,physiochemical_protein,9,fixed,2.890849328378194,40
regression,physiochemical_protein,9,hard_cv,0.9475675044693057,40
regression,physiochemical_protein,9,uniform,2.0200828435733666,40
regression,superconductivity,32,best_individual_oracle,0.3747125060207696,40
regression,superconductivity,32,competence,0.37215787324122446,40
regression,superconductivity,32,fixed,0.43706538187999505,40
regression,superconductivity,32,hard_cv,0.3888655836417885,40
regression,superconductivity,32,uniform,0.4061527567628236,40
regression,wine_quality,11,best_individual_oracle,0.7368440733044088,40
regression,wine_quality,11,competence,0.7421195022890794,40
regression,wine_quality,11,fixed,0.999916735767229,40
regression,wine_quality,11,hard_cv,0.7683501242580622,40
regression,wine_quality,11,uniform,0.8949058270732605,40
