episode_index,dataset,task_type,repeat,feature_count,method,loss
0,breast-w,classification,0,9,uniform,0.1866222635687861
0,breast-w,classification,0,9,fixed,0.1890499474686029
0,breast-w,classification,0,9,competence,0.19073841037138342
0,breast-w,classification,0,9,hard_cv,0.18050748674854913
0,breast-w,classification,0,9,best_individual_oracle,0.18050748674854913
1,breast-w,classification,1,9,uniform,0.19019952938067192
1,breast-w,classification,1,9,fixed,0.18902385234285451
1,breast-w,classification,1,9,competence,0.18909259261779882
1,breast-w,classification,1,9,hard_cv,0.18383801387853999
1,breast-w,classification,1,9,best_individual_oracle,0.16697471653029428
2,breast-w,classification,2,9,uniform,0.1384566986519385
2,breast-w,classification,2,9,fixed,0.13807920221782088
2,breast-w,classification,2,9,competence,0.13186469092873015
2,breast-w,classification,2,9,hard_cv,0.12505454710074543
2,breast-w,classification,2,9,best_individual_oracle,0.11539470570139383
3,breast-w,classification,3,9,uniform,0.17492026154509693
3,breast-w,classification,3,9,fixed,0.1756618004393411
3,breast-w,classification,3,9,competence,0.1708908740527777
3,breast-w,classification,3,9,hard_cv,0.14566306764108616
3,breast-w,classification,3,9,best_individual_oracle,0.14566306764108616
4,breast-w,classification,4,9,uniform,0.1626074109198231
4,breast-w,classification,4,9,fixed,0.16463290753990673
4,breast-w,classification,4,9,competence,0.15725645058761772
4,breast-w,classification,4,9,hard_cv,0.16188459972457814
4,breast-w,classification,4,9,best_individual_oracle,0.15231558459476796
5,breast-w,classification,5,9,uniform,0.17513816953871297
5,breast-w,classification,5,9,fixed,0.17991263780605923
5,breast-w,classification,5,9,competence,0.17515141211264573
5,breast-w,classification,5,9,hard_cv,0.18751883499830663
5,breast-w,classification,5,9,best_individual_oracle,0.1496398833589715
6,breast-w,classification,6,9,uniform,0.1485548948293383
6,breast-w,classification,6,9,fixed,0.1535370705656921
6,breast-w,classification,6,9,competence,0.14283954877156738
6,breast-w,classification,6,9,hard_cv,0.1481440039309117
6,breast-w,classification,6,9,best_individual_oracle,0.11369029632042026
7,breast-w,classification,7,9,uniform,0.1943152642320356
7,breast-w,classification,7,9,fixed,0.19632233039419575
7,breast-w,classification,7,9,competence,0.18972781283842519
7,breast-w,classification,7,9,hard_cv,0.19489660273099316
7,breast-w,classification,7,9,best_individual_oracle,0.16381909121235666
8,breast-w,classification,8,9,uniform,0.17817171979584645
8,breast-w,classification,8,9,fixed,0.17967442356540472
8,breast-w,classification,8,9,competence,0.1785244531398535
8,breast-w,classification,8,9,hard_cv,0.19519916854124642
8,breast-w,classification,8,9,best_individual_oracle,0.16902567827864023
9,breast-w,classification,9,9,uniform,0.1689523826564408
9,breast-w,classification,9,9,fixed,0.17129305525547484
9,breast-w,classification,9,9,competence,0.162538277027969
9,breast-w,classification,9,9,hard_cv,0.15110133162156114
9,breast-w,classification,9,9,best_individual_oracle,0.15110133162156114
10,breast-w,classification,10,9,uniform,0.15306909917015749
10,breast-w,classification,10,9,fixed,0.15466422857793324
10,breast-w,classification,10,9,competence,0.14482091521666313
10,breast-w,classification,10,9,hard_cv,0.1406538809863162
10,breast-w,classification,10,9,best_individual_oracle,0.13154562563928024
11,breast-w,classification,11,9,uniform,0.1841795081627687
11,breast-w,classification,11,9,fixed,0.17968534381780127
11,breast-w,classification,11,9,competence,0.18190654602009604
11,breast-w,classification,11,9,hard_cv,0.15986343224507232
11,breast-w,classification,11,9,best_individual_oracle,0.15986343224507232
12,breast-w,classification,12,9,uniform,0.15844294171410947
12,breast-w,classification,12,9,fixed,0.1610449926999683
12,breast-w,classification,12,9,competence,0.15867995070808943
12,breast-w,classification,12,9,hard_cv,0.16362844348933236
12,breast-w,classification,12,9,best_individual_oracle,0.1482066939299556
13,breast-w,classification,13,9,uniform,0.1767394448083229
13,breast-w,classification,13,9,fixed,0.17553722489189874
13,breast-w,classification,13,9,competence,0.17373379889491214
13,breast-w,classification,13,9,hard_cv,0.16187982810039053
13,breast-w,classification,13,9,best_individual_oracle,0.16187982810039053
14,breast-w,classification,14,9,uniform,0.1611361218528088
14,breast-w,classification,14,9,fixed,0.1630835880296215
14,breast-w,classification,14,9,competence,0.16024165853646652
14,breast-w,classification,14,9,hard_cv,0.1640650639162287
14,breast-w,classification,14,9,best_individual_oracle,0.13944122974634734
15,breast-w,classification,15,9,uniform,0.15358191724059556
15,breast-w,classification,15,9,fixed,0.15535563649516929
15,breast-w,classification,15,9,competence,0.15065377520990883
15,breast-w,classification,15,9,hard_cv,0.14507252589796504
15,breast-w,classification,15,9,best_individual_oracle,0.14507252589796504
16,breast-w,classification,16,9,uniform,0.14565134973985067
16,breast-w,classification,16,9,fixed,0.14862644368993666
16,breast-w,classification,16,9,competence,0.1455665777627667
16,breast-w,classification,16,9,hard_cv,0.1483763477718458
16,breast-w,classification,16,9,best_individual_oracle,0.14347033710962193
17,breast-w,classification,17,9,uniform,0.18219089252454745
17,breast-w,classification,17,9,fixed,0.180089077834456
17,breast-w,classification,17,9,competence,0.1837214777927247
17,breast-w,classification,17,9,hard_cv,0.2556278813328946
17,breast-w,classification,17,9,best_individual_oracle,0.17461358746950323
18,breast-w,classification,18,9,uniform,0.17099946555877513
18,breast-w,classification,18,9,fixed,0.17128672407582948
18,breast-w,classification,18,9,competence,0.17327858441999497
18,breast-w,classification,18,9,hard_cv,0.15261976343923445
18,breast-w,classification,18,9,best_individual_oracle,0.15261976343923445
19,breast-w,classification,19,9,uniform,0.15789134555338366
19,breast-w,classification,19,9,fixed,0.16076469498171725
19,breast-w,classification,19,9,competence,0.15944771131762042
19,breast-w,classification,19,9,hard_cv,0.16078224279301262
19,breast-w,classification,19,9,best_individual_oracle,0.13661607759966019
20,breast-w,classification,20,9,uniform,0.13920943865412655
20,breast-w,classification,20,9,fixed,0.14202263830200418
20,breast-w,classification,20,9,competence,0.13237928663362852
20,breast-w,classification,20,9,hard_cv,0.12738213578284407
20,breast-w,classification,20,9,best_individual_oracle,0.11685164634391326
21,breast-w,classification,21,9,uniform,0.16059432781866212
21,breast-w,classification,21,9,fixed,0.15644794269403364
21,breast-w,classification,21,9,competence,0.1590330959736908
21,breast-w,classification,21,9,hard_cv,0.14708263287150214
21,breast-w,classification,21,9,best_individual_oracle,0.14708263287150214
22,breast-w,classification,22,9,uniform,0.17012509577927815
22,breast-w,classification,22,9,fixed,0.16996011276537437
22,breast-w,classification,22,9,competence,0.1700319732185976
22,breast-w,classification,22,9,hard_cv,0.16584790075703826
